‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,128,128~128,«·∂»Œ€»æ,98,187,87,0.9,38,127
2015-01,75,34~154,¡º,53,86,51,1.01,20,80
2015-02,70,47~121,¡º,47,81,35,1.129,13,94
2015-03,71,52~106,¡º,42,81,25,0.745,14,115
2015-04,64,42~93,¡º,32,65,31,0.577,14,112
2015-05,73,44~105,¡º,24,60,26,0.674,16,127
2015-06,59,41~82,¡º,18,44,20,0.8,10,108
2015-07,75,44~99,¡º,32,58,33,0.763,16,128
2015-08,63,44~92,¡º,34,54,41,0.783,20,108
2015-09,43,28~95,”≈,18,38,29,1.008,16,76
2015-10,56,38~82,¡º,31,60,39,1.023,19,87
2015-11,58,34~90,¡º,33,66,40,1.167,24,76
2015-12,58,32~99,¡º,37,58,43,0.9,20,63
2016-01,63,39~109,¡º,42,69,53,1.094,20,77
2016-02,70,41~166,¡º,43,67,38,0.907,18,107
2016-03,73,48~129,¡º,37,66,31,0.717,15,121
2016-04,65,45~90,¡º,24,48,16,0.586,12,117
2016-05,77,45~112,¡º,25,53,13,0.674,12,131
2016-06,62,33~113,¡º,21,41,10,0.527,10,111
2016-07,51,29~86,¡º,24,40,17,0.484,9,93
2016-08,54,0~90,¡º,24,42,19,1.01,13,97
2016-09,46,0~80,”≈,20,38,13,0.713,18,86
2016-10,43,0~78,”≈,23,45,11,0.668,17,69
2016-11,60,35~97,¡º,40,67,19,0.927,25,73
2016-12,69,35~122,¡º,49,80,30,0.987,29,70
2017-01,69,43~139,¡º,49,73,24,0.819,22,83
2017-02,69,44~117,¡º,50,71,21,0.879,19,92
2017-03,62,41~97,¡º,33,58,14,0.826,21,105
2017-04,73,45~121,¡º,36,63,11,0.68,20,126
2017-05,79,39~110,¡º,28,59,13,0.532,20,133
2017-06,59,35~95,¡º,23,45,10,0.55,19,108
2017-07,55,0~89,¡º,25,54,13,0.445,18,93
2017-08,54,32~77,¡º,23,53,19,0.523,18,94
2017-09,50,32~73,¡º,19,49,18,0.487,20,85
2017-10,40,29~60,”≈,18,37,14,0.661,19,69
2017-11,53,28~81,¡º,27,58,25,0.803,25,82
2017-12,73,34~175,¡º,46,84,40,0.932,28,72
2018-01,63,38~109,¡º,36,76,29,1.139,24,75
2018-02,58,36~84,¡º,33,66,19,0.886,18,85
2018-03,63,40~80,¡º,26,63,16,0.697,19,109
2018-04,70,45~92,¡º,16,60,16,0.5,17,123
