‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,51,51~51,¡º,18,52,54,1.4,25,37
2015-01,117,54~245,«·∂»Œ€»æ,87,142,157,2.506,42,34
2015-02,88,50~199,¡º,60,107,117,1.811,29,54
2015-03,84,46~128,¡º,53,110,63,1.458,23,57
2015-04,77,43~122,¡º,38,103,43,1.233,22,65
2015-05,102,57~177,«·∂»Œ€»æ,56,135,62,0.887,33,129
2015-06,83,29~135,¡º,52,96,35,0.86,32,104
2015-07,76,35~147,¡º,47,74,28,0.752,28,109
2015-08,57,35~94,¡º,36,63,16,0.784,23,52
2015-09,62,33~118,¡º,41,63,30,0.96,24,80
2015-10,67,30~115,¡º,43,74,37,1.303,38,65
2015-11,91,45~189,¡º,62,89,101,1.98,42,35
2015-12,149,40~315,«·∂»Œ€»æ,109,151,177,2.561,44,28
2016-01,125,56~278,«·∂»Œ€»æ,88,139,147,2.532,38,34
2016-02,87,28~208,¡º,57,94,61,1.752,21,48
2016-03,107,57~234,«·∂»Œ€»æ,72,130,80,1.365,33,72
2016-04,82,42~158,¡º,46,95,27,0.863,28,118
2016-05,93,52~137,¡º,44,88,41,0.768,31,139
2016-06,100,50~153,«·∂»Œ€»æ,50,90,49,0.83,28,150
2016-07,77,38~118,¡º,50,80,19,0.894,19,109
2016-08,63,31~92,¡º,34,71,26,0.755,22,101
2016-09,73,36~112,¡º,38,87,57,0.953,42,85
2016-10,71,33~122,¡º,39,84,65,1.168,46,64
2016-11,148,62~240,«·∂»Œ€»æ,108,192,222,2.253,58,43
2016-12,152,82~345,÷–∂»Œ€»æ,112,169,263,2.787,59,34
2017-01,159,76~312,÷–∂»Œ€»æ,116,171,248,2.703,55,50
2017-02,129,67~240,«·∂»Œ€»æ,89,139,199,1.904,46,74
2017-03,89,45~143,¡º,58,104,103,1.216,44,95
2017-04,86,47~155,¡º,47,114,50,0.973,43,111
2017-05,118,67~422,«·∂»Œ€»æ,40,113,26,0.952,31,158
2017-06,125,54~203,«·∂»Œ€»æ,46,93,31,1.117,35,186
2017-07,106,48~179,«·∂»Œ€»æ,44,85,22,1.271,30,164
2017-08,98,48~150,¡º,44,82,30,1.287,34,146
2017-09,94,69~122,¡º,57,118,53,1.36,47,129
2017-10,88,33~143,¡º,63,112,44,1.352,46,67
2017-11,103,66~201,«·∂»Œ€»æ,70,141,85,1.833,55,56
2017-12,108,49~208,«·∂»Œ€»æ,73,141,117,1.952,58,44
2018-01,107,53~206,«·∂»Œ€»æ,73,134,99,1.9,54,48
2018-02,107,52~246,«·∂»Œ€»æ,69,136,79,1.525,44,82
2018-03,110,57~246,«·∂»Œ€»æ,70,152,46,1.271,50,110
2018-04,96,63~159,¡º,45,141,45,0.975,40,104
