‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,56,56~56,¡º,29,63,19,0.7,27,72
2015-01,90,23~201,¡º,66,100,13,1.094,31,44
2015-02,81,23~150,¡º,60,85,10,0.782,15,51
2015-03,62,30~101,¡º,44,65,10,0.632,17,48
2015-04,66,26~100,¡º,47,76,14,0.707,22,73
2015-05,66,29~127,¡º,47,75,10,0.716,16,68
2015-06,47,28~65,”≈,28,49,9,0.65,13,59
2015-07,49,26~88,”≈,29,52,9,0.655,13,63
2015-08,56,25~92,¡º,37,62,9,0.7,15,76
2015-09,57,25~97,¡º,37,58,9,0.667,17,90
2015-10,58,23~97,¡º,39,63,10,0.674,22,90
2015-11,47,22~77,”≈,30,47,7,0.83,21,35
2015-12,77,27~142,¡º,55,83,8,0.719,24,41
2016-01,68,35~182,¡º,48,76,6,0.81,22,47
2016-02,91,50~237,¡º,66,107,10,0.71,17,81
2016-03,79,33~119,¡º,56,90,9,0.797,23,97
2016-04,62,33~123,¡º,36,59,6,0.8,16,97
2016-05,60,28~110,¡º,31,50,8,0.819,11,105
2016-06,58,25~103,¡º,33,52,7,0.727,9,96
2016-07,52,30~85,¡º,34,58,6,0.645,7,76
2016-08,60,37~106,¡º,34,60,7,0.881,8,94
2016-09,62,26~95,¡º,35,61,8,0.867,11,101
2016-10,46,20~68,”≈,28,48,8,0.713,13,62
2016-11,57,16~112,¡º,38,65,10,0.663,21,46
2016-12,91,37~210,¡º,66,105,12,0.752,35,60
2017-01,86,32~249,¡º,63,92,11,0.842,25,62
2017-02,76,32~104,¡º,54,83,9,0.757,27,86
2017-03,63,32~107,¡º,40,72,10,0.797,28,81
2017-04,74,37~110,¡º,46,87,15,0.827,22,112
2017-05,83,48~138,¡º,45,78,14,0.861,20,130
2017-06,49,24~107,”≈,27,44,8,1.023,11,83
2017-07,60,31~113,¡º,33,62,10,0.887,9,95
2017-08,48,30~72,”≈,25,44,9,0.919,9,88
2017-09,55,26~100,¡º,29,52,10,0.92,12,91
2017-10,52,24~95,¡º,32,54,10,0.852,16,83
2017-11,63,25~95,¡º,44,72,12,0.893,23,59
2017-12,75,20~122,¡º,54,89,17,0.877,30,56
2018-01,62,18~129,¡º,43,70,13,0.887,25,44
2018-02,65,23~163,¡º,42,73,10,0.732,16,73
2018-03,55,23~86,¡º,34,61,16,0.794,19,86
2018-04,64,26~87,¡º,36,81,12,0.738,20,92
