‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,107,107~107,«·∂»Œ€»æ,80,157,35,1.7,41,85
2014-01,76,52~123,¡º,47,92,37,1.516,20,101
2014-02,63,42~102,¡º,34,63,25,1.229,26,81
2014-03,66,44~92,¡º,41,78,29,1.371,24,87
2014-04,78,32~140,¡º,47,83,30,1.533,23,118
2014-05,67,38~113,¡º,32,54,23,1.519,19,113
2014-06,48,26~83,”≈,26,39,22,1.567,17,86
2014-07,47,20~90,”≈,26,41,28,1.455,19,85
2014-08,49,28~91,”≈,26,38,24,1.242,19,89
2014-09,48,28~75,”≈,28,39,24,0.957,21,85
2014-10,62,27~121,¡º,41,59,28,1.181,21,87
2014-11,56,38~72,¡º,28,63,29,0.92,22,67
2014-12,63,39~99,¡º,42,69,31,1.394,27,69
2015-01,56,33~95,¡º,34,54,34,1.252,25,84
2015-02,58,29~86,¡º,31,48,24,0.843,17,103
2015-03,73,44~108,¡º,37,59,21,0.781,18,124
2015-04,66,38~104,¡º,31,49,26,0.933,18,110
2015-05,79,43~122,¡º,32,48,21,0.848,15,134
2015-06,50,30~102,”≈,20,30,12,0.757,14,94
2015-07,57,34~92,¡º,33,43,26,0.826,20,100
2015-08,44,23~72,”≈,26,35,22,0.868,18,72
2015-09,40,23~72,”≈,26,36,19,0.943,18,64
2015-10,53,28~107,¡º,32,48,24,0.945,21,84
2015-11,46,26~68,”≈,24,44,26,0.84,21,77
2015-12,53,33~92,¡º,34,57,20,0.945,22,63
2016-01,52,37~70,¡º,28,54,24,0.884,21,80
2016-02,60,32~94,¡º,41,63,21,1.103,19,64
2016-03,63,32~104,¡º,39,73,24,0.832,20,99
2016-04,76,49~104,¡º,34,72,24,0.797,18,130
2016-05,77,31~119,¡º,28,55,17,0.868,15,129
2016-06,51,25~92,¡º,18,37,20,0.893,14,94
2016-07,39,22~57,”≈,20,37,23,0.948,16,70
2016-08,50,30~75,”≈,31,49,23,1.055,20,88
2016-09,59,40~87,¡º,38,59,21,0.98,21,89
2016-10,51,30~87,¡º,30,53,25,1.116,18,76
2016-11,60,27~97,¡º,26,52,21,0.7,23,98
2016-12,66,36~117,¡º,39,77,18,1.003,40,83
2017-01,48,33~62,”≈,24,48,18,0.955,20,73
2017-02,65,31~120,¡º,32,57,16,0.886,22,91
2017-03,74,43~119,¡º,32,74,21,0.923,21,113
2017-04,69,46~115,¡º,28,70,25,1.013,20,107
2017-05,66,45~95,¡º,24,67,25,0.865,20,111
2017-06,50,35~80,”≈,20,46,17,0.96,23,78
2017-07,50,30~83,¡º,25,54,18,1.039,29,66
2017-08,48,30~72,”≈,22,50,19,0.948,28,72
2017-09,41,28~61,”≈,25,39,16,1.063,20,65
2017-10,39,25~74,”≈,23,39,15,1.013,19,56
2017-11,59,36~110,¡º,37,60,14,1.12,27,72
2017-12,65,39~147,¡º,45,69,15,1.258,30,67
2018-01,51,26~79,¡º,30,51,12,0.881,23,71
2018-02,68,44~112,¡º,42,65,13,0.843,19,87
2018-03,71,40~104,¡º,44,65,14,1.01,20,119
2018-04,80,38~100,¡º,44,76,12,0.938,20,130
