‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,50,50~50,”≈,25,51,120,0.8,29,44
2015-01,118,62~264,«·∂»Œ€»æ,83,149,187,1.703,51,60
2015-02,117,58~262,«·∂»Œ€»æ,85,133,137,1.714,38,92
2015-03,83,54~135,¡º,51,110,77,1.119,31,101
2015-04,74,43~139,¡º,32,83,43,0.943,29,112
2015-05,102,49~200,«·∂»Œ€»æ,33,71,31,0.739,25,160
2015-06,130,69~183,«·∂»Œ€»æ,37,66,34,0.957,22,192
2015-07,122,69~168,«·∂»Œ€»æ,50,84,35,1.232,29,184
2015-08,88,55~127,¡º,36,82,40,1.187,32,144
2015-09,62,36~122,¡º,38,55,28,1.23,32,100
2015-10,70,40~148,¡º,44,79,45,1.265,39,96
2015-11,90,38~233,¡º,62,80,96,1.763,44,54
2015-12,109,36~217,«·∂»Œ€»æ,76,115,164,2.068,50,49
2016-01,105,42~208,«·∂»Œ€»æ,72,101,154,1.529,41,62
2016-02,95,42~225,¡º,62,87,113,1.4,31,91
2016-03,110,57~233,«·∂»Œ€»æ,73,147,82,1.2,40,112
2016-04,81,55~129,¡º,42,101,38,0.88,27,120
2016-05,95,61~150,¡º,51,94,35,0.887,28,150
2016-06,89,64~123,¡º,41,77,34,0.97,31,146
2016-07,97,50~145,¡º,47,80,27,1.152,27,154
2016-08,80,43~131,¡º,37,74,29,1.032,25,127
2016-09,68,44~103,¡º,37,65,31,1,30,110
2016-10,72,33~115,¡º,48,75,40,1.126,34,98
2016-11,102,50~180,«·∂»Œ€»æ,70,118,86,1.28,39,75
2016-12,143,47~298,«·∂»Œ€»æ,107,146,139,1.687,43,55
2017-01,133,59~253,«·∂»Œ€»æ,98,159,143,1.584,38,68
2017-02,107,48~212,«·∂»Œ€»æ,77,123,99,1.389,37,93
2017-03,85,51~179,¡º,56,99,57,1.148,36,108
2017-04,81,45~154,¡º,34,93,26,0.883,28,127
2017-05,115,53~500,«·∂»Œ€»æ,43,127,15,0.761,28,148
2017-06,101,60~133,«·∂»Œ€»æ,34,78,17,0.783,29,160
2017-07,94,45~144,¡º,36,76,16,0.839,25,149
2017-08,83,42~112,¡º,29,69,15,1.01,27,136
2017-09,83,54~127,¡º,39,100,22,1.017,34,124
2017-10,75,33~124,¡º,50,90,27,1.084,39,76
2017-11,86,58~144,¡º,47,121,46,0.933,37,64
2017-12,105,51~244,«·∂»Œ€»æ,68,145,75,1.229,44,59
2018-01,98,53~193,¡º,61,131,66,1.277,38,60
2018-02,95,51~278,¡º,51,127,68,1.207,31,92
2018-03,115,55~394,«·∂»Œ€»æ,59,156,42,1.084,35,115
2018-04,106,55~181,«·∂»Œ€»æ,39,159,17,0.763,21,105
