‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,65,65~65,¡º,14,79,20,2.1,9,38
2015-01,87,38~166,¡º,63,98,73,1.878,26,33
2015-04,69,44~104,¡º,31,89,18,2.681,17,58
2015-05,66,36~110,¡º,27,82,14,1.148,16,70
2015-06,56,25~113,¡º,26,46,9,0.987,14,78
2015-07,50,23~109,”≈,29,46,6,1.216,13,75
2015-08,51,36~96,¡º,25,55,10,1.635,13,65
2015-09,59,36~142,¡º,28,62,14,1.773,15,69
2015-10,68,39~152,¡º,36,79,15,2.129,18,60
2015-11,93,46~212,¡º,60,81,52,2.56,26,43
2015-12,102,26~314,«·∂»Œ€»æ,70,101,67,2.455,32,32
2016-01,71,40~253,¡º,37,58,74,1.81,26,44
2016-02,52,26~124,¡º,31,44,43,1.728,19,52
2016-03,77,32~230,¡º,47,88,33,1.752,25,62
2016-04,72,42~144,¡º,34,93,17,1.877,18,73
2016-05,65,47~110,¡º,31,68,15,2.106,18,94
2016-06,66,54~97,¡º,34,57,15,2.443,16,94
2016-07,66,40~104,¡º,36,67,14,2.155,15,101
2016-08,58,28~88,¡º,27,53,19,1.845,17,100
2016-09,52,33~119,¡º,19,32,23,1.703,18,90
2016-10,62,35~159,¡º,37,61,23,1.565,22,58
2016-11,90,41~182,¡º,63,102,62,1.307,33,47
2016-12,108,42~269,«·∂»Œ€»æ,77,115,75,1.587,32,47
2017-01,114,39~260,«·∂»Œ€»æ,81,119,80,1.568,31,56
2017-02,91,41~240,¡º,61,93,53,1.179,27,77
2017-03,70,49~145,¡º,42,81,41,0.906,26,93
2017-04,76,47~159,¡º,35,96,16,0.843,20,114
2017-05,113,38~500,«·∂»Œ€»æ,42,121,13,0.855,16,141
2017-06,89,32~153,¡º,29,59,13,0.733,18,144
2017-07,102,60~189,«·∂»Œ€»æ,30,62,8,0.813,16,160
2017-08,63,31~114,¡º,25,52,9,0.771,16,111
2017-09,77,37~151,¡º,36,68,16,0.93,24,122
2017-10,68,34~182,¡º,42,67,19,1.161,29,81
2017-11,63,32~142,¡º,37,73,35,1.017,29,64
2017-12,78,31~183,¡º,52,82,70,1.461,32,53
2018-01,70,46~134,¡º,41,78,63,1.277,28,64
2018-02,77,40~132,¡º,51,87,60,1.254,26,88
2018-03,89,47~190,¡º,56,103,33,1.081,26,106
2018-04,76,44~137,¡º,39,98,14,0.838,16,97
