‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,93,93~93,¡º,26,137,51,2.4,36,27
2014-01,98,46~193,¡º,71,107,93,2.648,45,27
2014-02,104,43~246,«·∂»Œ€»æ,76,120,75,3.293,37,46
2014-03,91,48~242,¡º,66,103,54,3.148,35,61
2014-04,79,52~136,¡º,53,93,35,2.05,34,87
2014-05,66,42~114,¡º,36,70,23,1.874,31,113
2014-06,68,40~130,¡º,41,71,18,1.65,37,105
2014-07,69,50~161,¡º,44,75,15,2.342,25,100
2014-08,70,43~132,¡º,42,77,12,1.823,30,106
2014-09,65,34~85,¡º,35,78,21,1.897,35,84
2014-10,104,51~443,«·∂»Œ€»æ,75,128,29,1.787,50,87
2014-11,116,56~457,«·∂»Œ€»æ,86,146,64,2.677,54,61
2014-12,94,59~145,¡º,65,102,93,2.89,60,42
2015-01,107,45~241,«·∂»Œ€»æ,80,117,108,2.545,71,37
2015-02,95,37~260,¡º,68,110,91,2.515,64,46
2015-03,75,49~123,¡º,49,95,49,1.823,43,68
2015-04,75,40~108,¡º,45,93,26,1.62,36,94
2015-05,75,39~137,¡º,31,74,20,1.152,30,119
2015-06,71,46~110,¡º,33,58,13,1.087,28,123
2015-07,65,39~137,¡º,34,56,9,1.035,26,109
2015-08,63,29~95,¡º,33,56,10,1.048,23,108
2015-09,61,41~97,¡º,32,65,18,1.04,35,94
2015-10,73,37~166,¡º,48,82,25,1.155,37,82
2015-11,139,54~500,«·∂»Œ€»æ,112,143,51,1.667,45,50
2015-12,116,40~298,«·∂»Œ€»æ,87,121,89,1.848,50,37
2016-01,102,56~208,«·∂»Œ€»æ,76,114,90,1.848,44,42
2016-02,74,49~132,¡º,51,78,67,1.572,37,58
2016-03,82,39~213,¡º,51,102,50,1.358,35,98
2016-04,76,52~95,¡º,36,80,27,1.3,30,120
2016-05,84,47~123,¡º,31,63,23,1.358,31,138
2016-06,69,40~100,¡º,32,52,16,1.407,29,118
2016-07,59,33~91,¡º,33,50,10,1.403,23,100
2016-08,55,28~119,¡º,27,48,10,1.374,24,93
2016-09,50,29~72,”≈,28,47,16,1.423,28,81
2016-10,59,30~128,¡º,39,60,19,1.235,38,62
2016-11,80,36~207,¡º,57,84,39,1.257,38,45
2016-12,102,41~243,«·∂»Œ€»æ,74,109,55,1.565,43,38
2017-01,103,47~294,«·∂»Œ€»æ,75,111,72,1.687,46,47
2017-02,78,36~130,¡º,54,81,55,1.539,39,66
2017-03,87,40~148,¡º,62,99,39,1.306,40,85
2017-04,70,41~124,¡º,38,82,18,1.183,30,95
2017-05,69,36~121,¡º,28,66,12,1.01,24,109
2017-06,61,37~123,¡º,27,57,11,1.057,27,105
2017-07,62,38~132,¡º,25,45,8,1.281,20,105
2017-08,43,25~91,”≈,18,38,9,1.248,22,78
2017-09,51,28~87,¡º,24,52,12,1.247,25,90
2017-10,60,26~104,¡º,37,65,17,1.335,34,68
2017-11,61,36~148,¡º,35,64,29,1.173,30,59
2017-12,80,45~155,¡º,54,94,44,1.845,40,40
2018-01,74,51~123,¡º,50,90,42,1.619,41,48
2018-02,71,51~152,¡º,46,83,37,1.421,34,71
2018-03,71,44~140,¡º,45,74,27,1.284,32,99
2018-04,60,48~80,¡º,32,68,13,0.95,25,94
