‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,163,163~163,÷–∂»Œ€»æ,124,154,27,1.8,60,108
2015-01,119,37~263,«·∂»Œ€»æ,90,112,31,1.171,42,62
2015-02,93,28~238,¡º,69,83,22,1.146,42,51
2015-03,67,24~133,¡º,47,60,13,0.965,27,51
2015-04,70,37~107,¡º,50,68,27,0.837,28,99
2015-05,55,33~99,¡º,35,48,17,0.787,22,91
2015-06,40,23~72,”≈,26,38,22,0.78,13,64
2015-07,52,24~95,¡º,33,49,17,0.897,13,73
2015-08,66,31~130,¡º,38,67,22,0.881,16,98
2015-09,55,26~100,¡º,34,58,20,0.923,15,69
2015-10,74,30~127,¡º,50,84,21,1.142,25,102
2015-11,40,26~64,”≈,23,32,20,1.307,21,49
2015-12,43,22~85,”≈,24,38,18,1.232,24,43
2016-01,61,29~112,¡º,43,61,19,1.416,27,44
2016-02,66,27~211,¡º,43,65,29,1.152,26,82
2016-03,71,33~144,¡º,49,67,30,1.21,28,66
2016-04,58,36~92,¡º,34,52,18,1.033,18,87
2016-05,57,33~111,¡º,33,52,18,0.894,18,89
2016-06,41,28~61,”≈,21,35,30,0.717,13,69
2016-07,43,21~77,”≈,24,39,33,0.645,12,73
2016-08,54,26~111,¡º,31,47,20,0.768,14,95
2016-09,76,23~146,¡º,47,65,17,0.847,19,117
2016-10,63,30~95,¡º,42,61,17,0.942,20,91
2016-11,56,20~107,¡º,39,55,18,1,20,55
2016-12,110,32~217,«·∂»Œ€»æ,82,113,26,1.313,36,81
2017-01,138,30~370,«·∂»Œ€»æ,105,127,21,1.39,29,83
2017-02,99,48~208,¡º,73,98,19,1.136,26,78
2017-03,67,25~147,¡º,47,70,19,1.129,23,59
2017-04,67,41~95,¡º,43,69,23,0.85,15,92
2017-05,67,40~128,¡º,37,61,20,0.735,19,107
2017-06,42,22~77,”≈,22,38,13,0.6,16,74
2017-07,48,24~119,”≈,28,47,15,0.529,14,80
2017-08,46,27~100,”≈,25,44,15,0.6,14,81
2017-09,58,32~97,¡º,31,54,14,0.627,16,98
2017-10,68,25~135,¡º,42,67,15,0.723,19,109
2017-11,76,24~152,¡º,54,79,15,1.047,27,79
2017-12,99,28~183,¡º,73,100,22,1.061,30,85
2018-01,103,25~200,«·∂»Œ€»æ,75,105,20,1.342,31,64
2018-02,92,27~192,¡º,67,98,17,1.089,24,76
2018-03,73,39~129,¡º,51,78,16,0.839,22,82
2018-04,77,44~112,¡º,49,101,18,0.7,17,100
