‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,179,33~413,÷–∂»Œ€»æ,142,192,45,1.623,79,43
2014-01,136,53~265,«·∂»Œ€»æ,103,142,33,1.155,61,49
2014-02,81,20~252,¡º,60,71,19,0.879,39,55
2014-03,82,46~139,¡º,59,95,23,0.826,50,86
2014-04,83,37~140,¡º,60,96,22,0.77,51,90
2014-05,91,46~151,¡º,59,115,19,0.823,46,128
2014-06,89,36~181,¡º,54,88,13,0.813,40,130
2014-07,84,36~150,¡º,44,72,10,0.768,34,129
2014-08,75,27~120,¡º,45,70,12,0.903,35,118
2014-09,74,28~162,¡º,46,70,15,0.813,34,118
2014-10,88,49~146,¡º,59,98,21,0.848,47,128
2014-11,101,41~164,«·∂»Œ€»æ,75,107,22,1.05,59,67
2014-12,100,57~145,¡º,72,117,32,1.006,61,49
2015-01,118,31~236,«·∂»Œ€»æ,89,120,25,1.223,62,48
2015-02,88,30~179,¡º,65,87,13,0.95,39,73
2015-03,76,45~138,¡º,53,81,15,0.839,47,82
2015-04,82,35~136,¡º,54,89,17,0.847,48,118
2015-05,94,40~169,¡º,54,82,15,0.758,41,138
2015-06,68,36~104,¡º,40,61,9,0.737,36,106
2015-07,64,21~115,¡º,31,49,10,0.706,31,106
2015-08,81,27~138,¡º,39,61,13,0.797,34,131
2015-09,91,31~172,¡º,43,67,16,0.837,43,137
2015-10,83,48~143,¡º,56,90,18,0.861,53,115
2015-11,80,39~147,¡º,52,77,15,1.107,57,38
2015-12,123,56~283,«·∂»Œ€»æ,90,135,20,1.19,65,40
2016-01,111,56~222,«·∂»Œ€»æ,80,119,17,1.061,63,48
2016-02,89,38~162,¡º,64,101,14,0.848,41,84
2016-03,99,40~217,¡º,72,123,16,0.832,58,103
2016-04,83,46~143,¡º,46,82,11,0.81,50,115
2016-05,85,52~128,¡º,46,77,9,0.829,43,123
2016-06,74,34~152,¡º,36,58,8,0.75,36,117
2016-07,81,25~173,¡º,32,55,8,0.723,32,129
2016-08,93,23~144,¡º,25,41,9,0.626,20,149
2016-09,75,27~141,¡º,33,50,10,0.697,30,118
2016-10,60,38~87,¡º,32,54,12,0.797,45,65
2016-11,79,35~139,¡º,52,85,13,0.973,56,49
2016-12,98,44~158,¡º,69,110,15,1.123,63,50
2017-01,91,38~210,¡º,63,90,14,1.032,50,53
2017-02,92,37~172,¡º,67,93,14,0.907,51,81
2017-03,80,43~159,¡º,54,87,13,0.816,54,89
2017-04,89,43~139,¡º,47,83,13,0.883,49,133
2017-05,102,42~189,«·∂»Œ€»æ,41,72,11,0.823,45,151
2017-06,72,38~190,¡º,30,45,8,0.773,34,113
2017-07,88,36~201,¡º,27,47,8,0.681,28,141
2017-08,76,34~129,¡º,23,38,7,0.697,28,127
2017-09,81,34~176,¡º,32,51,9,0.903,39,115
2017-10,63,33~135,¡º,32,58,11,0.835,42,90
2017-11,78,35~113,¡º,48,84,12,0.957,58,59
2017-12,102,64~236,«·∂»Œ€»æ,74,117,14,1.197,67,45
2018-01,97,44~186,¡º,66,96,14,1.045,60,42
2018-02,82,29~183,¡º,58,86,11,0.957,43,69
2018-03,73,43~128,¡º,45,74,9,0.919,51,89
2018-04,79,62~101,¡º,41,91,9,0.788,47,91
