‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,42,42~42,”≈,27,42,10,0.6,26,43
2015-01,94,39~205,¡º,68,107,51,1.103,43,39
2015-02,87,35~291,¡º,61,101,34,1.211,31,56
2015-03,73,29~155,¡º,39,94,20,1,30,73
2015-04,73,35~164,¡º,34,95,10,0.837,21,88
2015-05,65,28~170,¡º,24,76,5,0.516,17,91
2015-06,59,36~93,¡º,26,54,4,0.567,16,102
2015-07,72,41~128,¡º,22,34,4,0.742,17,125
2015-08,59,29~105,¡º,18,29,4,0.806,15,107
2015-09,53,26~89,¡º,19,41,6,1.027,27,90
2015-10,76,25~299,¡º,48,74,12,1.161,33,83
2015-11,138,37~500,«·∂»Œ€»æ,110,157,32,1.157,44,63
2015-12,132,29~388,«·∂»Œ€»æ,101,140,66,1.352,45,48
2016-01,75,37~163,¡º,52,78,35,0.987,32,54
2016-02,65,32~309,¡º,42,75,26,0.972,22,66
2016-03,78,33~384,¡º,37,95,18,1.055,22,82
2016-04,81,36~378,¡º,27,103,7,0.707,16,93
2016-05,88,43~174,¡º,25,85,6,0.723,13,140
2016-06,90,40~159,¡º,20,40,4,0.71,15,146
2016-07,92,40~157,¡º,23,54,5,0.787,18,148
2016-08,75,28~115,¡º,17,49,5,0.758,19,128
2016-09,54,24~108,¡º,19,42,4,0.767,25,94
2016-10,55,36~128,¡º,33,54,10,0.839,30,79
2016-11,88,32~443,¡º,67,85,30,0.967,32,65
2016-12,83,32~159,¡º,59,84,28,1.274,27,43
2017-01,109,34~282,«·∂»Œ€»æ,80,109,36,1.365,27,40
2017-02,68,34~220,¡º,43,75,25,1.014,20,63
2017-03,76,30~186,¡º,53,85,21,1.094,27,82
2017-04,79,38~310,¡º,32,100,12,1.24,18,88
2017-05,112,39~500,«·∂»Œ€»æ,27,136,7,1.055,13,116
2017-06,83,35~159,¡º,18,45,6,0.833,16,136
2017-07,94,33~163,¡º,20,46,7,0.729,15,150
2017-08,50,32~117,¡º,14,39,6,0.919,11,87
2017-09,46,30~75,”≈,14,40,5,0.9,14,83
2017-10,73,32~196,¡º,41,86,12,0.884,25,80
2017-11,73,30~289,¡º,39,87,14,0.897,20,52
2017-12,67,28~166,¡º,44,74,23,1.148,29,47
2018-01,68,36~160,¡º,44,74,20,1.048,28,56
2018-02,65,40~134,¡º,37,74,17,1.143,20,70
2018-03,102,44~458,«·∂»Œ€»æ,53,121,15,0.897,25,108
2018-04,78,48~123,¡º,40,99,7,0.488,19,111
