‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,76,76~76,¡º,43,101,18,0.5,14,92
2015-01,74,53~137,¡º,44,94,25,0.573,15,90
2015-02,77,55~100,¡º,41,103,27,0.457,12,92
2015-03,90,58~191,¡º,51,125,19,0.457,10,109
2015-04,82,68~118,¡º,48,99,24,0.473,18,128
2015-05,82,55~109,¡º,43,73,22,0.545,22,130
2015-06,81,55~114,¡º,39,64,21,0.447,25,134
2015-07,78,44~102,¡º,30,68,21,0.8,30,128
2015-08,73,54~97,¡º,39,83,21,0.59,35,120
2015-09,61,43~82,¡º,16,63,25,0.869,32,100
2015-10,83,49~131,¡º,45,115,32,0.697,33,98
2015-11,85,58~131,¡º,54,116,40,0.853,27,90
2015-12,73,54~101,¡º,50,89,41,0.845,18,86
2016-01,77,48~196,¡º,45,96,36,0.761,10,91
2016-02,71,53~117,¡º,44,86,29,0.666,10,101
2016-03,76,56~108,¡º,52,87,28,0.713,15,109
2016-04,74,54~125,¡º,42,84,23,0.643,17,117
2016-05,71,0~95,¡º,39,69,19,0.545,17,116
2016-06,74,0~108,¡º,38,65,17,0.517,15,122
2016-07,72,40~100,¡º,41,70,14,0.51,17,111
2016-08,67,0~99,¡º,26,55,11,0.558,21,113
2016-09,63,47~80,¡º,15,36,13,0.507,18,115
2016-10,63,43~112,¡º,27,66,23,0.952,21,105
2016-11,70,50~94,¡º,33,89,33,0.987,19,94
2016-12,71,0~118,¡º,35,93,43,1.042,18,86
2017-01,68,46~120,¡º,34,85,44,1.339,18,93
2017-02,78,48~255,¡º,35,100,39,1.139,15,99
2017-03,68,51~91,¡º,26,60,34,1.084,14,119
2017-04,76,55~105,¡º,26,70,30,1.023,14,126
2017-05,83,58~112,¡º,23,56,22,0.874,14,137
2017-06,84,62~148,¡º,20,44,16,0.947,13,138
2017-07,71,48~97,¡º,22,42,18,1.068,15,125
2017-08,59,38~90,¡º,29,38,14,1.09,13,108
2017-09,57,41~80,¡º,23,35,16,0.917,16,106
2017-10,54,37~90,¡º,24,41,16,0.855,17,103
2017-11,55,43~72,¡º,28,55,31,0.967,21,99
2017-12,67,50~118,¡º,36,76,40,0.974,26,104
2018-01,73,55~179,¡º,32,81,46,0.874,21,118
2018-02,83,55~207,¡º,25,65,44,1.086,19,138
2018-03,80,52~207,¡º,27,56,41,0.661,20,133
2018-04,86,61~122,¡º,36,100,39,0.475,21,125
