‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,241,109~464,÷ÿ∂»Œ€»æ,193,315,155,1.666,72,42
2014-01,207,76~480,÷ÿ∂»Œ€»æ,158,278,91,1.435,58,50
2014-02,145,51~424,«·∂»Œ€»æ,109,180,71,1.029,37,80
2014-03,155,87~494,÷–∂»Œ€»æ,108,217,80,0.977,44,105
2014-04,123,52~226,«·∂»Œ€»æ,86,178,72,0.88,42,139
2014-05,127,73~194,«·∂»Œ€»æ,70,175,65,0.768,38,181
2014-06,131,66~277,«·∂»Œ€»æ,80,143,42,0.85,41,172
2014-07,107,58~153,«·∂»Œ€»æ,59,114,39,0.852,29,159
2014-08,100,55~148,«·∂»Œ€»æ,60,111,54,0.829,31,156
2014-09,82,38~120,¡º,53,103,49,0.83,31,119
2014-10,100,53~174,«·∂»Œ€»æ,69,141,66,0.903,39,125
2014-11,127,64~213,«·∂»Œ€»æ,94,172,80,1.237,49,68
2014-12,153,72~308,÷–∂»Œ€»æ,114,205,102,1.265,55,47
2015-01,169,64~319,÷–∂»Œ€»æ,130,215,75,1.258,52,55
2015-02,140,46~254,«·∂»Œ€»æ,106,179,63,1.046,35,75
2015-03,133,75~467,«·∂»Œ€»æ,85,186,54,1.016,35,94
2015-04,115,64~268,«·∂»Œ€»æ,79,161,56,0.913,32,124
2015-05,109,63~170,«·∂»Œ€»æ,71,145,47,0.829,27,155
2015-06,110,44~156,«·∂»Œ€»æ,64,130,42,0.79,24,163
2015-07,89,52~151,¡º,53,109,37,0.652,21,130
2015-08,89,49~136,¡º,49,96,45,0.771,29,131
2015-09,95,37~196,¡º,60,115,54,0.873,31,134
2015-10,137,67~245,«·∂»Œ€»æ,102,172,54,1.039,43,123
2015-11,136,35~272,«·∂»Œ€»æ,103,149,53,1.107,38,61
2015-12,180,67~325,÷–∂»Œ€»æ,140,209,74,1.403,51,47
2016-01,184,67~351,÷–∂»Œ€»æ,144,200,58,1.326,42,53
2016-02,151,42~257,÷–∂»Œ€»æ,115,178,61,1.097,35,86
2016-03,135,57~242,«·∂»Œ€»æ,98,182,55,0.829,33,113
2016-04,122,62~239,«·∂»Œ€»æ,84,175,38,0.857,28,138
2016-05,96,47~145,¡º,54,117,32,0.645,23,141
2016-06,102,64~139,«·∂»Œ€»æ,52,102,22,0.64,22,158
2016-07,73,43~114,¡º,43,79,21,0.594,16,116
2016-08,76,45~125,¡º,35,76,25,0.587,20,117
2016-09,99,51~144,¡º,58,114,27,0.64,28,150
2016-10,77,45~199,¡º,51,98,22,0.661,26,76
2016-11,108,42~209,«·∂»Œ€»æ,78,143,31,0.907,35,62
2016-12,154,55~299,÷–∂»Œ€»æ,118,189,41,1.158,42,57
2017-01,135,57~279,«·∂»Œ€»æ,101,169,33,1.11,34,72
2017-02,130,64~236,«·∂»Œ€»æ,96,161,42,0.932,32,95
2017-03,99,57~196,¡º,69,133,36,0.806,30,110
2017-04,103,67~175,«·∂»Œ€»æ,63,132,33,0.83,28,136
2017-05,140,59~500,«·∂»Œ€»æ,55,138,34,0.665,20,178
2017-06,109,43~195,«·∂»Œ€»æ,47,109,26,0.61,19,165
2017-07,83,29~136,¡º,33,77,27,0.587,15,132
2017-08,78,34~147,¡º,32,73,18,0.568,14,128
2017-09,78,36~122,¡º,41,91,18,0.607,20,126
2017-10,87,35~169,¡º,58,111,24,0.755,32,102
2017-11,108,63~192,«·∂»Œ€»æ,74,153,32,0.863,42,71
2017-12,137,65~307,«·∂»Œ€»æ,102,186,39,1.19,51,52
2018-01,148,62~299,«·∂»Œ€»æ,112,176,31,1.165,47,64
2018-02,109,54~166,«·∂»Œ€»æ,75,143,25,0.95,33,87
2018-03,98,54~156,¡º,69,129,23,0.861,35,118
2018-04,104,67~158,«·∂»Œ€»æ,64,146,24,0.638,29,120
