‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,140,46~217,«·∂»Œ€»æ,106,138,56,1.22,50,106
2014-01,178,56~299,÷–∂»Œ€»æ,138,171,46,1.435,55,105
2014-02,91,31~225,¡º,68,80,25,1.186,29,65
2014-03,90,32~193,¡º,66,88,34,1.242,32,62
2014-04,77,38~202,¡º,56,80,27,1.07,25,80
2014-05,84,44~124,¡º,57,86,30,1.061,27,110
2014-06,80,43~151,¡º,53,75,27,0.98,25,122
2014-07,63,38~126,¡º,36,62,25,0.855,22,108
2014-08,66,32~144,¡º,38,62,24,0.855,22,110
2014-09,72,36~117,¡º,47,78,31,0.93,23,117
2014-10,127,69~219,«·∂»Œ€»æ,95,140,42,1.187,35,160
2014-11,88,34~221,¡º,65,93,43,1.207,28,83
2014-12,104,41~187,«·∂»Œ€»æ,77,108,50,1.145,34,93
2015-01,120,32~242,«·∂»Œ€»æ,90,120,36,1.332,39,90
2015-02,115,38~271,«·∂»Œ€»æ,87,107,24,1.307,31,78
2015-03,69,23~136,¡º,51,64,17,1.184,24,62
2015-04,77,36~118,¡º,49,74,22,0.977,23,125
2015-05,63,39~95,¡º,36,55,19,0.903,19,109
2015-06,53,35~78,¡º,23,40,15,0.87,14,99
2015-07,59,26~159,¡º,34,53,18,0.948,17,102
2015-08,64,34~112,¡º,41,65,24,0.948,19,103
2015-09,61,32~107,¡º,41,64,24,1.01,20,94
2015-10,81,42~133,¡º,58,93,34,1.094,29,113
2015-11,54,32~124,¡º,36,55,26,1.24,24,58
2015-12,64,30~147,¡º,45,62,31,1.119,24,56
2016-01,66,32~129,¡º,47,66,28,1.332,27,55
2016-02,89,39~244,¡º,65,90,29,1.166,26,84
2016-03,88,31~170,¡º,65,90,24,1.155,33,72
2016-04,59,32~110,¡º,39,59,19,1.073,22,82
2016-05,58,33~104,¡º,35,58,18,0.994,22,89
2016-06,46,29~80,”≈,22,39,13,0.843,18,86
2016-07,51,25~94,¡º,26,47,12,0.881,16,94
2016-08,61,34~120,¡º,34,58,19,1.023,20,101
2016-09,70,32~111,¡º,48,76,27,0.91,21,110
2016-10,59,25~92,¡º,39,61,21,0.965,20,87
2016-11,54,25~122,¡º,37,60,20,1.033,26,59
2016-12,97,33~178,¡º,72,107,27,1.2,38,70
2017-01,107,30~244,«·∂»Œ€»æ,79,104,21,1.261,30,74
2017-02,80,30~183,¡º,59,84,20,1.079,30,75
2017-03,62,27~142,¡º,43,68,19,1.097,29,54
2017-04,65,37~108,¡º,42,70,14,0.907,27,92
2017-05,69,38~124,¡º,42,69,16,0.958,28,107
2017-06,42,24~59,”≈,24,39,10,0.963,21,71
2017-07,47,22~103,”≈,26,46,11,0.868,22,80
2017-08,45,25~108,”≈,25,42,11,0.874,21,78
2017-09,55,29~114,¡º,33,56,15,0.987,24,92
2017-10,59,26~124,¡º,39,60,21,1.01,21,94
2017-11,74,28~147,¡º,53,76,30,1.13,29,66
2017-12,93,30~160,¡º,69,96,34,1.197,35,74
2018-01,91,30~195,¡º,67,88,27,1.229,33,52
2018-02,89,24~206,¡º,66,86,17,0.989,24,75
2018-03,73,30~132,¡º,52,76,13,0.968,30,79
2018-04,91,57~139,¡º,61,110,18,0.938,27,98
