‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,172,54~253,÷–∂»Œ€»æ,131,173,60,1.297,65,43
2014-01,206,75~365,÷ÿ∂»Œ€»æ,163,204,58,1.458,58,53
2014-02,99,35~236,¡º,74,96,33,0.996,37,33
2014-03,85,29~150,¡º,63,93,33,1.01,37,50
2014-04,87,42~167,¡º,64,101,43,1.063,43,74
2014-05,89,39~168,¡º,63,108,36,0.958,32,82
2014-06,89,22~164,¡º,64,94,27,0.953,25,116
2014-07,72,36~148,¡º,44,65,20,0.874,22,114
2014-08,68,30~124,¡º,45,65,17,0.813,22,102
2014-09,71,33~102,¡º,50,74,22,0.857,29,89
2014-10,108,35~199,«·∂»Œ€»æ,81,122,28,0.932,41,121
2014-11,94,41~310,¡º,68,103,27,1.04,43,51
2014-12,107,62~245,«·∂»Œ€»æ,78,123,43,0.958,52,47
2015-01,147,26~288,«·∂»Œ€»æ,113,157,43,1.248,53,51
2015-02,115,17~218,«·∂»Œ€»æ,86,118,29,1.05,37,63
2015-03,71,33~179,¡º,50,77,20,0.968,31,53
2015-04,66,33~103,¡º,44,71,24,0.803,30,93
2015-05,78,42~162,¡º,54,77,23,0.9,26,96
2015-06,48,29~105,”≈,25,45,21,0.783,18,83
2015-07,50,31~103,¡º,28,49,17,0.716,22,89
2015-08,67,26~114,¡º,34,60,20,0.752,23,112
2015-09,69,34~100,¡º,42,74,22,0.813,30,112
2015-10,83,38~120,¡º,55,103,23,0.874,44,115
2015-11,62,35~98,¡º,40,67,18,1.043,39,38
2015-12,111,38~259,«·∂»Œ€»æ,82,117,23,0.987,46,33
2016-01,117,62~212,«·∂»Œ€»æ,86,119,25,1.139,46,37
2016-02,98,39~286,¡º,71,108,28,0.866,36,79
2016-03,91,30~165,¡º,66,108,32,0.997,44,84
2016-04,63,40~92,¡º,39,69,30,0.893,34,84
2016-05,63,40~100,¡º,36,67,23,0.758,30,95
2016-06,64,32~121,¡º,30,54,25,0.703,24,107
2016-07,64,25~156,¡º,25,47,21,0.716,20,107
2016-08,65,33~130,¡º,31,57,20,0.668,23,109
2016-09,77,28~122,¡º,43,79,19,0.747,31,121
2016-10,66,33~99,¡º,40,74,17,0.784,37,56
2016-11,74,25~140,¡º,52,89,21,1.053,38,42
2016-12,119,42~213,«·∂»Œ€»æ,89,140,29,1.21,53,53
2017-01,145,50~345,«·∂»Œ€»æ,111,152,23,1.116,48,45
2017-02,96,43~205,¡º,71,103,24,0.893,41,69
2017-03,78,35~254,¡º,51,87,19,0.794,43,56
2017-04,71,31~104,¡º,45,78,18,0.763,33,100
2017-05,90,37~150,¡º,46,79,13,0.839,29,125
2017-06,48,28~93,”≈,26,40,12,0.73,20,84
2017-07,56,20~110,¡º,27,42,15,0.574,18,99
2017-08,54,30~87,¡º,27,40,16,0.619,19,96
2017-09,80,33~164,¡º,40,61,19,0.693,29,123
2017-10,67,21~139,¡º,45,70,13,0.652,36,87
2017-11,93,45~166,¡º,64,117,23,0.967,53,62
2017-12,106,48~179,«·∂»Œ€»æ,77,136,24,1.032,61,56
2018-01,97,39~230,¡º,70,114,25,1.074,47,46
2018-02,92,25~228,¡º,66,108,22,0.882,37,78
2018-03,68,32~119,¡º,44,80,18,0.887,42,82
2018-04,84,60~112,¡º,47,109,17,0.775,37,105
