‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,199,199~199,÷–∂»Œ€»æ,149,244,52,2.3,97,99
2014-01,185,55~372,÷–∂»Œ€»æ,145,182,52,1.581,50,99
2014-02,75,20~163,¡º,55,51,21,1.257,24,64
2014-03,82,18~158,¡º,61,71,19,1.258,27,55
2014-04,71,35~151,¡º,52,68,18,1.043,26,67
2014-05,77,38~130,¡º,55,82,16,1.119,24,75
2014-06,76,29~156,¡º,55,73,17,1.08,17,103
2014-07,53,27~98,¡º,34,53,20,0.848,18,77
2014-08,54,37~88,¡º,35,52,19,0.868,16,86
2014-09,67,36~110,¡º,46,62,23,1.003,17,102
2014-10,115,59~176,«·∂»Œ€»æ,85,112,33,1.181,28,142
2014-11,87,31~200,¡º,63,83,32,1.24,26,81
2014-12,85,30~164,¡º,62,85,39,1.019,35,89
2015-01,109,17~232,«·∂»Œ€»æ,82,108,30,1.045,39,83
2015-02,109,24~292,«·∂»Œ€»æ,82,105,16,1.414,28,59
2015-03,65,25~157,¡º,47,63,16,1.148,24,61
2015-04,72,36~109,¡º,49,76,19,1.103,23,106
2015-05,60,35~85,¡º,38,55,16,0.961,19,93
2015-06,43,29~67,”≈,25,39,15,0.82,15,75
2015-07,55,27~95,¡º,33,49,18,0.887,14,95
2015-08,60,29~110,¡º,35,54,21,0.897,20,97
2015-09,73,23~123,¡º,51,69,23,1.05,21,99
2015-10,88,25~131,¡º,59,78,29,0.99,27,129
2015-11,59,26~160,¡º,39,55,21,1.333,29,50
2015-12,71,27~147,¡º,51,67,21,1.1,29,57
2016-01,77,34~201,¡º,55,76,18,1.526,32,55
2016-02,93,36~271,¡º,69,96,17,1.1,31,90
2016-03,91,30~188,¡º,66,93,22,1.258,39,75
2016-04,65,37~165,¡º,44,63,19,1.06,30,77
2016-05,67,35~107,¡º,43,64,19,0.952,28,91
2016-06,47,30~76,”≈,26,40,12,0.777,18,85
2016-07,46,23~97,”≈,24,40,14,0.7,18,81
2016-08,64,27~150,¡º,36,55,18,0.91,22,108
2016-09,87,37~128,¡º,52,68,20,0.837,20,135
2016-10,57,22~90,¡º,39,53,15,0.877,19,82
2016-11,57,17~144,¡º,39,58,14,1.02,28,60
2016-12,95,28~170,¡º,70,92,19,1.106,38,78
2017-01,106,30~293,«·∂»Œ€»æ,78,96,16,1.245,33,74
2017-02,80,32~152,¡º,58,75,12,1.057,30,74
2017-03,57,26~132,¡º,39,54,14,0.894,28,63
2017-04,67,31~128,¡º,43,66,14,0.793,27,88
2017-05,71,33~114,¡º,39,60,15,0.755,24,111
2017-06,42,28~60,”≈,23,37,10,0.683,21,66
2017-07,44,22~91,”≈,23,40,11,0.555,16,77
2017-08,45,26~97,”≈,22,39,10,0.661,17,76
2017-09,66,32~135,¡º,38,60,15,0.77,17,112
2017-10,64,31~112,¡º,39,56,15,0.71,18,107
2017-11,76,28~145,¡º,54,71,19,0.847,32,81
2017-12,97,32~178,¡º,72,91,27,0.932,38,86
2018-01,93,25~202,¡º,68,83,22,1.081,33,59
2018-02,90,27~243,¡º,66,85,14,0.882,28,77
2018-03,63,22~127,¡º,41,60,11,0.832,31,82
2018-04,81,63~100,¡º,51,99,13,0.738,26,111
