‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,90,90~90,¡º,67,124,21,2,66,78
2014-01,96,40~183,¡º,71,102,17,1.49,41,98
2014-02,50,12~78,”≈,33,44,9,0.882,22,73
2014-03,59,20~105,¡º,39,62,13,1.016,29,77
2014-04,69,37~105,¡º,41,64,18,1.02,21,113
2014-05,46,31~93,”≈,21,39,15,0.965,17,79
2014-06,52,31~116,¡º,25,47,15,0.893,14,90
2014-07,51,34~89,¡º,26,47,12,0.881,14,90
2014-08,55,30~105,¡º,24,44,14,0.884,15,99
2014-09,55,30~84,¡º,29,51,17,1.007,16,98
2014-10,83,56~110,¡º,59,93,23,1.11,28,128
2014-11,70,25~110,¡º,51,74,19,1.19,28,79
2014-12,63,31~88,¡º,45,63,21,1.1,34,70
2015-01,71,31~105,¡º,51,74,12,1.123,38,72
2015-02,70,30~125,¡º,51,67,10,1.079,23,83
2015-03,51,16~97,¡º,35,48,9,1.019,20,72
2015-04,62,14~121,¡º,40,58,7,0.867,21,94
2015-05,42,29~89,”≈,22,36,6,0.916,16,71
2015-06,39,26~83,”≈,19,33,7,0.733,13,73
2015-07,46,26~83,”≈,25,42,6,0.755,14,79
2015-08,52,25~102,¡º,26,43,7,0.797,17,93
2015-09,56,27~87,¡º,35,51,9,0.97,19,96
2015-10,59,26~104,¡º,40,61,11,0.871,28,89
2015-11,57,21~79,¡º,37,62,12,1.027,27,64
2015-12,49,19~84,”≈,33,48,7,1.142,25,42
2016-01,47,26~93,”≈,29,41,6,1.032,26,45
2016-02,50,24~155,¡º,33,46,6,0.941,20,63
2016-03,59,21~104,¡º,36,56,7,1.003,31,74
2016-04,55,33~104,¡º,31,49,7,0.943,25,84
2016-05,49,28~85,”≈,26,47,7,0.832,22,85
2016-06,41,27~77,”≈,16,36,6,0.68,17,76
2016-07,49,30~108,”≈,22,42,7,0.755,18,84
2016-08,43,23~79,”≈,22,38,7,0.777,17,81
2016-09,48,20~87,”≈,28,47,6,0.87,21,83
2016-10,39,23~64,”≈,22,39,8,0.906,23,58
2016-11,53,20~97,¡º,33,55,9,1.01,31,59
2016-12,64,34~104,¡º,44,74,10,1.174,41,69
2017-01,63,32~201,¡º,44,63,9,1.206,30,66
2017-02,55,23~84,¡º,36,49,9,1,28,87
2017-03,52,28~77,¡º,29,52,9,1.106,34,74
2017-04,56,25~111,¡º,29,53,10,1.033,29,90
2017-05,58,34~115,¡º,30,51,7,0.987,27,99
2017-06,35,22~48,”≈,16,32,6,0.82,19,59
2017-07,41,20~75,”≈,19,38,7,0.745,18,67
2017-08,47,20~89,”≈,21,42,7,0.768,20,84
2017-09,53,31~82,¡º,29,55,8,0.92,26,90
2017-10,53,26~94,¡º,33,54,10,0.935,31,85
2017-11,55,23~79,¡º,36,57,8,1.073,32,60
2017-12,65,25~99,¡º,45,74,7,1.019,41,69
2018-01,61,26~114,¡º,40,63,7,1.087,39,62
2018-02,65,30~292,¡º,46,54,5,0.993,23,74
2018-03,64,35~95,¡º,37,58,6,0.926,33,102
2018-04,75,55~95,¡º,49,85,8,0.875,33,119
