‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,144,144~144,«·∂»Œ€»æ,97,237,26,7,48,91
2015-01,97,35~145,¡º,73,110,26,2.516,32,76
2015-02,78,35~160,¡º,56,92,22,1.382,23,69
2015-03,48,17~79,”≈,29,53,21,1.055,19,35
2015-04,63,27~115,¡º,40,75,20,1.447,26,85
2015-05,47,31~89,”≈,20,42,8,0.703,22,68
2015-06,39,28~52,”≈,19,34,13,0.687,17,72
2015-07,52,28~130,¡º,27,45,17,0.771,14,95
2015-08,65,36~117,¡º,36,56,17,0.758,19,109
2015-09,51,27~77,¡º,34,50,13,0.923,19,82
2015-10,61,23~109,¡º,40,61,16,1.335,23,92
2015-11,60,30~98,¡º,29,45,13,2.077,22,70
2015-12,44,26~87,”≈,29,43,13,1.084,19,49
2016-01,47,24~75,”≈,32,48,11,0.929,22,58
2016-02,58,26~172,¡º,39,58,17,1.097,25,78
2016-03,64,29~120,¡º,43,67,14,1.068,30,84
2016-04,65,37~137,¡º,41,58,9,1.063,24,93
2016-05,57,32~112,¡º,39,57,7,0.903,21,73
2016-06,43,28~56,”≈,27,42,10,0.94,16,64
2016-07,48,29~83,”≈,31,49,10,0.971,17,70
2016-08,51,25~103,¡º,35,51,9,0.961,15,75
2016-09,61,25~105,¡º,44,62,12,0.927,15,76
2016-10,55,20~82,¡º,37,57,11,0.848,15,75
2016-11,57,23~118,¡º,40,64,9,1.087,26,67
2016-12,83,50~124,¡º,61,95,14,1.252,35,85
2017-01,89,23~249,¡º,67,90,10,1.242,27,66
2017-02,76,40~114,¡º,56,77,9,1.107,25,71
2017-03,55,25~124,¡º,38,59,10,1.023,24,47
2017-04,59,34~95,¡º,40,63,10,0.917,28,71
2017-05,61,33~143,¡º,38,59,13,0.903,25,97
2017-06,42,30~75,”≈,24,42,9,0.96,19,65
2017-07,47,23~126,”≈,28,44,9,0.9,19,79
2017-08,43,22~78,”≈,26,43,12,0.874,19,70
2017-09,58,30~92,¡º,38,61,16,0.863,28,93
2017-10,57,23~117,¡º,40,60,14,0.865,24,88
2017-11,63,27~129,¡º,45,66,13,0.95,32,64
2017-12,80,34~130,¡º,58,87,18,1.174,40,85
2018-01,76,30~135,¡º,55,82,12,1.135,39,72
2018-02,81,28~247,¡º,60,86,10,1.121,26,78
2018-03,70,36~100,¡º,49,76,13,1.2,36,83
2018-04,86,52~104,¡º,60,106,17,1.075,36,115
