‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,43,43~43,”≈,30,40,44,2.6,48,54
2015-01,81,39~192,¡º,55,95,40,3.023,56,45
2015-02,88,35~175,¡º,49,110,26,1.811,36,71
2015-03,82,44~132,¡º,38,112,19,2.506,38,86
2015-04,71,36~187,¡º,28,87,18,3.31,34,101
2015-05,83,55~141,¡º,31,91,10,1.806,29,123
2015-06,86,52~150,¡º,31,74,9,0.773,25,137
2015-07,84,49~129,¡º,26,60,7,0.816,23,139
2015-08,79,50~110,¡º,26,65,7,0.874,30,132
2015-09,70,38~98,¡º,30,59,8,0.8,27,117
2015-10,68,36~108,¡º,32,77,12,0.99,37,92
2015-11,69,40~118,¡º,43,78,22,1.57,41,51
2015-12,105,32~192,«·∂»Œ€»æ,68,123,42,1.677,54,49
2016-01,74,37~150,¡º,45,86,47,1.668,51,48
2016-02,78,39~189,¡º,39,95,37,2.059,39,77
2016-03,93,46~292,¡º,47,118,24,1.971,41,102
2016-04,73,41~146,¡º,27,88,9,0.933,31,113
2016-05,85,46~164,¡º,30,89,7,0.903,24,123
2016-06,93,58~130,¡º,21,54,7,0.737,24,150
2016-07,89,46~145,¡º,21,46,5,0.842,18,146
2016-08,70,37~115,¡º,27,54,6,0.942,21,118
2016-09,59,43~77,¡º,27,58,8,0.9,32,97
2016-10,59,41~80,¡º,28,63,10,1.129,37,76
2016-11,88,35~159,¡º,47,120,33,1.743,54,61
2016-12,88,42~150,¡º,55,98,43,2.048,60,48
2017-01,87,45~210,¡º,49,98,43,1.865,55,65
2017-02,80,44~139,¡º,44,85,36,1.7,52,90
2017-03,68,46~98,¡º,31,66,22,1.394,45,103
2017-04,77,35~151,¡º,22,74,11,1.14,37,121
2017-05,119,55~500,«·∂»Œ€»æ,45,128,10,1.165,37,141
2017-06,108,66~155,«·∂»Œ€»æ,31,66,10,1.12,34,168
2017-07,104,51~150,«·∂»Œ€»æ,29,59,8,1.161,26,163
2017-08,81,35~121,¡º,25,55,10,1.174,32,134
2017-09,72,48~118,¡º,29,75,11,1.153,37,119
2017-10,60,32~89,¡º,29,66,13,1.435,43,73
2017-11,77,51~103,¡º,36,95,29,1.683,55,66
2017-12,85,38~133,¡º,50,100,45,1.997,61,52
2018-01,87,53~163,¡º,51,103,42,1.845,55,59
2018-02,89,40~500,¡º,39,108,37,1.568,45,86
2018-03,95,54~171,¡º,52,128,22,1.555,51,109
2018-04,142,64~319,«·∂»Œ€»æ,48,204,14,1.025,36,113
