‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,136,136~136,«·∂»Œ€»æ,104,193,120,2.3,46,56
2015-01,96,51~146,¡º,61,130,81,2.016,39,54
2015-02,106,52~287,«·∂»Œ€»æ,65,144,69,2.289,29,66
2015-03,114,65~224,«·∂»Œ€»æ,61,176,53,2.223,30,87
2015-04,99,46~308,¡º,44,143,11,1.466,23,97
2015-05,95,51~500,¡º,51,126,8,1.048,21,108
2015-06,81,55~158,¡º,35,81,7,0.92,25,121
2015-07,61,46~85,¡º,23,59,8,1.703,23,108
2015-08,76,60~179,¡º,27,77,8,2.658,24,108
2015-09,61,38~86,¡º,21,55,9,1.29,21,104
2015-10,62,45~94,¡º,29,73,13,0.99,28,74
2015-11,60,42~98,¡º,28,61,49,1.843,37,60
2015-12,71,46~104,¡º,37,71,71,2.81,36,55
2016-01,85,50~124,¡º,51,101,65,2.932,35,59
2016-02,85,34~243,¡º,35,113,48,1.459,28,71
2016-03,115,46~395,«·∂»Œ€»æ,57,167,28,1.171,31,95
2016-04,73,49~92,¡º,27,68,7,1.03,26,122
2016-05,85,47~184,¡º,31,101,8,1.152,18,127
2016-06,87,51~266,¡º,35,90,8,0.78,15,130
2016-07,91,39~500,¡º,33,82,8,0.706,21,130
2016-08,60,37~97,¡º,22,46,8,0.868,18,105
2016-09,58,39~72,¡º,19,40,11,0.88,25,106
2016-10,69,38~157,¡º,28,86,13,0.994,29,86
2016-11,113,0~500,«·∂»Œ€»æ,58,164,39,1.377,41,68
2016-12,99,65~280,¡º,68,132,40,1.661,42,60
2017-01,113,55~500,«·∂»Œ€»æ,78,231,37,1.481,37,58
2017-02,109,50~309,«·∂»Œ€»æ,60,154,30,1.229,29,79
2017-03,75,47~142,¡º,39,98,22,0.874,26,98
2017-04,79,34~223,¡º,30,93,7,0.607,26,113
2017-05,115,57~400,«·∂»Œ€»æ,50,138,5,0.474,25,123
2017-06,86,46~203,¡º,36,97,4,0.553,24,130
2017-07,73,38~134,¡º,26,72,4,0.452,20,118
2017-08,70,43~165,¡º,23,63,6,0.565,20,116
2017-09,67,47~93,¡º,27,74,7,0.617,27,107
2017-10,68,33~122,¡º,41,85,9,0.906,30,90
2017-11,80,55~113,¡º,50,106,17,1.127,37,82
2017-12,117,52~500,«·∂»Œ€»æ,66,159,21,1.474,39,79
2018-01,89,51~163,¡º,53,122,17,1.287,28,76
2018-02,91,46~500,¡º,51,121,12,1.254,26,96
2018-03,162,65~500,÷–∂»Œ€»æ,70,234,9,0.752,29,112
2018-04,158,71~500,÷–∂»Œ€»æ,57,228,5,0.663,26,112
