‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,225,77~351,÷ÿ∂»Œ€»æ,179,218,77,1.94,93,46
2014-01,229,93~337,÷ÿ∂»Œ€»æ,183,195,68,2.026,80,51
2014-02,122,37~279,«·∂»Œ€»æ,93,82,33,1.304,46,53
2014-03,110,64~151,«·∂»Œ€»æ,83,122,40,1.219,60,81
2014-04,87,37~184,¡º,63,96,29,1.097,53,101
2014-05,112,43~281,«·∂»Œ€»æ,75,143,28,1.035,56,109
2014-06,119,32~274,«·∂»Œ€»æ,83,127,24,1.087,44,154
2014-07,81,30~182,¡º,44,82,19,0.884,39,127
2014-08,78,47~127,¡º,44,73,18,0.971,36,124
2014-09,74,21~125,¡º,46,76,22,1.003,37,111
2014-10,123,31~229,«·∂»Œ€»æ,91,140,30,1.223,60,119
2014-11,105,44~285,«·∂»Œ€»æ,77,94,32,1.287,58,61
2014-12,114,73~250,«·∂»Œ€»æ,84,126,42,1.271,63,54
2015-01,161,46~285,÷–∂»Œ€»æ,123,138,36,1.58,74,47
2015-02,142,31~223,«·∂»Œ€»æ,108,117,27,1.457,56,62
2015-03,94,33~204,¡º,68,98,24,1.135,49,74
2015-04,87,36~133,¡º,59,110,20,1.067,52,103
2015-05,101,45~174,«·∂»Œ€»æ,65,112,15,1.023,45,137
2015-06,73,33~116,¡º,41,78,13,0.91,40,118
2015-07,76,43~143,¡º,36,68,10,0.768,33,126
2015-08,90,23~158,¡º,41,85,14,0.784,37,144
2015-09,92,46~146,¡º,47,88,19,0.927,41,143
2015-10,101,40~153,«·∂»Œ€»æ,71,131,23,1.135,65,119
2015-11,78,30~129,¡º,57,80,18,1.243,46,37
2015-12,146,55~334,«·∂»Œ€»æ,109,157,21,1.297,58,36
2016-01,144,80~249,«·∂»Œ€»æ,107,141,21,1.352,51,40
2016-02,113,43~228,«·∂»Œ€»æ,80,123,20,1.083,46,86
2016-03,115,39~202,«·∂»Œ€»æ,84,136,19,1.055,58,94
2016-04,76,42~111,¡º,47,89,11,1.007,50,102
2016-05,76,42~122,¡º,44,86,8,0.819,41,109
2016-06,69,33~114,¡º,31,64,6,0.753,38,110
2016-07,70,29~128,¡º,24,57,5,0.668,31,115
2016-08,86,27~137,¡º,34,78,7,0.839,34,137
2016-09,94,34~163,¡º,45,99,12,0.807,45,145
2016-10,60,32~113,¡º,35,59,8,1.058,41,56
2016-11,84,28~182,¡º,61,93,11,1.233,52,42
2016-12,123,62~186,«·∂»Œ€»æ,93,123,14,1.416,67,43
2017-01,120,45~232,«·∂»Œ€»æ,89,120,14,1.335,54,52
2017-02,102,55~215,«·∂»Œ€»æ,73,102,14,1.246,57,67
2017-03,94,42~273,¡º,64,102,12,1.1,58,75
2017-04,81,37~104,¡º,44,96,11,1.06,53,100
2017-05,103,35~500,«·∂»Œ€»æ,48,119,8,0.952,50,127
2017-06,74,33~120,¡º,32,63,5,0.947,38,116
2017-07,62,32~125,¡º,23,57,4,0.739,29,108
2017-08,64,30~96,¡º,24,51,6,0.897,32,110
2017-09,74,34~125,¡º,30,62,8,1.067,45,99
2017-10,62,24~134,¡º,34,65,9,0.968,46,74
2017-11,106,58~190,«·∂»Œ€»æ,76,117,13,1.18,70,60
2017-12,128,60~230,«·∂»Œ€»æ,95,130,16,1.258,71,42
2018-01,116,52~226,«·∂»Œ€»æ,86,93,11,1.2,53,48
2018-02,97,29~169,¡º,69,100,12,1.1,54,68
2018-03,77,37~120,¡º,50,85,9,1.042,57,81
2018-04,93,39~127,¡º,48,133,8,0.975,50,101
