月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,182,182~182,中度污染,137,209,67,1.9,91,50
2015-01,79,16~159,良,59,78,26,1.471,32,53
2015-02,69,20~149,良,50,67,20,1.2,25,67
2015-03,59,22~103,良,38,55,19,1.158,22,89
2015-04,54,32~96,良,29,49,16,1.01,22,99
2015-05,52,31~77,良,28,47,14,0.929,20,93
2015-06,44,29~65,优,19,31,11,0.9,18,82
2015-07,55,30~79,良,25,40,13,0.871,24,96
2015-08,41,25~59,优,21,32,11,0.939,25,66
2015-09,38,25~69,优,19,28,11,0.903,23,61
2015-10,49,25~74,优,31,47,13,1.077,25,77
2015-11,47,28~87,优,31,46,17,1.227,27,56
2015-12,49,25~102,优,31,44,19,1.042,28,41
2016-01,51,28~92,良,32,49,15,1.242,27,48
2016-02,63,27~139,良,44,63,15,1.148,23,73
2016-03,57,32~113,良,36,55,18,0.784,28,84
2016-04,47,29~75,优,24,38,16,0.71,23,84
2016-05,53,27~80,良,26,42,15,0.784,22,97
2016-06,45,28~80,优,17,29,16,0.837,21,80
2016-07,42,28~63,优,17,29,15,0.903,23,79
2016-08,42,24~65,优,20,31,13,0.935,22,78
2016-09,46,27~78,优,25,37,13,1.01,26,79
2016-10,42,23~69,优,23,34,14,0.923,24,61
2016-11,54,23~109,良,36,48,11,0.757,28,55
2016-12,66,28~138,良,47,58,16,0.99,34,46
2017-01,64,25~147,良,45,54,15,1.248,27,41
2017-02,53,23~99,良,36,43,13,1.218,23,54
2017-03,41,27~83,优,23,31,16,1.068,23,58
2017-04,60,30~106,良,31,49,19,1.09,23,101
2017-05,68,39~104,良,26,42,11,0.829,20,120
2017-06,52,33~97,良,19,34,8,0.91,18,94
2017-07,54,24~97,良,23,50,8,0.845,19,92
2017-08,57,33~80,良,28,60,12,0.71,19,99
2017-09,56,31~90,良,30,54,11,0.787,17,90
2017-10,43,22~103,优,25,43,11,0.797,18,66
2017-11,67,25~140,良,47,78,11,0.957,25,70
2017-12,84,29~228,良,59,95,16,1.219,33,67
2018-01,67,30~140,良,47,74,15,1.294,28,60
2018-02,74,32~149,良,53,77,11,1.039,17,85
2018-03,73,32~112,良,48,84,12,1.013,23,106
2018-04,70,47~102,良,40,81,15,1.1,23,114
