‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,117,117~117,«·∂»Œ€»æ,89,142,59,0.8,52,113
2015-01,126,44~205,«·∂»Œ€»æ,95,123,66,1.071,44,71
2015-02,104,39~195,«·∂»Œ€»æ,78,98,27,0.964,36,76
2015-03,72,51~110,¡º,53,68,25,0.865,33,59
2015-04,79,39~113,¡º,57,76,36,0.657,32,101
2015-05,77,51~112,¡º,56,75,32,0.681,29,92
2015-06,62,41~87,¡º,45,61,30,0.57,19,73
2015-07,74,42~129,¡º,52,74,40,0.61,23,79
2015-08,62,42~111,¡º,41,65,36,0.561,21,87
2015-09,72,36~124,¡º,48,73,31,0.64,24,104
2015-10,69,34~106,¡º,36,59,28,0.7,35,111
2015-11,40,24~57,”≈,26,38,15,0.803,27,47
2015-12,67,27~135,¡º,47,72,17,0.887,31,52
2016-01,62,30~115,¡º,41,67,18,1.129,31,56
2016-02,64,35~137,¡º,39,70,14,0.817,29,91
2016-03,72,31~120,¡º,50,78,20,0.816,33,84
2016-04,52,33~79,¡º,33,48,19,0.797,25,76
2016-05,62,36~117,¡º,39,59,22,0.713,27,89
2016-06,44,32~72,”≈,24,43,18,0.587,21,77
2016-07,50,24~88,¡º,29,53,19,0.51,12,72
2016-08,68,40~124,¡º,45,69,15,0.548,14,97
2016-09,87,32~139,¡º,62,91,21,0.56,21,121
2016-10,65,30~108,¡º,43,69,22,0.565,16,79
2016-11,63,25~147,¡º,44,70,22,0.587,22,60
2016-12,108,42~196,«·∂»Œ€»æ,81,116,23,0.845,32,72
2017-01,118,40~239,«·∂»Œ€»æ,89,121,13,0.939,25,68
2017-02,84,37~228,¡º,62,86,13,0.732,20,76
2017-03,60,29~104,¡º,41,62,12,0.706,22,67
2017-04,60,25~91,¡º,34,58,15,0.603,22,96
2017-05,71,30~162,¡º,32,58,8,0.535,25,112
2017-06,39,23~60,”≈,19,32,7,0.547,14,69
2017-07,38,18~75,”≈,16,30,8,0.506,12,74
2017-08,36,22~61,”≈,18,32,8,0.526,12,67
2017-09,59,28~104,¡º,35,56,10,0.683,16,95
2017-10,63,25~128,¡º,44,67,11,0.684,18,88
2017-11,94,40~163,¡º,69,99,17,0.757,35,73
2017-12,109,45~169,«·∂»Œ€»æ,81,118,21,0.803,45,76
2018-01,95,29~216,¡º,70,98,14,0.897,39,57
2018-02,92,30~173,¡º,67,100,11,0.825,42,81
2018-03,67,26~105,¡º,47,68,13,0.771,32,85
2018-04,78,61~92,¡º,49,94,15,0.563,23,107
