‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,107,107~107,«·∂»Œ€»æ,81,111,35,2.7,55,75
2015-01,176,40~315,÷–∂»Œ€»æ,137,162,29,2.497,40,46
2015-02,109,42~190,«·∂»Œ€»æ,81,111,17,1.775,29,74
2015-03,78,34~152,¡º,55,88,16,1.281,27,80
2015-04,65,37~117,¡º,34,62,12,1.02,22,105
2015-05,73,36~124,¡º,46,72,10,1.132,20,112
2015-06,57,26~85,¡º,31,47,9,1.16,18,100
2015-07,74,43~104,¡º,35,52,10,0.939,16,126
2015-08,60,32~127,¡º,30,49,9,1.287,19,103
2015-09,55,36~85,¡º,33,46,8,1.057,23,88
2015-10,65,30~100,¡º,43,70,10,1.139,32,69
2015-11,62,34~133,¡º,39,60,12,1.76,32,35
2015-12,123,55~236,«·∂»Œ€»æ,93,127,22,2.268,49,35
2016-01,154,47~238,÷–∂»Œ€»æ,116,146,24,2.316,51,51
2016-02,112,52~225,«·∂»Œ€»æ,80,119,21,2.5,38,71
2016-03,82,49~130,¡º,55,98,15,1.765,39,98
2016-04,64,36~90,¡º,34,64,12,1.133,33,96
2016-05,74,32~111,¡º,35,64,9,0.877,25,122
2016-06,73,37~101,¡º,29,56,10,0.887,24,126
2016-07,61,35~89,¡º,22,47,6,0.961,19,106
2016-08,59,32~91,¡º,26,56,7,0.713,20,105
2016-09,65,36~94,¡º,37,65,14,0.903,26,101
2016-10,51,27~90,¡º,31,52,11,0.903,27,58
2016-11,95,30~186,¡º,68,122,18,1.573,39,34
2016-12,153,66~242,÷–∂»Œ€»æ,116,171,22,2.039,48,33
2017-01,143,43~282,«·∂»Œ€»æ,109,162,18,2.074,41,46
2017-02,112,36~226,«·∂»Œ€»æ,83,124,17,1.668,37,67
2017-03,74,42~134,¡º,46,87,13,1.039,37,90
2017-04,71,43~100,¡º,39,78,18,1.02,36,98
2017-05,87,52~132,¡º,45,82,17,0.987,29,127
2017-06,85,35~123,¡º,32,54,15,0.907,24,137
2017-07,79,45~135,¡º,23,48,13,0.919,22,133
2017-08,68,33~118,¡º,22,46,11,1.032,19,117
2017-09,50,25~79,¡º,24,48,7,0.93,22,79
2017-10,48,22~88,”≈,28,47,8,0.939,23,47
2017-11,96,37~215,¡º,70,106,16,1.423,40,36
2017-12,154,82~271,÷–∂»Œ€»æ,117,163,22,2.071,56,45
2018-01,131,43~330,«·∂»Œ€»æ,99,130,18,1.848,42,64
2018-02,114,44~257,«·∂»Œ€»æ,83,122,14,1.564,36,83
2018-03,71,36~107,¡º,48,83,11,1.145,36,88
2018-04,89,56~131,¡º,47,122,13,0.838,31,123
