‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,91,91~91,¡º,68,91,13,2,31,139
2014-01,86,38~169,¡º,62,88,11,1.071,18,113
2014-02,51,17~81,¡º,34,44,7,0.975,14,75
2014-03,62,27~97,¡º,43,62,10,1.165,19,81
2014-04,65,33~112,¡º,39,50,9,1.387,15,108
2014-05,42,26~80,”≈,18,30,7,0.99,13,77
2014-06,51,28~125,¡º,17,31,6,0.757,9,92
2014-07,54,26~156,¡º,16,27,7,0.835,7,94
2014-08,44,20~125,”≈,14,23,8,0.777,10,82
2014-09,57,24~103,¡º,24,32,9,0.88,10,101
2014-10,83,59~115,¡º,45,62,12,0.887,13,138
2014-11,63,24~84,¡º,40,54,12,0.987,14,105
2014-12,63,26~90,¡º,44,61,14,0.919,20,88
2015-01,70,32~105,¡º,48,68,13,1.077,23,107
2015-02,65,29~93,¡º,46,62,10,0.982,17,101
2015-03,54,29~78,¡º,33,45,9,0.797,15,90
2015-04,59,20~120,¡º,26,41,10,0.72,13,101
2015-05,46,17~85,”≈,17,27,7,0.658,9,88
2015-06,32,20~41,”≈,11,20,7,0.66,8,62
2015-07,43,21~94,”≈,16,30,8,0.745,8,82
2015-08,59,23~201,¡º,19,32,10,0.677,9,102
2015-09,59,22~106,¡º,26,37,11,0.807,11,106
2015-10,65,31~125,¡º,33,48,12,0.852,12,113
2015-11,59,33~91,¡º,29,44,10,0.747,14,108
2015-12,46,24~70,”≈,27,40,9,0.877,17,81
2016-01,49,26~82,”≈,29,41,9,0.977,18,80
2016-02,49,24~109,”≈,29,45,9,0.993,12,82
2016-03,56,24~90,¡º,35,50,10,0.955,20,91
2016-04,51,26~104,¡º,25,37,10,0.773,14,90
2016-05,52,25~107,¡º,21,34,9,0.706,11,94
2016-06,36,22~47,”≈,13,24,8,0.723,8,69
2016-07,43,26~108,”≈,15,28,9,0.706,10,80
2016-08,54,26~134,¡º,19,34,10,0.803,12,97
2016-09,55,28~97,¡º,21,38,9,0.837,10,100
2016-10,45,24~85,”≈,20,36,8,0.723,8,83
2016-11,54,23~90,¡º,29,49,9,0.88,11,89
2016-12,61,38~85,¡º,38,61,11,0.832,15,106
2017-01,61,30~103,¡º,37,54,9,0.897,12,101
2017-02,59,22~99,¡º,33,48,8,0.786,12,103
2017-03,67,38~93,¡º,41,64,10,0.858,20,105
2017-04,58,26~103,¡º,30,50,8,0.723,14,98
2017-05,61,29~132,¡º,24,40,8,0.739,12,108
2017-06,40,25~107,”≈,23,36,8,0.693,7,58
2017-07,35,21~159,”≈,16,29,7,0.69,8,60
2017-08,43,23~134,”≈,17,36,8,0.674,10,77
2017-09,51,24~99,¡º,21,36,9,0.74,12,93
2017-10,61,27~121,¡º,27,49,10,0.777,12,106
2017-11,57,29~90,¡º,29,51,10,0.777,15,97
2017-12,63,29~108,¡º,36,61,11,0.8,20,106
2018-01,52,20~85,¡º,28,48,9,0.819,19,88
2018-02,57,36~73,¡º,30,52,9,0.811,13,101
2018-03,73,30~121,¡º,27,51,10,0.729,15,123
2018-04,68,42~98,¡º,30,70,9,0.575,11,110
