‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,117,20~204,«·∂»Œ€»æ,88,129,45,1.63,72,79
2014-01,101,56~165,«·∂»Œ€»æ,76,116,33,1.574,66,87
2014-02,63,16~207,¡º,45,72,21,1.293,39,52
2014-03,72,34~154,¡º,50,77,30,1.1,40,51
2014-04,67,44~145,¡º,40,64,22,0.933,33,88
2014-05,46,26~99,”≈,25,49,16,0.819,22,52
2014-06,56,25~169,¡º,28,50,16,0.733,21,81
2014-07,50,26~115,¡º,24,40,12,0.745,17,81
2014-08,40,22~93,”≈,17,32,13,0.848,15,70
2014-09,66,22~174,¡º,29,46,17,1,21,109
2014-10,100,49~160,«·∂»Œ€»æ,61,76,24,0.997,27,145
2014-11,80,31~150,¡º,58,77,26,1.217,35,77
2014-12,96,23~175,¡º,70,102,33,1.4,64,56
2015-01,90,27~153,¡º,67,89,27,1.271,55,92
2015-02,81,31~157,¡º,59,81,17,0.964,42,81
2015-03,59,26~142,¡º,40,57,19,1.048,41,46
2015-04,54,25~110,¡º,29,47,14,0.743,27,83
2015-05,30,19~58,”≈,16,29,9,0.684,21,43
2015-06,25,16~40,”≈,13,22,9,0.553,15,40
2015-07,41,19~112,”≈,20,32,10,0.755,16,74
2015-08,60,22~136,¡º,27,43,15,0.919,17,96
2015-09,70,25~139,¡º,32,47,16,0.917,20,111
2015-10,69,21~171,¡º,40,66,21,1.074,34,108
2015-11,63,28~98,¡º,36,64,20,1.147,45,66
2015-12,60,33~94,¡º,33,59,15,1.023,45,38
2016-01,56,26~102,¡º,30,50,11,1.081,41,33
2016-02,51,24~87,¡º,29,52,8,0.959,29,62
2016-03,66,35~110,¡º,31,66,15,0.987,42,70
2016-04,56,35~102,¡º,31,53,11,0.8,31,65
2016-05,66,23~181,¡º,28,47,11,0.761,22,99
2016-06,41,24~96,”≈,18,34,9,0.67,20,72
2016-07,58,22~207,¡º,21,40,8,0.613,18,92
2016-08,77,28~170,¡º,32,52,11,0.839,26,122
2016-09,75,31~182,¡º,37,61,13,0.813,32,112
2016-10,72,33~119,¡º,35,58,11,0.871,34,109
2016-11,79,39~206,¡º,47,74,14,0.973,49,88
2016-12,92,45~138,¡º,63,99,18,1.065,70,91
2017-01,85,39~202,¡º,59,83,11,1.129,49,93
2017-02,70,44~144,¡º,40,63,12,0.9,38,102
2017-03,71,44~105,¡º,41,78,13,1.032,50,64
2017-04,74,35~171,¡º,33,59,11,0.81,37,94
2017-05,97,25~207,¡º,35,60,12,0.816,31,142
2017-06,36,26~55,”≈,15,33,7,0.563,16,61
2017-07,57,24~201,¡º,21,39,9,0.587,25,87
2017-08,57,23~189,¡º,19,39,8,0.494,22,94
2017-09,96,27~202,¡º,31,55,12,0.827,30,141
2017-10,96,34~198,¡º,37,63,13,0.919,41,145
2017-11,79,45~144,¡º,49,80,15,1.017,52,84
2017-12,91,40~176,¡º,64,97,19,0.971,68,91
2018-01,86,37~176,¡º,57,88,13,1.058,63,76
2018-02,64,25~100,¡º,42,61,9,0.739,34,82
2018-03,75,37~133,¡º,33,58,11,0.739,34,115
2018-04,84,44~140,¡º,31,71,11,0.613,24,127
