‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,143,143~143,«·∂»Œ€»æ,110,146,91,1.4,95,68
2014-01,143,55~273,«·∂»Œ€»æ,110,85,58,1.323,67,58
2014-02,97,34~244,¡º,72,66,41,1.141,38,64
2014-03,104,43~217,«·∂»Œ€»æ,78,89,46,1.174,50,83
2014-04,94,48~193,¡º,70,84,51,1.117,52,97
2014-05,114,56~198,«·∂»Œ€»æ,79,135,58,1.216,62,147
2014-06,112,45~214,«·∂»Œ€»æ,76,94,51,1.14,38,148
2014-07,99,48~197,¡º,59,93,44,1.152,40,134
2014-08,83,42~200,¡º,51,86,33,1.074,42,109
2014-09,68,42~127,¡º,41,75,38,1.003,42,106
2014-10,82,60~155,¡º,54,93,41,0.961,50,112
2014-11,114,64~262,«·∂»Œ€»æ,86,112,44,1.107,53,77
2014-12,124,60~205,«·∂»Œ€»æ,93,137,51,1.135,59,41
2015-01,136,46~238,«·∂»Œ€»æ,103,151,44,1.158,56,43
2015-02,105,38~241,«·∂»Œ€»æ,78,118,32,1.014,35,58
2015-03,97,52~191,¡º,69,108,33,0.968,38,66
2015-04,97,49~208,¡º,70,118,38,0.983,48,91
2015-05,83,44~174,¡º,57,99,35,1.039,39,102
2015-06,84,35~142,¡º,56,95,29,0.987,38,103
2015-07,82,28~183,¡º,56,83,28,0.965,39,103
2015-08,78,29~149,¡º,45,79,26,1.19,34,117
2015-09,73,49~155,¡º,43,71,23,0.923,34,118
2015-10,101,48~205,«·∂»Œ€»æ,74,121,35,0.987,50,109
2015-11,93,33~210,¡º,69,98,30,1.053,42,59
2015-12,136,59~260,«·∂»Œ€»æ,102,147,34,1.168,51,46
2016-01,115,47~238,«·∂»Œ€»æ,84,123,38,1.074,50,64
2016-02,103,36~203,«·∂»Œ€»æ,76,116,36,1.093,45,84
2016-03,112,43~213,«·∂»Œ€»æ,82,130,28,1.087,65,82
2016-04,100,54~166,¡º,71,112,25,1.013,58,114
2016-05,102,41~202,«·∂»Œ€»æ,66,112,21,1.016,48,121
2016-06,80,41~130,¡º,52,80,23,0.957,45,106
2016-07,88,39~172,¡º,50,79,27,0.945,44,114
2016-08,71,30~144,¡º,28,58,25,0.797,33,116
2016-09,79,24~154,¡º,45,75,24,0.86,42,115
2016-10,57,32~110,¡º,35,57,20,0.806,39,67
2016-11,92,34~189,¡º,66,100,21,0.937,54,54
2016-12,113,37~213,«·∂»Œ€»æ,84,120,24,1.01,59,58
2017-01,94,38~252,¡º,69,99,16,0.971,42,61
2017-02,100,44~189,«·∂»Œ€»æ,74,104,20,0.971,45,80
2017-03,88,48~142,¡º,64,99,20,0.9,52,93
2017-04,103,51~157,«·∂»Œ€»æ,63,109,26,0.903,51,130
2017-05,107,44~192,«·∂»Œ€»æ,53,96,18,0.755,47,148
2017-06,101,40~189,«·∂»Œ€»æ,56,78,16,0.867,43,146
2017-07,80,33~185,¡º,41,61,16,0.9,43,122
2017-08,81,40~156,¡º,38,53,13,0.955,35,128
2017-09,69,38~138,¡º,39,57,12,0.867,41,106
2017-10,62,35~115,¡º,38,62,11,0.784,42,96
2017-11,93,41~163,¡º,62,105,15,0.913,66,74
2017-12,115,55~326,«·∂»Œ€»æ,84,127,18,1.032,72,55
2018-01,121,36~274,«·∂»Œ€»æ,91,123,18,1.106,55,55
2018-02,92,39~223,¡º,65,102,16,0.996,44,75
2018-03,87,43~140,¡º,62,94,14,1.055,54,90
2018-04,84,54~117,¡º,51,105,18,0.95,49,108
