‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,83,83~83,¡º,48,117,12,0.4,27,42
2015-01,82,25~196,¡º,60,81,23,1.048,40,49
2015-02,56,23~102,¡º,40,52,22,0.9,20,52
2015-03,40,19~75,”≈,25,40,20,0.823,19,49
2015-04,44,26~82,”≈,27,44,20,0.787,23,61
2015-05,74,28~224,¡º,52,78,28,0.813,28,86
2015-06,53,27~111,¡º,30,53,15,0.707,21,86
2015-07,33,22~59,”≈,18,31,12,0.59,15,56
2015-08,50,20~95,”≈,23,41,10,0.619,15,85
2015-09,50,28~74,¡º,24,44,11,0.77,17,93
2015-10,56,23~84,¡º,35,64,18,0.777,22,75
2015-11,45,25~71,”≈,27,45,17,0.94,26,42
2015-12,81,27~317,¡º,52,84,22,1.11,38,28
2016-01,124,39~334,«·∂»Œ€»æ,91,132,25,1.035,39,35
2016-02,59,25~134,¡º,38,56,20,1.024,31,52
2016-03,81,39~188,¡º,56,99,22,1.213,31,72
2016-04,74,38~130,¡º,39,63,23,1.08,32,113
2016-05,58,36~119,¡º,30,52,21,0.797,30,92
2016-06,45,32~64,”≈,20,32,21,0.7,29,79
2016-07,50,28~120,”≈,14,22,19,0.606,24,89
2016-08,70,28~131,¡º,11,21,19,0.677,23,120
2016-09,59,25~100,¡º,32,46,14,0.677,27,91
2016-10,58,33~107,¡º,39,57,19,0.852,33,43
2016-11,89,33~160,¡º,65,94,20,0.927,42,47
2016-12,126,48~206,«·∂»Œ€»æ,95,131,23,1.113,54,42
2017-01,137,49~294,«·∂»Œ€»æ,106,142,24,1.132,39,43
2017-02,116,69~166,«·∂»Œ€»æ,87,112,22,0.954,35,62
2017-03,93,52~143,¡º,69,99,18,0.877,40,81
2017-04,84,49~118,¡º,57,91,18,0.84,36,109
2017-05,96,43~143,¡º,54,85,12,0.6,27,142
2017-06,72,34~146,¡º,42,59,18,0.593,21,116
2017-07,62,29~161,¡º,32,54,18,0.5,20,107
2017-08,58,30~113,¡º,33,57,15,0.674,23,95
2017-09,62,34~86,¡º,38,72,14,0.867,30,82
2017-10,75,35~124,¡º,51,92,20,0.848,42,75
2017-11,93,53~158,¡º,65,111,17,0.917,51,78
2017-12,117,44~255,«·∂»Œ€»æ,86,124,15,1.09,58,66
2018-01,121,46~258,«·∂»Œ€»æ,89,115,16,1.071,53,65
2018-02,101,40~217,«·∂»Œ€»æ,71,104,16,0.943,44,69
2018-03,72,35~103,¡º,46,71,12,0.848,45,95
2018-04,74,48~112,¡º,38,80,9,0.75,31,110
