‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,151,57~339,÷–∂»Œ€»æ,116,165,180,1.713,63,27
2014-01,118,50~227,«·∂»Œ€»æ,86,132,154,1.242,56,39
2014-02,129,51~301,«·∂»Œ€»æ,96,143,162,1.332,56,58
2014-03,109,49~230,«·∂»Œ€»æ,78,130,92,1.052,53,79
2014-04,96,54~170,¡º,65,130,39,0.95,49,110
2014-05,85,45~171,¡º,48,96,28,0.858,44,130
2014-06,86,44~153,¡º,48,79,22,0.83,41,137
2014-07,95,49~182,¡º,53,92,22,0.923,34,147
2014-08,93,50~158,¡º,49,90,26,1.013,39,144
2014-09,74,38~129,¡º,43,84,29,0.917,50,110
2014-10,128,47~251,«·∂»Œ€»æ,94,149,39,1.087,55,95
2014-11,144,59~371,«·∂»Œ€»æ,107,174,117,1.357,64,49
2014-12,119,60~251,«·∂»Œ€»æ,82,133,152,1.21,56,35
2015-01,144,50~342,«·∂»Œ€»æ,110,156,182,1.571,65,36
2015-02,133,48~418,«·∂»Œ€»æ,100,144,148,1.33,55,48
2015-03,103,45~187,«·∂»Œ€»æ,72,126,73,0.948,47,71
2015-04,102,73~136,«·∂»Œ€»æ,66,129,26,0.9,44,106
2015-05,97,40~173,¡º,43,92,20,0.713,35,141
2015-06,85,46~128,¡º,37,63,15,0.833,37,141
2015-07,79,31~158,¡º,37,65,11,0.745,35,129
2015-08,77,38~141,¡º,32,58,13,0.758,35,127
2015-09,70,39~105,¡º,37,72,20,0.803,46,104
2015-10,97,41~305,¡º,69,104,28,0.935,48,79
2015-11,167,58~500,÷–∂»Œ€»æ,146,175,92,1.34,58,53
2015-12,143,52~298,«·∂»Œ€»æ,107,145,130,1.468,57,36
2016-01,105,57~173,«·∂»Œ€»æ,77,119,112,1.116,51,53
2016-02,82,52~149,¡º,54,91,87,0.886,40,74
2016-03,109,41~280,«·∂»Œ€»æ,66,146,57,0.916,43,105
2016-04,87,64~172,¡º,45,108,20,0.717,35,119
2016-05,90,50~146,¡º,39,89,20,0.745,37,140
2016-06,79,40~127,¡º,36,65,17,0.807,37,131
2016-07,87,32~146,¡º,38,62,13,0.829,28,139
2016-08,75,23~140,¡º,31,55,17,0.781,29,124
2016-09,64,29~104,¡º,38,64,21,0.927,37,101
2016-10,76,30~206,¡º,52,83,28,0.942,44,67
2016-11,100,38~271,¡º,74,107,71,1.007,49,47
2016-12,128,42~273,«·∂»Œ€»æ,96,134,96,1.442,57,40
2017-01,122,53~273,«·∂»Œ€»æ,89,128,99,1.387,55,50
2017-02,94,45~215,¡º,66,96,71,1.071,46,76
2017-03,114,41~207,«·∂»Œ€»æ,83,124,54,1.023,54,109
2017-04,83,50~129,¡º,48,104,24,0.77,36,120
2017-05,106,56~219,«·∂»Œ€»æ,41,107,14,0.626,29,144
2017-06,101,44~203,«·∂»Œ€»æ,34,64,18,0.767,33,156
2017-07,99,50~177,¡º,31,52,12,0.739,28,155
2017-08,63,35~117,¡º,25,46,15,0.829,30,107
2017-09,64,39~100,¡º,32,62,23,0.93,38,103
2017-10,80,37~173,¡º,52,89,25,1.103,48,73
2017-11,67,38~149,¡º,40,75,30,0.853,38,53
2017-12,94,43~196,¡º,66,103,49,1.355,50,36
2018-01,80,38~153,¡º,55,84,45,1.181,49,47
2018-02,88,48~162,¡º,61,92,41,1.125,42,74
2018-03,91,41~205,¡º,63,97,30,1.123,43,106
2018-04,74,50~102,¡º,45,87,17,0.85,30,104
