‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,170,22~363,÷–∂»Œ€»æ,133,162,103,2.652,52,40
2014-01,176,67~356,÷–∂»Œ€»æ,139,194,87,2.319,47,38
2014-02,142,42~308,«·∂»Œ€»æ,109,139,55,1.95,27,66
2014-03,136,62~223,«·∂»Œ€»æ,101,153,54,1.432,32,86
2014-04,113,63~200,«·∂»Œ€»æ,78,130,30,0.923,26,129
2014-05,121,63~245,«·∂»Œ€»æ,69,126,36,0.894,28,164
2014-06,116,66~182,«·∂»Œ€»æ,63,90,27,0.71,24,164
2014-07,119,48~226,«·∂»Œ€»æ,83,120,24,0.719,26,143
2014-08,97,50~132,¡º,55,115,18,0.757,16,143
2014-09,87,43~179,¡º,53,103,20,1.113,36,109
2014-10,133,62~241,«·∂»Œ€»æ,96,170,35,1.023,56,93
2014-11,145,62~408,«·∂»Œ€»æ,110,181,43,1.597,50,51
2014-12,135,61~273,«·∂»Œ€»æ,99,175,92,2.116,66,36
2015-01,124,46~319,«·∂»Œ€»æ,93,160,89,2.165,64,36
2015-02,111,47~262,«·∂»Œ€»æ,80,146,65,1.618,49,64
2015-03,112,57~316,«·∂»Œ€»æ,69,161,43,1.052,45,91
2015-04,97,54~159,¡º,61,132,26,0.71,34,119
2015-05,103,54~170,«·∂»Œ€»æ,54,118,27,0.655,35,156
2015-06,98,39~145,¡º,58,102,27,0.797,30,151
2015-07,79,43~134,¡º,53,77,18,0.477,21,113
2015-08,94,35~144,¡º,52,77,20,0.755,32,142
2015-09,68,27~120,¡º,36,65,31,0.903,39,103
2015-10,82,25~163,¡º,53,97,31,1.068,41,73
2015-11,121,40~421,«·∂»Œ€»æ,92,126,46,1.787,51,51
2015-12,176,47~417,÷–∂»Œ€»æ,138,197,57,2.684,53,28
2016-01,115,43~346,«·∂»Œ€»æ,85,123,57,2.032,59,43
2016-02,83,36~210,¡º,56,92,50,1.645,44,74
2016-03,101,52~210,«·∂»Œ€»æ,67,128,45,1.229,55,98
2016-04,93,49~190,¡º,57,116,29,1.01,43,122
2016-05,95,56~158,¡º,46,96,30,0.768,42,146
2016-06,106,0~181,«·∂»Œ€»æ,47,81,25,0.773,32,162
2016-07,96,48~151,¡º,56,75,18,0.758,23,146
2016-08,73,37~126,¡º,41,61,14,0.768,28,114
2016-09,105,45~161,«·∂»Œ€»æ,44,76,25,0.833,43,158
2016-10,102,54~198,«·∂»Œ€»æ,73,106,30,0.939,56,85
2016-11,136,48~254,«·∂»Œ€»æ,103,153,43,1.64,62,48
2016-12,183,69~363,÷–∂»Œ€»æ,142,201,67,2.539,78,32
2017-01,151,45~296,÷–∂»Œ€»æ,116,168,57,2.181,60,43
2017-02,127,43~279,«·∂»Œ€»æ,94,134,57,1.589,58,77
2017-03,96,50~203,¡º,68,107,38,0.884,51,104
2017-04,91,55~140,¡º,58,112,32,0.75,43,118
2017-05,142,67~500,«·∂»Œ€»æ,57,145,26,0.671,34,172
2017-06,134,59~201,«·∂»Œ€»æ,51,85,21,0.623,35,193
2017-07,97,40~180,¡º,47,70,16,0.677,28,149
2017-08,92,46~144,¡º,39,63,16,0.684,33,146
2017-09,103,47~152,«·∂»Œ€»æ,49,88,23,0.68,44,159
2017-10,93,39~256,¡º,64,98,20,0.91,56,80
2017-11,92,53~188,¡º,63,109,29,0.97,57,55
2017-12,119,50~325,«·∂»Œ€»æ,90,137,39,1.5,63,43
2018-01,114,48~338,«·∂»Œ€»æ,83,129,41,1.358,59,50
2018-02,115,49~242,«·∂»Œ€»æ,83,129,39,1.118,43,82
2018-03,112,55~208,«·∂»Œ€»æ,77,130,28,0.861,47,116
2018-04,94,53~193,¡º,58,117,21,0.663,30,126
