‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,98,98~98,¡º,73,102,25,1.2,42,89
2015-01,93,24~153,¡º,69,89,22,1.442,27,55
2015-02,88,23~186,¡º,65,85,13,1.525,24,39
2015-03,72,19~163,¡º,53,70,16,1.245,16,54
2015-04,73,36~139,¡º,45,71,16,1.017,16,116
2015-05,55,36~75,¡º,33,50,16,1.161,12,90
2015-06,40,26~53,”≈,24,38,6,1.047,12,63
2015-07,54,26~88,¡º,34,52,21,1.155,15,86
2015-08,63,32~128,¡º,38,63,42,1.123,18,88
2015-09,59,29~110,¡º,38,63,29,1.263,24,62
2015-10,76,30~120,¡º,54,84,43,1.626,31,89
2015-11,56,32~97,¡º,35,55,30,1.607,25,50
2015-12,60,31~130,¡º,39,59,24,1.4,29,52
2016-01,58,28~118,¡º,38,55,23,1.394,27,55
2016-02,80,36~214,¡º,57,77,24,1.131,28,98
2016-03,67,38~104,¡º,45,66,10,1.106,32,74
2016-04,52,32~94,¡º,30,54,8,1.043,28,63
2016-05,47,25~72,”≈,27,49,6,0.997,25,58
2016-06,41,27~57,”≈,16,34,7,0.723,21,77
2016-07,43,23~85,”≈,18,37,7,0.635,22,77
2016-08,48,24~110,”≈,22,42,9,0.635,21,87
2016-09,64,25~99,¡º,38,63,14,0.837,30,105
2016-10,54,26~86,¡º,29,54,13,0.906,27,91
2016-11,49,20~99,”≈,29,53,11,0.957,24,61
2016-12,87,28~172,¡º,63,93,17,1.039,35,74
2017-01,88,25~204,¡º,64,81,10,1.074,26,61
2017-02,74,33~163,¡º,53,71,6,0.839,25,72
2017-03,56,20~138,¡º,38,55,6,0.865,24,53
2017-04,57,32~80,¡º,34,58,7,0.723,23,86
2017-05,58,34~111,¡º,30,56,9,0.742,26,85
2017-06,41,27~64,”≈,20,41,9,0.71,19,66
2017-07,42,24~73,”≈,20,43,9,0.713,20,69
2017-08,41,24~60,”≈,17,40,6,0.7,19,68
2017-09,48,33~65,”≈,22,51,11,0.82,22,74
2017-10,57,25~99,¡º,30,59,12,0.887,26,89
2017-11,64,28~109,¡º,41,77,10,0.927,30,62
2017-12,78,27~124,¡º,53,101,13,1.026,36,65
2018-01,77,25~133,¡º,50,93,11,1.235,30,44
2018-02,83,28~252,¡º,57,108,11,1.129,25,74
2018-03,63,24~99,¡º,38,77,9,0.913,27,71
2018-04,83,59~123,¡º,43,116,8,0.788,23,77
