‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,72,19~120,¡º,50,84,15,0.853,26,83
2014-01,85,41~327,¡º,57,100,14,0.881,30,84
2014-02,45,17~89,”≈,27,46,5,0.793,22,61
2014-03,67,26~114,¡º,39,84,10,0.9,26,68
2014-04,63,41~113,¡º,33,77,10,0.827,24,74
2014-05,60,26~102,¡º,34,69,6,0.913,22,69
2014-06,52,24~82,¡º,26,58,6,0.607,14,56
2014-07,54,24~109,¡º,24,62,9,0.594,13,53
2014-08,58,20~94,¡º,31,70,11,0.565,19,64
2014-09,47,28~88,”≈,26,50,10,0.54,16,67
2014-10,53,35~82,¡º,29,56,7,0.6,17,86
2014-11,48,33~81,”≈,28,49,9,0.633,22,72
2014-12,53,27~73,¡º,33,58,10,0.587,27,69
2015-01,64,29~150,¡º,42,66,11,0.771,36,84
2015-02,53,32~88,¡º,35,53,7,0.671,23,85
2015-03,54,25~94,¡º,29,55,9,0.645,27,87
2015-04,59,31~86,¡º,29,57,11,0.703,25,94
2015-05,61,30~106,¡º,29,62,11,0.697,23,91
2015-06,54,30~81,¡º,22,56,14,0.537,19,85
2015-07,49,22~82,”≈,21,50,11,0.565,16,82
2015-08,43,18~89,”≈,19,42,13,0.574,18,74
2015-09,51,30~76,¡º,24,48,11,0.607,18,89
2015-10,52,26~110,¡º,26,50,8,0.606,19,87
2015-11,42,25~73,”≈,22,40,8,0.687,21,75
2015-12,45,27~70,”≈,25,44,9,0.768,29,54
2016-01,49,25~82,”≈,28,46,10,0.852,31,59
2016-02,58,25~254,¡º,38,63,8,0.703,22,70
2016-03,63,31~105,¡º,38,62,11,0.794,40,84
2016-04,59,35~98,¡º,32,59,14,0.723,36,80
2016-05,51,25~81,¡º,27,51,11,0.51,24,80
2016-06,44,22~65,”≈,21,43,13,0.433,23,64
2016-07,50,16~113,¡º,23,49,19,0.442,22,81
2016-08,47,19~85,”≈,25,47,10,0.494,19,75
2016-09,46,23~89,”≈,22,39,8,0.39,19,83
2016-10,46,25~119,”≈,24,39,7,0.419,21,76
2016-11,56,28~168,¡º,30,54,10,0.71,31,77
2016-12,53,35~88,¡º,31,55,11,0.697,34,72
2017-01,58,34~118,¡º,38,53,11,0.755,34,74
2017-02,61,40~104,¡º,36,50,11,0.711,33,94
2017-03,71,42~107,¡º,36,62,13,0.674,39,115
2017-04,82,46~145,¡º,34,69,18,0.703,35,119
2017-05,70,40~128,¡º,24,53,15,0.694,25,119
2017-06,45,26~77,”≈,16,37,12,0.673,22,78
2017-07,53,26~121,¡º,19,51,14,0.513,25,82
2017-08,62,27~104,¡º,24,55,9,0.606,23,105
2017-09,65,32~118,¡º,25,53,9,0.6,23,114
2017-10,56,29~104,¡º,21,49,9,0.603,22,101
2017-11,52,29~100,¡º,25,51,12,0.573,29,85
2017-12,57,35~84,¡º,34,61,12,0.61,28,91
2018-01,52,33~93,¡º,27,46,11,0.61,31,79
2018-02,69,38~175,¡º,42,66,10,0.657,25,103
2018-03,63,37~100,¡º,33,56,10,0.665,30,100
2018-04,73,57~95,¡º,36,91,15,0.575,27,114
