‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,203,68~376,÷ÿ∂»Œ€»æ,163,233,124,2.043,77,13
2014-01,181,48~348,÷–∂»Œ€»æ,141,198,100,2.284,62,19
2014-02,116,53~355,«·∂»Œ€»æ,87,129,77,1.643,44,25
2014-03,112,55~248,«·∂»Œ€»æ,79,142,66,1.203,55,45
2014-04,100,35~195,¡º,65,136,44,1.413,45,52
2014-05,86,35~150,¡º,56,109,36,1.061,39,88
2014-06,89,38~118,¡º,64,99,32,1.443,31,112
2014-07,89,53~168,¡º,53,97,23,1.31,28,130
2014-08,103,51~148,«·∂»Œ€»æ,63,106,32,1.532,34,153
2014-09,84,40~171,¡º,57,98,33,1.533,32,109
2014-10,97,49~194,¡º,67,120,39,1.439,42,101
2014-11,124,56~214,«·∂»Œ€»æ,90,155,55,1.933,55,53
2014-12,134,60~324,«·∂»Œ€»æ,93,188,78,1.935,63,40
2015-01,137,52~315,«·∂»Œ€»æ,102,169,69,1.897,57,28
2015-02,110,46~229,«·∂»Œ€»æ,80,139,54,1.8,43,45
2015-03,106,58~188,«·∂»Œ€»æ,71,144,44,1.513,46,87
2015-04,93,42~158,¡º,59,118,34,1.523,37,118
2015-05,96,48~161,¡º,52,106,34,1.119,33,144
2015-06,101,28~169,«·∂»Œ€»æ,51,104,26,1.287,32,153
2015-07,106,34~179,«·∂»Œ€»æ,46,89,20,1.435,29,159
2015-08,87,47~156,¡º,44,91,24,1.394,35,137
2015-09,80,46~125,¡º,50,99,31,1.08,37,103
2015-10,113,52~220,«·∂»Œ€»æ,79,150,34,1.319,50,83
2015-11,97,33~231,¡º,71,113,45,1.973,49,46
2015-12,164,34~384,÷–∂»Œ€»æ,124,203,62,2.2,56,37
2016-01,147,57~398,«·∂»Œ€»æ,112,176,66,2.2,61,39
2016-02,113,43~258,«·∂»Œ€»æ,83,134,54,1.493,45,86
2016-03,105,57~201,«·∂»Œ€»æ,68,142,49,1.21,43,117
2016-04,111,63~198,«·∂»Œ€»æ,64,151,31,1.09,40,151
2016-05,109,52~191,«·∂»Œ€»æ,41,105,28,0.758,35,155
2016-06,126,74~169,«·∂»Œ€»æ,40,88,25,0.973,27,187
2016-07,101,43~165,«·∂»Œ€»æ,41,77,17,0.897,22,158
2016-08,90,44~164,¡º,34,63,16,1.006,25,143
2016-09,116,43~181,«·∂»Œ€»æ,60,95,26,1.057,37,170
2016-10,76,35~148,¡º,54,81,25,0.906,37,84
2016-11,116,33~225,«·∂»Œ€»æ,86,122,42,1.11,46,63
2016-12,138,55~345,«·∂»Œ€»æ,106,154,56,1.523,50,48
2017-01,137,49~259,«·∂»Œ€»æ,104,154,46,1.784,47,64
2017-02,113,39~219,«·∂»Œ€»æ,83,123,43,1.214,46,81
2017-03,89,44~145,¡º,62,104,36,0.913,46,101
2017-04,83,46~140,¡º,50,103,21,0.97,41,111
2017-05,152,79~203,÷–∂»Œ€»æ,49,104,25,0.845,28,209
2017-06,149,67~207,«·∂»Œ€»æ,44,87,19,0.863,31,212
2017-07,95,46~176,¡º,35,79,9,0.939,22,143
2017-08,91,39~162,¡º,29,55,9,0.842,23,145
2017-09,91,51~157,¡º,38,76,12,0.98,30,144
2017-10,78,29~149,¡º,54,89,17,1.168,40,80
2017-11,88,34~158,¡º,62,97,27,1.11,47,62
2017-12,121,54~244,«·∂»Œ€»æ,91,131,35,1.49,57,49
2018-01,124,38~303,«·∂»Œ€»æ,93,136,32,1.506,54,54
2018-02,91,51~173,¡º,64,106,25,1.125,41,76
2018-03,86,48~139,¡º,57,97,17,1.074,35,107
2018-04,77,37~123,¡º,45,102,15,0.8,27,103
