‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,179,69~368,÷–∂»Œ€»æ,142,204,55,1.763,28,45
2014-01,146,53~272,«·∂»Œ€»æ,112,164,38,1.935,23,47
2014-02,91,24~197,¡º,67,91,23,1.657,12,51
2014-03,108,50~243,«·∂»Œ€»æ,78,130,33,1.658,20,60
2014-04,88,41~182,¡º,64,102,31,1.287,17,80
2014-05,114,52~293,«·∂»Œ€»æ,83,155,35,1.323,25,121
2014-06,107,39~226,«·∂»Œ€»æ,80,115,26,1.133,21,100
2014-07,88,39~184,¡º,63,86,24,0.974,18,94
2014-08,72,26~168,¡º,53,70,24,0.874,17,77
2014-09,62,29~116,¡º,44,60,27,0.72,17,71
2014-10,86,57~144,¡º,62,101,31,0.713,31,87
2014-11,104,38~207,«·∂»Œ€»æ,78,119,32,1.03,33,72
2014-12,112,63~186,«·∂»Œ€»æ,83,134,44,1.168,39,47
2015-01,134,43~264,«·∂»Œ€»æ,101,153,39,1.23,38,46
2015-02,99,32~211,¡º,73,116,27,0.904,25,58
2015-03,86,35~154,¡º,60,103,26,0.961,27,74
2015-04,85,42~181,¡º,59,100,27,0.897,34,107
2015-05,84,49~142,¡º,51,87,25,0.8,25,131
2015-06,102,43~189,«·∂»Œ€»æ,54,91,26,0.86,29,156
2015-07,82,40~182,¡º,48,78,14,0.723,24,123
2015-08,79,26~161,¡º,37,74,18,0.858,20,126
2015-09,74,52~160,¡º,35,68,20,0.873,23,128
2015-10,95,51~228,¡º,64,119,26,1.194,36,131
2015-11,82,31~208,¡º,57,100,19,1.04,35,72
2015-12,122,63~238,«·∂»Œ€»æ,89,151,29,1.194,51,56
2016-01,110,41~219,«·∂»Œ€»æ,80,132,27,1.135,40,75
2016-02,115,39~212,«·∂»Œ€»æ,85,136,26,1.431,36,88
2016-03,105,46~225,«·∂»Œ€»æ,74,143,29,1.106,44,101
2016-04,89,50~152,¡º,58,119,16,1.02,39,109
2016-05,85,47~208,¡º,46,99,15,0.842,29,120
2016-06,75,47~163,¡º,39,75,15,0.84,24,117
2016-07,83,34~195,¡º,39,70,13,0.729,19,125
2016-08,73,29~165,¡º,25,48,12,0.594,14,122
2016-09,83,31~171,¡º,41,69,17,0.797,19,130
2016-10,51,29~83,¡º,30,48,13,0.774,22,86
2016-11,84,40~221,¡º,59,89,20,1.123,49,90
2016-12,107,34~206,«·∂»Œ€»æ,79,114,21,1.171,51,82
2017-01,97,37~236,¡º,70,99,15,1.097,36,80
2017-02,107,44~183,«·∂»Œ€»æ,79,107,19,1.143,47,92
2017-03,82,44~152,¡º,59,87,17,0.916,40,110
2017-04,103,44~154,«·∂»Œ€»æ,57,89,21,1.003,40,149
2017-05,110,39~201,«·∂»Œ€»æ,48,97,17,0.961,33,161
2017-06,102,43~202,«·∂»Œ€»æ,47,77,10,0.967,25,153
2017-07,79,36~177,¡º,33,61,8,0.748,29,125
2017-08,69,33~124,¡º,28,52,7,0.761,21,117
2017-09,64,33~149,¡º,34,56,8,0.75,24,109
2017-10,56,27~114,¡º,34,57,9,0.665,26,87
2017-11,83,35~159,¡º,59,99,14,0.96,50,72
2017-12,110,49~266,«·∂»Œ€»æ,81,121,18,1.226,57,53
2018-01,114,29~241,«·∂»Œ€»æ,85,113,14,1.313,45,64
2018-02,89,34~202,¡º,63,97,13,0.839,39,83
2018-03,86,42~148,¡º,61,90,13,0.942,43,106
2018-04,89,54~147,¡º,53,104,14,0.85,40,131
