‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,177,177~177,÷–∂»Œ€»æ,134,163,33,0.9,55,30
2014-01,212,104~359,÷ÿ∂»Œ€»æ,168,210,54,1.358,55,45
2014-02,131,32~269,«·∂»Œ€»æ,100,123,35,0.979,39,53
2014-03,90,39~169,¡º,64,98,44,1.01,40,90
2014-04,74,47~104,¡º,50,76,20,0.95,29,104
2014-05,94,45~130,¡º,64,100,22,0.842,27,116
2014-06,68,38~150,¡º,44,62,13,0.763,26,94
2014-07,73,38~142,¡º,36,55,13,0.552,24,117
2014-08,71,32~135,¡º,38,57,10,0.484,25,113
2014-09,57,25~96,¡º,39,57,9,0.547,25,78
2014-10,79,38~181,¡º,57,84,13,0.629,29,71
2014-11,56,24~85,¡º,39,58,19,0.577,32,35
2014-12,101,52~190,«·∂»Œ€»æ,74,119,28,0.684,40,32
2015-01,164,41~310,÷–∂»Œ€»æ,127,175,37,0.903,43,37
2015-02,127,32~256,«·∂»Œ€»æ,96,137,26,0.775,31,54
2015-03,89,46~132,¡º,66,100,25,0.968,28,85
2015-04,78,28~155,¡º,54,83,20,0.713,27,103
2015-05,81,50~129,¡º,54,83,17,0.639,27,107
2015-06,66,35~98,¡º,47,63,14,0.687,23,82
2015-07,63,31~109,¡º,37,57,23,0.61,27,103
2015-08,74,25~145,¡º,47,65,17,0.626,27,104
2015-09,55,30~142,¡º,34,52,15,0.497,27,73
2015-10,82,29~160,¡º,57,89,20,0.506,34,74
2015-11,73,36~105,¡º,52,75,19,0.68,35,34
2015-12,80,33~168,¡º,58,83,25,0.5,39,29
2016-01,98,27~202,¡º,72,101,18,0.519,35,40
2016-02,112,46~314,«·∂»Œ€»æ,84,114,17,0.652,33,73
2016-03,107,32~192,«·∂»Œ€»æ,79,107,26,0.652,33,95
2016-04,75,40~135,¡º,51,68,15,0.587,26,92
2016-05,92,30~198,¡º,60,80,14,0.574,24,127
2016-06,87,37~153,¡º,51,63,12,0.547,23,125
2016-07,79,32~144,¡º,39,51,12,0.458,25,126
2016-08,86,42~156,¡º,55,65,20,0.465,22,123
2016-09,90,54~179,¡º,67,80,20,0.547,29,82
2016-10,77,37~138,¡º,53,90,18,0.548,28,70
2016-11,95,28~172,¡º,70,110,22,0.567,32,50
2016-12,117,53~196,«·∂»Œ€»æ,87,126,24,0.461,37,34
2017-01,147,40~258,«·∂»Œ€»æ,112,152,27,0.668,40,35
2017-02,105,50~178,«·∂»Œ€»æ,78,109,23,0.557,37,55
2017-03,83,32~148,¡º,61,90,23,0.584,38,63
2017-04,66,29~113,¡º,43,75,19,0.447,32,92
2017-05,80,46~130,¡º,48,88,18,0.535,35,109
2017-06,65,27~102,¡º,33,63,15,0.477,30,95
2017-07,86,39~155,¡º,27,47,14,0.387,27,140
2017-08,72,25~120,¡º,27,44,9,0.384,24,123
2017-09,56,24~100,¡º,32,50,12,0.43,28,78
2017-10,48,23~98,”≈,30,44,12,0.497,34,41
2017-11,83,40~137,¡º,60,91,17,0.74,46,56
2017-12,113,53~233,«·∂»Œ€»æ,83,124,20,0.981,52,26
2018-01,98,35~201,¡º,70,100,21,0.765,49,29
2018-02,91,43~179,¡º,67,98,15,0.675,34,65
2018-03,67,35~122,¡º,45,70,17,0.526,38,86
2018-04,66,30~91,¡º,34,68,17,0.45,39,109
