‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,59,59~59,¡º,38,69,19,0.4,20,88
2015-01,75,39~190,¡º,46,93,13,0.452,16,87
2015-02,74,48~113,¡º,44,89,11,1.311,11,106
2015-03,110,68~333,«·∂»Œ€»æ,57,160,13,0.4,12,117
2015-04,93,64~183,¡º,47,104,15,0.32,13,135
2015-05,92,74~176,¡º,40,96,16,0.252,11,141
2015-06,92,72~110,¡º,47,67,14,0.273,13,147
2015-07,93,71~110,¡º,35,59,13,0.316,9,151
2015-08,89,73~100,¡º,43,69,14,0.373,9,145
2015-09,71,49~151,¡º,37,64,15,0.42,12,118
2015-10,70,52~98,¡º,39,85,15,0.45,16,106
2015-11,63,48~112,¡º,40,67,12,0.507,17,91
2015-12,59,43~115,¡º,39,63,14,0.555,15,87
2016-01,64,44~242,¡º,36,74,16,0.577,14,89
2016-02,68,48~148,¡º,34,83,13,0.521,13,94
2016-03,98,54~327,¡º,45,133,15,0.484,18,109
2016-04,86,64~143,¡º,36,94,11,0.43,12,132
2016-05,98,69~347,¡º,35,91,13,0.414,11,137
2016-06,83,0~110,¡º,23,41,10,0.347,9,135
2016-07,79,42~120,¡º,24,49,6,0.461,13,133
2016-08,63,40~104,¡º,27,47,6,0.629,12,113
2016-09,55,44~74,¡º,18,33,9,0.53,15,105
2016-10,58,44~99,¡º,27,64,13,0.552,19,94
2016-11,66,0~134,¡º,32,83,19,0.677,25,80
2016-12,53,42~75,¡º,28,57,23,0.674,26,74
2017-01,62,0~329,¡º,31,76,16,0.748,17,69
2017-02,69,43~253,¡º,34,83,23,0.825,18,90
2017-03,66,53~94,¡º,29,67,29,0.916,17,112
2017-04,73,49~162,¡º,27,72,26,0.41,20,116
2017-05,85,25~130,¡º,23,52,25,0.419,19,135
2017-06,53,31~72,¡º,22,41,16,0.527,19,101
2017-07,72,36~293,¡º,24,55,15,0.581,16,111
2017-08,54,34~97,¡º,17,28,12,0.574,15,101
2017-09,44,37~54,”≈,18,31,11,0.56,19,88
2017-10,47,33~62,”≈,23,45,10,0.648,27,82
2017-11,54,38~79,¡º,30,57,14,0.78,27,82
2017-12,64,39~127,¡º,36,77,12,0.961,24,77
2018-01,64,41~153,¡º,35,78,10,0.935,20,79
2018-02,63,35~123,¡º,32,77,10,1.039,14,85
2018-03,62,35~122,¡º,32,76,10,0.639,14,82
2018-04,132,48~500,«·∂»Œ€»æ,47,175,8,0.55,17,107
