月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,86,17~173,良,63,86,15,0.963,20,92
2014-01,78,41~152,良,55,79,9,0.916,19,95
2014-02,36,21~60,优,21,34,5,0.7,13,38
2014-03,40,19~57,优,20,40,4,0.7,15,38
2014-04,37,27~61,优,17,35,4,0.677,11,45
2014-05,32,25~43,优,13,29,4,0.635,13,58
2014-06,33,14~78,优,14,30,5,0.623,15,59
2014-07,26,18~38,优,10,25,5,0.574,14,40
2014-08,25,13~37,优,11,25,4,0.568,14,33
2014-09,30,14~66,优,16,30,5,0.633,14,50
2014-10,59,31~104,良,34,57,6,0.713,17,100
2014-11,44,25~90,优,23,42,5,0.747,15,68
2014-12,53,16~93,良,35,56,8,0.839,13,71
2015-01,58,30~112,良,38,59,7,0.835,13,79
2015-02,57,22~147,良,38,57,5,0.771,7,58
2015-03,34,18~51,优,17,34,4,0.639,10,46
2015-04,40,16~76,优,20,39,4,0.713,13,62
2015-05,31,21~46,优,13,30,3,0.571,14,52
2015-06,27,18~42,优,10,25,4,0.51,13,52
2015-07,34,22~55,优,15,31,6,0.584,14,63
2015-08,40,23~75,优,17,34,6,0.603,16,77
2015-09,40,21~80,优,16,33,5,0.627,13,76
2015-10,66,23~140,良,34,54,7,0.713,17,112
2015-11,42,24~89,优,17,35,5,0.637,10,80
2015-12,45,25~83,优,23,40,6,0.813,17,78
2016-01,42,23~62,优,21,38,5,0.797,19,74
2016-02,52,25~160,良,31,48,6,0.783,14,85
2016-03,49,23~110,优,24,45,6,0.668,18,83
2016-04,48,35~63,优,24,46,6,0.63,20,82
2016-05,45,22~102,优,18,36,6,0.597,17,78
2016-06,33,21~48,优,12,29,5,0.517,18,64
2016-07,32,20~52,优,12,31,4,0.49,16,58
2016-08,33,19~52,优,14,30,5,0.555,18,58
2016-09,41,15~61,优,20,37,6,0.613,17,72
2016-10,43,22~69,优,23,38,7,0.61,13,80
2016-11,38,13~67,优,18,34,6,0.6,12,69
2016-12,61,41~111,良,36,60,8,0.739,13,105
2017-01,55,28~102,良,28,46,6,0.713,11,95
2017-02,50,23~95,优,26,41,6,0.671,13,90
2017-03,47,28~95,优,24,46,5,0.655,15,79
2017-04,50,29~103,优,20,41,7,0.633,14,88
2017-05,45,24~103,优,15,31,7,0.6,11,86
2017-06,33,22~46,优,12,29,6,0.533,12,63
2017-07,26,17~36,优,10,23,6,0.535,12,50
2017-08,31,18~60,优,11,26,6,0.6,12,60
2017-09,30,18~43,优,13,27,5,0.563,11,58
2017-10,58,16~150,良,24,42,7,0.723,10,98
2017-11,56,24~140,良,28,47,7,0.717,12,93
2017-12,58,33~94,良,34,56,9,0.661,12,103
2018-01,44,20~71,优,23,41,5,0.603,15,71
2018-02,55,23~82,良,35,54,7,0.614,14,76
2018-03,42,21~85,优,19,39,5,0.571,13,70
2018-04,52,37~83,良,24,58,6,0.575,12,76
