‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,95,95~95,¡º,65,139,51,1.6,42,114
2015-01,77,51~229,¡º,40,92,22,0.771,12,113
2015-02,79,51~185,¡º,45,87,15,0.818,12,118
2015-03,107,63~244,«·∂»Œ€»æ,52,153,17,0.673,11,130
2015-04,122,83~426,«·∂»Œ€»æ,50,118,14,0.477,11,156
2015-05,99,68~188,¡º,37,99,13,0.468,9,149
2015-06,78,57~100,¡º,33,62,20,0.927,10,131
2015-07,65,51~104,¡º,30,43,20,0.713,9,115
2015-08,70,50~355,¡º,40,76,21,0.923,10,105
2015-09,60,46~128,¡º,38,67,12,0.77,14,92
2015-10,71,46~145,¡º,35,91,13,1.028,13,82
2015-11,60,40~76,¡º,34,69,27,1.115,16,87
2015-12,61,48~97,¡º,34,66,34,1.194,16,87
2016-01,55,37~128,¡º,26,60,33,1.203,13,77
2016-02,61,34~148,¡º,28,73,33,1.245,9,5
2016-03,85,39~216,¡º,38,119,27,1.142,9,62
2016-04,69,40~126,¡º,32,88,22,0.697,12,69
2016-05,70,38~151,¡º,37,91,14,0.484,14,69
2016-06,49,0~118,”≈,20,41,14,0.497,8,79
2016-07,69,49~115,¡º,27,62,14,0.387,5,107
2016-08,58,41~111,¡º,18,43,14,0.416,15,104
2016-09,48,0~71,”≈,12,26,14,0.353,11,87
2016-10,58,43~95,¡º,23,63,22,0.574,18,90
2016-11,63,41~163,¡º,28,77,22,0.69,21,74
2016-12,51,38~90,¡º,23,55,26,0.91,24,66
2017-01,58,37~160,¡º,24,65,35,0.99,19,81
2017-02,111,44~500,«·∂»Œ€»æ,34,138,30,0.843,14,90
2017-03,62,44~127,¡º,23,63,22,0.79,10,109
2017-04,98,52~500,¡º,38,118,20,0.69,14,112
2017-05,72,48~126,¡º,21,61,18,0.616,13,121
2017-06,65,46~96,¡º,18,38,19,0.617,22,117
2017-07,71,49~104,¡º,22,41,12,0.59,11,121
2017-08,66,41~94,¡º,18,34,12,0.6,11,118
2017-09,55,43~75,¡º,20,36,16,0.597,11,103
2017-10,54,38~128,¡º,26,58,18,0.703,14,89
2017-11,45,39~69,”≈,20,42,20,0.82,17,85
2017-12,67,40~395,¡º,29,77,22,0.91,21,80
2018-01,56,38~176,¡º,26,63,22,0.89,16,84
2018-02,57,39~158,¡º,24,60,22,1.064,14,91
2018-03,75,43~500,¡º,34,87,20,0.887,13,94
2018-04,107,49~435,«·∂»Œ€»æ,38,126,21,0.85,13,100
