‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,148,148~148,«·∂»Œ€»æ,113,228,41,1.3,70,53
2014-01,114,44~262,«·∂»Œ€»æ,84,124,20,0.79,33,73
2014-02,77,34~210,¡º,53,71,10,0.621,16,84
2014-03,84,45~180,¡º,58,93,22,0.697,29,105
2014-04,79,45~117,¡º,44,69,15,0.623,23,128
2014-05,108,52~201,«·∂»Œ€»æ,62,114,25,0.673,31,160
2014-06,87,43~193,¡º,53,63,15,0.38,18,134
2014-07,79,32~151,¡º,40,56,13,0.4,18,122
2014-08,70,32~176,¡º,34,48,14,0.603,13,120
2014-09,69,42~105,¡º,32,46,14,0.544,13,119
2014-10,84,50~154,¡º,45,76,17,0.548,25,126
2014-11,83,40~170,¡º,58,89,19,0.632,24,96
2014-12,104,45~218,«·∂»Œ€»æ,75,128,34,0.903,31,57
2015-01,119,31~300,«·∂»Œ€»æ,89,129,31,0.984,41,62
2015-02,94,37~234,¡º,67,101,19,0.85,20,85
2015-03,79,41~176,¡º,52,82,20,0.739,28,105
2015-04,84,46~161,¡º,50,84,22,0.817,31,130
2015-05,76,39~157,¡º,35,61,19,0.555,20,126
2015-06,76,29~165,¡º,40,68,17,0.743,21,97
2015-07,81,32~190,¡º,38,60,24,0.558,19,130
2015-08,81,25~193,¡º,33,49,14,0.545,15,131
2015-09,76,43~153,¡º,31,46,14,0.593,12,130
2015-10,89,46~147,¡º,53,81,22,0.758,16,136
2015-11,74,32~170,¡º,53,63,17,0.973,21,81
2015-12,111,48~258,«·∂»Œ€»æ,83,103,27,1.281,32,64
2016-01,100,30~226,¡º,73,92,25,0.929,31,64
2016-02,89,45~201,¡º,66,86,16,0.909,22,81
2016-03,79,33~130,¡º,56,77,21,0.687,26,99
2016-04,89,46~161,¡º,58,81,18,0.633,24,129
2016-05,93,43~157,¡º,49,69,17,0.555,19,141
2016-06,78,44~175,¡º,37,46,18,0.62,19,130
2016-07,105,24~202,«·∂»Œ€»æ,36,47,20,0.732,17,158
2016-08,59,26~161,¡º,19,33,16,0.442,9,105
2016-09,72,27~168,¡º,34,47,18,0.577,13,121
2016-10,49,37~72,”≈,21,34,13,0.529,12,94
2016-11,65,32~118,¡º,43,68,19,0.737,26,78
2016-12,76,30~155,¡º,54,82,21,0.826,29,72
2017-01,66,32~147,¡º,46,66,15,0.774,19,73
2017-02,69,30~130,¡º,48,69,16,0.832,23,84
2017-03,63,37~102,¡º,42,65,17,0.681,21,95
2017-04,76,45~125,¡º,40,73,17,0.69,25,119
2017-05,83,38~142,¡º,33,60,15,0.51,18,129
2017-06,73,34~150,¡º,32,43,14,0.577,15,123
2017-07,99,26~204,¡º,32,47,19,0.665,26,154
2017-08,84,24~183,¡º,28,45,18,0.687,17,136
2017-09,71,36~191,¡º,23,42,16,0.593,14,122
2017-10,55,41~82,¡º,22,42,15,0.516,15,102
2017-11,68,38~114,¡º,42,75,18,0.64,37,86
2017-12,83,35~243,¡º,59,92,18,0.752,42,66
2018-01,86,33~242,¡º,58,82,13,0.877,33,71
2018-02,71,38~155,¡º,46,78,12,0.839,28,85
2018-03,63,39~117,¡º,39,60,11,0.784,30,93
2018-04,66,41~94,¡º,36,80,12,0.738,30,98
