‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,60,60~60,¡º,9,70,15,0.4,34,58
2015-01,126,51~234,«·∂»Œ€»æ,91,123,27,1.265,49,47
2015-02,116,37~232,«·∂»Œ€»æ,85,128,25,1.214,40,72
2015-03,82,46~132,¡º,55,86,21,1.697,35,85
2015-04,85,39~177,¡º,54,91,30,1.883,36,119
2015-05,90,57~150,¡º,49,92,26,0.913,24,141
2015-06,99,35~203,¡º,53,71,23,0.943,21,145
2015-07,80,46~163,¡º,40,64,20,0.803,22,129
2015-08,89,30~161,¡º,40,64,28,0.994,22,144
2015-09,86,43~134,¡º,46,84,28,1.013,28,135
2015-10,105,47~205,«·∂»Œ€»æ,69,121,33,1.158,49,128
2015-11,79,37~138,¡º,54,81,31,1.273,48,56
2015-12,100,49~182,«·∂»Œ€»æ,68,110,48,1.587,63,52
2016-01,121,47~234,«·∂»Œ€»æ,89,113,41,1.503,66,49
2016-02,97,34~158,¡º,71,98,35,1.241,54,82
2016-03,101,52~198,«·∂»Œ€»æ,70,105,34,1.152,47,115
2016-04,95,45~152,¡º,56,107,25,1.293,32,140
2016-05,96,48~139,¡º,42,87,15,0.813,31,150
2016-06,81,40~130,¡º,25,50,14,0.75,33,135
2016-07,54,29~115,¡º,26,49,16,0.752,29,91
2016-08,58,35~88,¡º,30,55,14,0.829,22,93
2016-09,81,36~130,¡º,39,75,19,0.98,30,126
2016-10,76,40~176,¡º,52,77,17,0.997,40,69
2016-11,105,35~240,«·∂»Œ€»æ,77,116,23,1.167,50,63
2016-12,150,52~290,«·∂»Œ€»æ,114,155,37,1.555,60,52
2017-01,140,55~301,«·∂»Œ€»æ,107,144,26,1.539,51,59
2017-02,130,62~185,«·∂»Œ€»æ,98,136,32,1.125,46,88
2017-03,102,48~196,«·∂»Œ€»æ,74,121,22,0.997,43,108
2017-04,100,60~149,¡º,60,110,20,0.987,33,133
2017-05,143,49~500,«·∂»Œ€»æ,61,138,18,0.819,27,171
2017-06,126,49~202,«·∂»Œ€»æ,54,95,17,0.847,28,184
2017-07,80,36~136,¡º,37,62,15,0.758,21,122
2017-08,76,30~140,¡º,36,61,15,0.848,20,127
2017-09,79,32~124,¡º,47,69,19,0.843,26,121
2017-10,85,35~209,¡º,60,90,21,0.894,42,90
2017-11,106,55~199,«·∂»Œ€»æ,76,123,27,0.88,53,69
2017-12,138,53~324,«·∂»Œ€»æ,105,148,27,1.152,61,54
2018-01,150,54~255,«·∂»Œ€»æ,114,146,26,1.155,54,62
2018-02,97,49~182,¡º,68,114,21,0.871,39,83
2018-03,93,55~180,¡º,65,99,19,0.916,36,111
2018-04,91,57~152,¡º,56,112,14,0.813,32,114
