‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,42,42~42,”≈,10,42,22,0.6,21,49
2015-01,88,43~169,¡º,62,102,29,1.016,27,49
2015-02,94,42~205,¡º,66,111,29,0.879,29,70
2015-03,67,45~107,¡º,44,78,21,0.719,23,66
2015-04,65,41~95,¡º,43,73,22,0.723,26,81
2015-05,78,52~145,¡º,53,91,18,0.852,30,102
2015-06,67,32~123,¡º,37,72,15,0.747,20,102
2015-07,57,32~134,¡º,29,57,13,0.752,18,87
2015-08,57,33~88,¡º,30,65,11,0.768,21,87
2015-09,66,36~110,¡º,40,72,13,0.81,24,82
2015-10,97,45~222,¡º,69,112,17,0.971,37,82
2015-11,79,35~202,¡º,54,84,20,1.053,35,44
2015-12,99,52~206,¡º,71,112,21,1.406,42,37
2016-01,100,44~225,«·∂»Œ€»æ,74,102,20,1.265,40,43
2016-02,101,40~206,«·∂»Œ€»æ,75,92,17,1.372,32,75
2016-03,98,38~206,¡º,66,96,17,1.077,32,96
2016-04,76,38~123,¡º,37,72,16,0.847,32,124
2016-05,77,42~147,¡º,45,83,24,0.752,29,118
2016-06,63,39~109,¡º,32,59,16,0.74,27,102
2016-07,52,32~79,¡º,29,57,16,0.758,26,72
2016-08,66,40~113,¡º,30,68,18,0.723,32,101
2016-09,84,33~139,¡º,44,79,17,0.85,34,130
2016-10,61,40~93,¡º,39,68,18,0.861,32,57
2016-11,88,38~211,¡º,63,106,17,0.96,41,58
2016-12,133,47~239,«·∂»Œ€»æ,100,144,22,1.316,50,49
2017-01,128,45~251,«·∂»Œ€»æ,96,138,22,1.319,43,57
2017-02,114,54~183,«·∂»Œ€»æ,85,120,21,0.968,37,91
2017-03,95,48~158,¡º,69,119,21,0.81,37,102
2017-04,94,44~145,¡º,53,112,14,0.81,27,130
2017-05,132,56~500,«·∂»Œ€»æ,48,127,16,0.661,27,163
2017-06,116,55~182,«·∂»Œ€»æ,48,95,13,0.723,17,176
2017-07,70,35~142,¡º,31,66,11,0.61,15,117
2017-08,72,33~128,¡º,35,66,13,0.639,17,119
2017-09,77,37~136,¡º,40,76,17,0.723,25,117
2017-10,81,33~185,¡º,54,97,18,0.758,29,102
2017-11,111,62~238,«·∂»Œ€»æ,81,135,21,0.82,42,77
2017-12,143,57~331,«·∂»Œ€»æ,109,149,27,1.026,52,57
2018-01,138,54~233,«·∂»Œ€»æ,104,128,21,1.074,40,64
2018-02,102,50~185,«·∂»Œ€»æ,74,108,17,0.764,30,76
2018-03,86,42~189,¡º,60,88,17,0.755,30,104
2018-04,84,54~118,¡º,52,99,14,0.638,25,121
