‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,225,75~432,÷ÿ∂»Œ€»æ,183,163,45,1.981,57,62
2014-01,157,62~299,÷–∂»Œ€»æ,122,141,42,1.635,37,73
2014-02,118,40~414,«·∂»Œ€»æ,90,111,27,1.314,15,92
2014-03,120,65~311,«·∂»Œ€»æ,84,131,36,1.471,28,117
2014-04,90,49~166,¡º,56,96,26,1.14,20,137
2014-05,125,73~201,«·∂»Œ€»æ,63,137,41,1.223,21,182
2014-06,114,56~257,«·∂»Œ€»æ,69,99,23,0.88,17,159
2014-07,87,30~169,¡º,49,70,18,0.797,16,140
2014-08,83,24~170,¡º,49,66,21,0.732,18,128
2014-09,63,34~95,¡º,34,50,22,0.72,15,107
2014-10,74,43~129,¡º,50,80,23,0.777,24,95
2014-11,98,33~192,¡º,71,108,19,1.05,32,67
2014-12,119,59~246,«·∂»Œ€»æ,88,132,36,1.168,37,43
2015-01,127,41~270,«·∂»Œ€»æ,93,149,30,1.348,29,53
2015-02,115,33~225,«·∂»Œ€»æ,86,126,20,1.343,19,70
2015-03,93,39~295,¡º,59,108,19,1.29,19,91
2015-04,85,41~150,¡º,50,92,23,1.1,24,125
2015-05,83,44~122,¡º,42,81,20,0.874,23,133
2015-06,105,46~198,«·∂»Œ€»æ,44,81,20,0.997,17,163
2015-07,73,28~143,¡º,37,60,20,0.784,13,120
2015-08,77,24~159,¡º,38,64,18,0.755,14,126
2015-09,76,42~105,¡º,32,58,15,0.727,16,130
2015-10,95,49~192,¡º,56,102,21,0.884,23,138
2015-11,81,29~196,¡º,59,89,19,1.047,28,73
2015-12,132,63~288,«·∂»Œ€»æ,99,145,27,1.5,39,53
2016-01,117,41~242,«·∂»Œ€»æ,87,126,33,1.484,33,66
2016-02,114,36~206,«·∂»Œ€»æ,84,127,26,1.262,29,79
2016-03,105,46~218,«·∂»Œ€»æ,74,130,23,1.277,30,100
2016-04,89,37~145,¡º,59,115,21,1.46,32,125
2016-05,88,45~148,¡º,44,90,18,1.277,24,134
2016-06,85,41~148,¡º,38,65,16,0.777,16,138
2016-07,77,30~162,¡º,34,56,14,0.571,10,125
2016-08,69,35~150,¡º,22,46,12,0.458,8,119
2016-09,89,31~164,¡º,37,72,14,0.7,14,143
2016-10,52,26~85,¡º,29,56,8,0.69,22,72
2016-11,81,33~202,¡º,53,100,16,0.897,35,69
2016-12,109,36~256,«·∂»Œ€»æ,79,132,20,1.184,42,66
2017-01,99,30~257,¡º,69,115,18,1.013,31,73
2017-02,98,50~178,¡º,69,120,20,0.968,36,92
2017-03,80,45~147,¡º,52,100,17,0.781,35,112
2017-04,104,57~152,«·∂»Œ€»æ,55,109,17,1.003,33,147
2017-05,119,46~222,«·∂»Œ€»æ,45,102,15,0.884,30,167
2017-06,110,49~183,«·∂»Œ€»æ,46,76,11,0.603,23,166
2017-07,64,28~151,¡º,30,53,11,0.613,21,110
2017-08,61,31~124,¡º,28,50,11,0.632,21,109
2017-09,69,31~118,¡º,40,61,10,0.637,28,112
2017-10,67,33~160,¡º,43,72,10,0.626,36,87
2017-11,88,53~145,¡º,58,109,15,0.757,48,73
2017-12,116,43~283,«·∂»Œ€»æ,84,138,18,1.129,54,51
2018-01,130,34~261,«·∂»Œ€»æ,94,130,15,1.252,48,60
2018-02,91,37~204,¡º,61,104,13,0.986,33,79
2018-03,88,39~166,¡º,62,99,13,0.852,38,104
2018-04,89,59~119,¡º,55,119,12,0.8,37,123
