‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,103,21~173,«·∂»Œ€»æ,77,109,19,1.433,51,87
2014-01,82,43~130,¡º,60,90,14,1.248,42,96
2014-02,47,20~66,”≈,31,45,7,1.157,30,63
2014-03,56,27~90,¡º,37,61,8,0.919,37,64
2014-04,52,29~71,¡º,32,53,8,0.92,34,81
2014-05,34,22~51,”≈,17,32,6,0.874,28,51
2014-06,42,23~82,”≈,20,42,6,0.943,26,61
2014-07,44,26~105,”≈,20,43,7,1.097,27,70
2014-08,36,24~73,”≈,15,36,6,0.929,27,57
2014-09,52,27~125,¡º,26,51,7,1.13,30,83
2014-10,73,52~116,¡º,45,76,9,1.213,32,122
2014-11,62,38~93,¡º,43,66,9,1.187,37,87
2014-12,70,26~99,¡º,50,77,11,1.223,44,72
2015-01,70,30~131,¡º,49,80,10,1.226,45,91
2015-02,67,25~131,¡º,47,72,9,1.082,33,85
2015-03,49,32~70,”≈,31,52,7,0.977,33,65
2015-04,52,25~95,¡º,27,52,8,0.853,34,79
2015-05,36,24~76,”≈,16,33,7,0.829,29,58
2015-06,28,23~37,”≈,11,26,8,0.743,25,49
2015-07,43,29~83,”≈,19,34,8,0.835,27,73
2015-08,56,29~109,¡º,25,43,10,0.829,36,84
2015-09,61,30~114,¡º,30,46,8,0.743,30,101
2015-10,68,25~137,¡º,38,59,9,0.758,34,115
2015-11,54,30~94,¡º,32,52,8,0.82,32,97
2015-12,53,29~82,¡º,32,50,8,0.977,37,67
2016-01,54,33~99,¡º,30,44,7,0.981,38,67
2016-02,51,30~88,¡º,30,46,8,0.821,30,79
2016-03,62,31~119,¡º,35,53,10,0.855,43,86
2016-04,55,32~85,¡º,26,40,10,0.757,36,77
2016-05,53,29~112,¡º,22,36,9,0.81,26,91
2016-06,38,26~59,”≈,13,25,8,0.627,27,66
2016-07,51,24~167,¡º,17,30,9,0.668,27,84
2016-08,62,29~132,¡º,24,38,8,0.768,32,103
2016-09,64,35~134,¡º,27,42,8,0.783,30,102
2016-10,46,23~68,”≈,24,38,6,0.771,27,82
2016-11,55,33~111,¡º,31,49,7,0.85,36,85
2016-12,67,33~95,¡º,45,71,9,0.974,43,103
2017-01,61,38~84,¡º,38,56,7,0.955,33,93
2017-02,59,35~88,¡º,32,46,7,0.818,30,101
2017-03,55,37~86,¡º,31,51,7,0.787,34,92
2017-04,58,33~115,¡º,27,44,8,0.733,33,88
2017-05,67,30~141,¡º,27,42,8,0.787,31,110
2017-06,33,23~49,”≈,12,23,7,0.653,24,48
2017-07,39,20~143,”≈,14,24,7,0.606,23,61
2017-08,48,25~160,”≈,18,30,8,0.661,28,79
2017-09,63,24~180,¡º,25,40,7,0.713,29,102
2017-10,63,25~120,¡º,30,49,7,0.755,22,110
2017-11,59,33~102,¡º,37,58,8,0.807,32,90
2017-12,70,36~108,¡º,47,76,11,0.787,35,106
2018-01,63,30~135,¡º,40,63,8,0.839,38,87
2018-02,56,24~80,¡º,36,55,8,0.679,27,91
2018-03,59,25~85,¡º,28,47,7,0.619,30,101
2018-04,60,40~80,¡º,30,65,9,0.55,28,97
