‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,109,21~207,«·∂»Œ€»æ,80,107,57,1.58,50,96
2014-01,132,50~240,«·∂»Œ€»æ,100,117,49,1.758,52,105
2014-02,71,13~210,¡º,51,49,32,1.396,31,65
2014-03,84,22~180,¡º,58,91,32,1.768,27,69
2014-04,75,30~135,¡º,54,88,28,1.413,31,82
2014-05,57,32~151,¡º,33,61,25,1.429,32,69
2014-06,52,21~99,¡º,27,50,21,1.223,25,75
2014-07,43,20~68,”≈,16,40,16,1.271,23,74
2014-08,49,13~115,”≈,23,33,19,1.084,22,89
2014-09,53,23~119,¡º,32,48,18,1.167,24,91
2014-10,89,35~176,¡º,60,88,35,1.455,39,131
2014-11,55,16~125,¡º,29,55,32,1.557,44,82
2014-12,47,26~75,”≈,28,47,32,1.171,43,68
2015-01,82,24~162,¡º,60,91,32,1.506,57,78
2015-02,91,38~204,¡º,68,87,22,1.382,42,72
2015-03,51,14~83,¡º,34,50,19,1.571,43,44
2015-04,63,25~133,¡º,36,57,21,0.958,39,100
2015-05,40,22~59,”≈,15,31,17,0.919,34,73
2015-06,38,22~67,”≈,14,31,17,0.723,26,73
2015-07,54,27~156,¡º,27,43,15,0.639,26,94
2015-08,61,36~108,¡º,33,52,18,0.897,31,99
2015-09,55,27~99,¡º,28,47,12,0.953,26,91
2015-10,61,23~107,¡º,42,65,13,1.055,30,94
2015-11,43,28~82,”≈,24,42,11,1.143,28,50
2015-12,39,22~79,”≈,21,36,9,1,25,28
2016-01,51,28~103,¡º,29,44,15,1.226,37,49
2016-02,56,25~117,¡º,38,51,13,0.975,29,73
2016-03,74,20~152,¡º,51,70,15,1.213,48,66
2016-04,67,44~152,¡º,44,61,14,1.113,48,64
2016-05,68,33~163,¡º,35,57,14,1.106,38,104
2016-06,71,35~179,¡º,29,46,14,0.897,34,116
2016-07,65,33~162,¡º,28,48,12,0.865,31,104
2016-08,67,27~189,¡º,32,48,12,0.894,26,111
2016-09,70,30~168,¡º,37,54,14,0.93,29,114
2016-10,54,28~111,¡º,29,42,13,1.01,28,91
2016-11,67,32~165,¡º,34,59,13,1.287,44,80
2016-12,72,36~109,¡º,49,73,16,1.358,52,80
2017-01,80,30~179,¡º,56,78,12,1.452,38,75
2017-02,72,25~119,¡º,52,73,13,1.261,35,88
2017-03,69,37~127,¡º,37,73,10,1.552,53,52
2017-04,78,33~179,¡º,41,71,13,1.133,49,88
2017-05,83,36~185,¡º,39,62,11,1.042,41,130
2017-06,70,42~116,¡º,28,44,12,0.913,40,114
2017-07,74,40~177,¡º,27,45,11,0.961,43,113
2017-08,83,22~207,¡º,31,53,15,0.855,32,131
2017-09,81,44~149,¡º,39,61,16,0.893,35,125
2017-10,57,23~97,¡º,28,46,15,0.852,25,104
2017-11,57,25~114,¡º,37,55,15,1.017,33,61
2017-12,66,25~127,¡º,45,72,18,1.074,40,87
2018-01,81,26~212,¡º,55,76,14,1.265,52,69
2018-02,75,28~200,¡º,52,66,12,0.989,35,91
2018-03,92,42~165,¡º,60,75,14,1.097,51,111
2018-04,108,52~145,«·∂»Œ€»æ,49,99,17,0.875,47,160
