‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,205,67~498,÷ÿ∂»Œ€»æ,168,237,107,2.443,74,21
2014-01,185,74~500,÷–∂»Œ€»æ,145,228,104,2.071,62,29
2014-02,214,80~452,÷ÿ∂»Œ€»æ,170,223,73,1.782,39,46
2014-03,125,67~228,«·∂»Œ€»æ,83,168,53,1.071,39,80
2014-04,97,47~168,¡º,64,127,18,0.823,34,69
2014-05,98,52~243,¡º,52,144,25,0.526,37,86
2014-06,90,50~143,¡º,49,100,17,0.693,33,133
2014-07,67,33~112,¡º,33,72,17,0.552,26,109
2014-08,64,28~97,¡º,40,78,14,0.677,27,101
2014-09,61,23~144,¡º,41,71,11,0.78,28,71
2014-10,114,36~229,«·∂»Œ€»æ,84,143,18,0.781,44,60
2014-11,108,44~203,«·∂»Œ€»æ,77,129,29,1.083,40,34
2014-12,78,29~152,¡º,54,90,43,1.255,44,35
2015-01,126,52~262,«·∂»Œ€»æ,94,140,47,1.555,46,34
2015-02,100,59~185,«·∂»Œ€»æ,66,129,33,1.082,35,57
2015-03,91,41~164,¡º,59,120,26,1.116,32,63
2015-04,80,44~156,¡º,39,105,19,0.84,36,105
2015-05,80,56~124,¡º,41,102,19,0.735,36,111
2015-06,65,29~102,¡º,33,74,14,0.707,30,94
2015-07,74,51~127,¡º,36,80,12,0.652,30,114
2015-08,73,37~138,¡º,34,75,10,0.658,34,113
2015-09,84,42~160,¡º,55,90,10,0.977,37,109
2015-10,84,33~143,¡º,52,90,18,1.168,54,75
2015-11,83,32~241,¡º,53,101,24,1.83,48,37
2015-12,187,53~445,÷–∂»Œ€»æ,144,230,43,2.29,61,37
2016-01,152,63~375,÷–∂»Œ€»æ,108,201,45,2.587,62,40
2016-02,94,43~173,¡º,53,126,34,1.624,40,72
2016-03,145,56~468,«·∂»Œ€»æ,90,197,30,1.339,48,89
2016-04,105,64~167,«·∂»Œ€»æ,58,144,19,0.93,46,120
2016-05,85,42~164,¡º,49,103,16,0.765,33,117
2016-06,109,59~172,«·∂»Œ€»æ,43,90,14,0.673,28,167
2016-07,97,44~173,¡º,39,73,9,0.761,30,152
2016-08,94,38~130,¡º,48,77,10,0.945,25,149
2016-09,109,57~170,«·∂»Œ€»æ,71,114,14,0.99,50,133
2016-10,93,24~190,¡º,64,107,11,0.994,44,73
2016-11,176,37~298,÷–∂»Œ€»æ,128,224,26,1.56,68,48
2016-12,201,72~440,÷ÿ∂»Œ€»æ,160,223,40,1.977,79,37
2017-01,203,64~459,÷ÿ∂»Œ€»æ,158,231,35,1.906,70,47
2017-02,165,49~301,÷–∂»Œ€»æ,121,196,33,1.7,68,75
2017-03,106,44~160,«·∂»Œ€»æ,70,131,23,1.029,59,85
2017-04,101,38~440,«·∂»Œ€»æ,54,131,16,0.91,50,109
2017-05,121,41~500,«·∂»Œ€»æ,51,132,12,0.671,50,141
2017-06,111,57~156,«·∂»Œ€»æ,35,88,12,0.73,40,168
2017-07,109,45~191,«·∂»Œ€»æ,32,83,12,0.903,38,166
2017-08,94,34~169,¡º,32,71,9,0.768,34,148
2017-09,81,45~135,¡º,44,91,11,0.867,46,107
2017-10,84,28~137,¡º,58,96,8,1.039,43,51
2017-11,128,72~279,«·∂»Œ€»æ,90,163,16,1.26,72,43
2017-12,162,67~451,÷–∂»Œ€»æ,111,212,26,1.39,80,33
2018-01,173,68~335,÷–∂»Œ€»æ,131,203,22,1.626,73,41
2018-02,126,38~306,«·∂»Œ€»æ,83,168,24,1.214,59,67
2018-03,139,53~500,«·∂»Œ€»æ,80,201,14,0.99,55,90
2018-04,174,95~500,÷–∂»Œ€»æ,57,273,13,0.65,49,97
