‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,195,16~422,÷–∂»Œ€»æ,157,200,55,1.603,80,38
2014-01,152,55~304,÷–∂»Œ€»æ,117,140,36,1.248,67,52
2014-02,95,24~305,¡º,71,73,18,0.954,35,67
2014-03,92,53~172,¡º,68,98,29,0.935,56,105
2014-04,83,40~152,¡º,57,79,24,0.863,48,110
2014-05,97,40~160,¡º,66,108,28,0.916,47,130
2014-06,95,36~207,¡º,52,73,17,0.91,39,147
2014-07,88,26~180,¡º,46,67,11,0.932,34,136
2014-08,66,21~124,¡º,40,60,12,0.961,35,105
2014-09,73,36~140,¡º,39,58,15,0.87,34,121
2014-10,88,50~130,¡º,53,82,17,0.906,51,125
2014-11,97,41~185,¡º,72,93,23,1.187,62,66
2014-12,104,56~160,«·∂»Œ€»æ,77,108,38,1.084,70,42
2015-01,132,41~280,«·∂»Œ€»æ,100,106,27,1.252,66,48
2015-02,96,28~186,¡º,70,80,11,1.021,37,75
2015-03,79,35~159,¡º,56,64,14,1.006,41,88
2015-04,91,40~203,¡º,54,81,20,1.01,50,134
2015-05,94,36~143,¡º,46,71,17,0.768,36,150
2015-06,84,36~153,¡º,43,71,10,0.787,34,128
2015-07,77,24~179,¡º,35,53,8,0.606,28,124
2015-08,94,29~169,¡º,38,56,12,0.716,28,148
2015-09,105,37~183,«·∂»Œ€»æ,37,55,14,0.767,31,163
2015-10,89,42~165,¡º,50,82,21,0.829,40,133
2015-11,68,32~139,¡º,48,66,21,1.057,42,61
2015-12,115,53~329,«·∂»Œ€»æ,86,117,30,1.2,51,53
2016-01,101,43~193,«·∂»Œ€»æ,73,93,23,1.116,46,59
2016-02,87,46~144,¡º,62,91,20,0.931,34,100
2016-03,98,43~176,¡º,68,101,25,0.952,47,111
2016-04,88,45~148,¡º,48,72,23,0.857,38,135
2016-05,92,41~152,¡º,40,71,18,0.852,36,139
2016-06,87,33~187,¡º,31,47,12,0.743,27,138
2016-07,93,32~194,¡º,31,50,11,0.719,26,147
2016-08,105,44~167,«·∂»Œ€»æ,24,41,14,0.623,22,163
2016-09,91,20~185,¡º,31,46,14,0.617,26,143
2016-10,55,27~100,¡º,26,44,11,0.739,34,78
2016-11,76,33~166,¡º,50,77,18,0.87,49,62
2016-12,94,38~150,¡º,69,98,22,1.019,53,64
2017-01,85,39~217,¡º,60,75,15,1.013,38,66
2017-02,88,40~148,¡º,64,80,17,0.907,40,94
2017-03,78,39~140,¡º,52,75,17,0.729,44,106
2017-04,101,50~160,«·∂»Œ€»æ,47,78,19,0.873,50,149
2017-05,113,36~204,«·∂»Œ€»æ,37,65,17,0.748,39,170
2017-06,89,37~202,¡º,31,48,12,0.783,30,139
2017-07,94,32~184,¡º,25,45,9,0.69,28,149
2017-08,80,37~167,¡º,23,38,9,0.794,23,132
2017-09,80,33~185,¡º,28,45,10,0.887,27,124
2017-10,63,29~151,¡º,27,49,12,0.842,31,107
2017-11,71,37~108,¡º,42,77,16,0.9,48,72
2017-12,100,49~283,¡º,72,108,23,1.206,60,50
2018-01,95,29~232,¡º,68,88,17,1.132,48,52
2018-02,80,37~192,¡º,55,77,13,0.936,35,80
2018-03,69,37~110,¡º,43,70,16,1.048,46,93
2018-04,81,52~126,¡º,40,95,17,1.063,47,105
