‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,168,55~267,÷–∂»Œ€»æ,129,189,63,1.797,67,62
2014-01,202,76~362,÷ÿ∂»Œ€»æ,159,218,57,1.758,55,71
2014-02,98,27~212,¡º,74,102,29,1.161,29,49
2014-03,88,50~156,¡º,64,101,36,1.165,37,70
2014-04,82,42~151,¡º,58,101,31,0.97,41,93
2014-05,90,42~150,¡º,62,115,33,0.894,35,85
2014-06,95,37~288,¡º,70,101,24,1.1,30,108
2014-07,70,39~116,¡º,47,76,27,0.903,33,95
2014-08,65,31~117,¡º,45,67,21,1.177,29,91
2014-09,68,30~102,¡º,47,73,30,0.98,34,84
2014-10,120,39~248,«·∂»Œ€»æ,90,142,37,1.061,57,110
2014-11,94,47~261,¡º,68,110,30,1.19,50,40
2014-12,99,60~222,¡º,73,115,40,1.01,51,45
2015-01,139,44~254,«·∂»Œ€»æ,106,156,37,1.361,53,44
2015-02,106,24~187,«·∂»Œ€»æ,79,123,26,1.286,39,61
2015-03,73,28~186,¡º,50,88,18,1.165,38,51
2015-04,67,33~97,¡º,46,80,23,0.993,41,73
2015-05,79,45~177,¡º,55,86,21,1.113,32,95
2015-06,55,30~112,¡º,30,52,19,1.06,25,90
2015-07,63,30~162,¡º,42,64,14,0.997,25,93
2015-08,68,26~121,¡º,39,65,16,1.035,27,109
2015-09,79,34~127,¡º,51,83,20,0.967,31,120
2015-10,95,32~140,¡º,68,113,23,0.952,44,120
2015-11,61,32~98,¡º,42,67,20,1.12,38,44
2015-12,107,39~227,«·∂»Œ€»æ,78,114,22,1.061,45,43
2016-01,113,64~214,«·∂»Œ€»æ,83,122,22,1.126,46,44
2016-02,96,43~220,¡º,68,114,24,1.024,37,77
2016-03,88,36~153,¡º,63,107,32,1.071,44,88
2016-04,63,36~95,¡º,41,71,24,0.92,33,84
2016-05,64,43~112,¡º,39,68,24,0.903,28,97
2016-06,59,37~98,¡º,33,57,22,0.92,22,98
2016-07,54,27~90,¡º,31,57,21,0.961,22,81
2016-08,68,43~117,¡º,37,64,20,1.071,23,105
2016-09,85,32~142,¡º,51,84,21,1.08,30,130
2016-10,64,28~134,¡º,43,69,18,0.9,29,65
2016-11,75,25~155,¡º,52,90,21,1.033,38,49
2016-12,109,44~199,«·∂»Œ€»æ,80,136,30,1.277,60,57
2017-01,123,49~260,«·∂»Œ€»æ,92,142,25,1.248,46,58
2017-02,85,35~168,¡º,63,94,26,0.986,40,75
2017-03,73,32~193,¡º,45,83,20,0.858,43,62
2017-04,69,32~105,¡º,37,75,22,0.873,37,104
2017-05,92,44~192,¡º,42,84,20,0.861,35,131
2017-06,52,33~117,¡º,24,43,18,0.773,26,88
2017-07,56,23~110,¡º,25,46,19,0.732,21,99
2017-08,52,33~85,¡º,23,44,19,0.735,21,95
2017-09,74,35~140,¡º,35,60,17,0.79,27,117
2017-10,68,20~159,¡º,46,68,13,0.735,32,88
2017-11,121,43~248,«·∂»Œ€»æ,90,119,20,0.983,53,65
2017-12,126,65~223,«·∂»Œ€»æ,95,131,25,1.01,64,58
2018-01,110,33~292,«·∂»Œ€»æ,81,103,22,1.023,48,52
2018-02,104,39~222,«·∂»Œ€»æ,75,109,19,0.911,38,81
2018-03,76,30~153,¡º,53,76,20,0.894,43,85
2018-04,83,53~107,¡º,47,107,17,0.763,38,107
