‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2015-01,108,27~179,«·∂»Œ€»æ,81,118,29,0.871,29,44
2015-02,91,22~156,¡º,68,92,18,0.743,18,58
2015-03,69,34~141,¡º,49,74,16,0.713,19,57
2015-04,60,32~109,¡º,41,65,9,0.567,16,73
2015-05,60,35~115,¡º,38,62,9,0.452,13,79
2015-06,48,27~76,”≈,27,46,11,0.47,12,73
2015-07,51,29~75,¡º,28,47,10,0.774,12,83
2015-08,52,34~82,¡º,30,51,10,0.558,13,79
2015-09,65,26~102,¡º,45,66,9,0.413,15,85
2015-10,76,37~122,¡º,54,87,11,0.332,21,85
2015-11,53,23~94,¡º,36,55,10,0.487,22,36
2015-12,78,28~137,¡º,56,88,18,0.439,27,52
2016-01,95,46~173,¡º,70,103,19,0.442,27,63
2016-02,89,43~206,¡º,63,104,19,0.338,21,73
2016-03,86,44~128,¡º,61,99,13,0.481,26,78
2016-04,62,32~103,¡º,36,70,11,0.483,19,77
2016-05,57,31~87,¡º,32,63,11,0.519,13,86
2016-06,49,27~77,”≈,22,49,8,0.507,11,70
2016-07,48,27~68,”≈,24,51,6,0.894,11,67
2016-08,57,28~83,¡º,29,64,5,0.619,17,86
2016-09,76,35~98,¡º,45,92,7,0.573,21,115
2016-10,52,25~84,¡º,31,59,5,0.729,16,74
2016-11,64,29~113,¡º,43,75,7,0.787,18,39
2016-12,93,32~155,¡º,67,112,5,0.887,27,51
2017-01,109,35~248,«·∂»Œ€»æ,82,126,6,0.881,21,60
2017-02,77,38~173,¡º,56,85,8,0.732,19,55
2017-03,62,27~102,¡º,40,69,4,0.706,20,64
2017-04,63,25~92,¡º,37,78,4,0.763,18,69
2017-05,63,21~112,¡º,26,70,3,0.765,15,85
2017-06,47,30~63,”≈,16,43,3,1.287,15,67
2017-07,56,35~77,¡º,24,60,3,1.665,14,73
2017-08,51,30~73,¡º,23,51,3,1.203,13,75
2017-09,57,30~102,¡º,29,58,2,0.683,17,83
2017-10,48,20~104,”≈,28,52,2,0.49,15,68
2017-11,71,38~109,¡º,47,89,7,0.44,28,62
2017-12,92,52~142,¡º,66,120,10,0.513,39,52
2018-01,80,26~137,¡º,59,91,6,0.6,24,47
2018-02,94,36~162,¡º,69,114,8,0.725,24,70
2018-03,58,24~97,¡º,38,65,6,0.548,22,60
2018-04,71,38~85,¡º,43,88,6,0.363,21,83
