月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,84,84~84,良,62,72,38,1.3,61,131
2014-01,79,42~121,良,44,55,22,1.177,25,129
2014-02,52,20~123,良,31,45,9,1.332,16,66
2014-03,48,24~84,优,29,48,8,1.171,16,74
2014-04,46,20~115,优,24,38,6,1.037,10,77
2014-05,44,25~84,优,19,37,12,1.158,14,84
2014-06,38,20~89,优,16,33,14,1.227,13,66
2014-07,32,17~55,优,15,30,14,1.06,10,51
2014-08,28,15~43,优,12,28,11,0.684,13,37
2014-09,41,21~86,优,21,39,10,0.83,14,70
2014-10,78,43~126,良,47,77,15,1.194,17,126
2014-11,62,37~107,良,35,56,12,1.15,14,98
2014-12,65,17~102,良,45,72,18,1.6,22,81
2015-01,69,24~115,良,46,72,14,1.484,21,106
2015-02,63,18~158,良,42,64,9,0.896,14,90
2015-03,44,20~79,优,22,38,7,0.835,10,74
2015-04,52,15~91,良,25,44,9,0.92,14,87
2015-05,43,28~78,优,15,32,8,1.006,14,84
2015-06,36,25~50,优,12,30,9,0.753,11,72
2015-07,42,23~78,优,18,35,12,0.981,14,79
2015-08,51,23~127,良,24,43,9,0.726,16,90
2015-09,52,19~105,良,25,40,6,0.697,14,93
2015-10,79,27~166,良,46,65,11,0.91,21,125
2015-11,63,24~110,良,29,43,11,0.87,13,109
2015-12,48,28~99,优,31,42,10,1.094,18,74
2016-01,51,22~98,良,31,42,10,0.961,17,74
2016-02,57,23~189,良,39,52,9,0.807,14,75
2016-03,51,24~100,良,29,41,7,0.9,15,84
2016-04,50,26~118,优,25,39,7,1,12,82
2016-05,54,29~128,良,20,34,8,1,13,97
2016-06,37,23~55,优,13,28,10,0.66,14,74
2016-07,39,22~75,优,14,30,8,0.668,11,75
2016-08,46,26~92,优,19,33,8,0.868,12,87
2016-09,54,25~126,良,27,41,13,0.807,13,98
2016-10,57,24~91,良,30,44,11,0.823,11,102
2016-11,51,18~104,良,27,40,11,0.813,13,89
2016-12,75,40~105,良,47,66,14,1.006,22,116
2017-01,65,30~142,良,39,54,9,0.99,18,102
2017-02,60,27~112,良,37,50,10,0.85,15,99
2017-03,55,32~96,良,32,49,8,0.758,16,91
2017-04,59,30~115,良,27,44,8,0.773,15,100
2017-05,55,26~137,良,21,36,9,0.716,12,97
2017-06,34,22~47,优,13,30,9,0.667,12,64
2017-07,37,20~84,优,14,27,8,0.665,11,70
2017-08,37,21~77,优,14,28,9,0.665,13,73
2017-09,41,18~73,优,20,33,10,0.693,15,77
2017-10,62,18~142,良,35,48,11,0.781,15,105
2017-11,67,25~125,良,42,55,12,0.86,18,103
2017-12,84,40~148,良,56,70,17,0.884,24,125
2018-01,65,22~106,良,39,48,10,0.774,20,102
2018-02,71,35~119,良,47,60,10,0.782,17,104
2018-03,61,25~110,良,26,40,7,0.665,11,109
2018-04,63,40~110,良,30,59,10,0.65,13,106
