‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-01,153,67~296,÷–∂»Œ€»æ,119,178,38,0.707,65,42
2014-02,102,27~262,«·∂»Œ€»æ,76,105,26,0.746,37,78
2014-03,103,53~181,«·∂»Œ€»æ,75,123,31,0.706,52,124
2014-04,105,52~203,«·∂»Œ€»æ,60,90,25,0.537,40,143
2014-05,128,50~323,«·∂»Œ€»æ,76,134,30,0.673,42,175
2014-06,108,48~201,«·∂»Œ€»æ,68,99,16,0.9,38,152
2014-07,94,28~159,¡º,52,74,18,0.861,31,141
2014-08,67,33~140,¡º,40,66,25,1.377,32,106
2014-09,63,38~125,¡º,32,61,15,0.7,35,104
2014-10,74,31~106,¡º,41,75,19,1.042,51,114
2014-11,93,44~217,¡º,68,112,33,1.13,63,63
2014-12,78,54~144,¡º,51,95,39,0.945,59,55
2015-01,125,53~221,«·∂»Œ€»æ,93,153,30,0.839,58,57
2015-02,100,37~180,¡º,72,116,19,0.739,37,87
2015-03,89,41~203,¡º,58,98,21,0.674,42,102
2015-04,94,51~158,¡º,55,100,35,0.647,44,130
2015-05,103,47~187,«·∂»Œ€»æ,54,89,20,0.719,36,152
2015-06,68,25~168,¡º,46,73,23,0.843,34,81
2015-07,58,24~125,¡º,38,56,17,0.661,26,73
2015-08,68,21~147,¡º,36,58,28,0.71,25,114
2015-09,70,34~112,¡º,38,63,21,0.793,33,118
2015-10,84,38~158,¡º,58,102,17,0.839,51,107
2015-11,82,38~147,¡º,60,88,18,1.077,52,58
2015-12,131,66~268,«·∂»Œ€»æ,98,150,26,1.061,59,41
2016-01,106,43~226,«·∂»Œ€»æ,77,116,23,0.781,49,52
2016-02,86,34~142,¡º,61,100,16,0.628,30,75
2016-03,87,34~175,¡º,62,100,24,0.777,44,74
2016-04,69,40~113,¡º,40,69,14,0.653,38,103
2016-05,78,32~185,¡º,44,83,12,1.039,29,109
2016-06,54,25~105,¡º,35,56,10,0.86,23,81
2016-07,78,28~162,¡º,29,44,12,0.845,19,131
2016-08,79,39~128,¡º,27,42,14,0.916,19,132
2016-09,65,22~110,¡º,36,53,11,1.023,25,110
2016-10,50,31~84,¡º,30,45,15,1.013,32,70
2016-11,74,31~158,¡º,52,77,27,1.217,40,61
2016-12,100,36~208,«·∂»Œ€»æ,74,105,18,1.171,47,62
2017-01,91,42~180,¡º,67,88,13,1.213,37,62
2017-02,94,40~156,¡º,69,89,16,1.336,37,85
2017-03,73,40~124,¡º,51,75,16,1.023,39,93
2017-04,80,38~117,¡º,46,75,26,1.05,36,120
2017-05,86,38~157,¡º,42,66,15,0.99,28,134
2017-06,69,28~115,¡º,36,47,12,0.81,23,113
2017-07,56,26~140,¡º,23,33,12,0.687,21,96
2017-08,59,28~131,¡º,23,34,10,0.729,17,105
2017-09,63,28~140,¡º,31,42,17,0.8,22,103
2017-10,59,29~115,¡º,35,51,18,0.9,32,93
2017-11,72,32~129,¡º,46,76,20,0.863,44,73
2017-12,107,52~252,«·∂»Œ€»æ,78,108,25,1.006,55,57
2018-01,115,40~253,«·∂»Œ€»æ,84,105,17,1.039,52,63
2018-02,90,35~236,¡º,65,86,14,1.143,35,77
2018-03,74,43~140,¡º,51,67,13,1.106,32,101
2018-04,79,57~110,¡º,44,74,14,1.213,30,121
