‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,73,73~73,¡º,30,96,11,0.6,13,36
2015-01,106,41~214,«·∂»Œ€»æ,78,128,14,1.171,22,38
2015-02,91,21~196,¡º,68,89,11,1.093,21,39
2015-03,61,22~102,¡º,43,58,10,1.323,20,36
2015-04,74,29~172,¡º,54,79,10,1.273,22,45
2015-05,95,54~151,¡º,71,98,20,0.781,33,46
2015-06,82,25~156,¡º,60,90,16,0.73,30,39
2015-07,68,38~142,¡º,48,71,14,0.548,28,39
2015-08,67,24~108,¡º,47,73,16,0.597,28,43
2015-09,71,50~118,¡º,49,79,12,0.72,22,44
2015-10,101,33~258,«·∂»Œ€»æ,74,115,14,0.916,32,44
2015-11,81,28~173,¡º,59,74,14,1.097,33,40
2015-12,127,59~252,«·∂»Œ€»æ,95,115,22,1.248,53,61
2016-01,129,38~232,«·∂»Œ€»æ,97,118,26,1.152,51,52
2016-02,108,26~203,«·∂»Œ€»æ,80,104,15,1.086,38,58
2016-03,105,31~220,«·∂»Œ€»æ,78,102,16,0.971,43,74
2016-04,86,46~129,¡º,62,88,15,0.867,41,120
2016-05,88,49~223,¡º,63,84,21,0.8,32,121
2016-06,74,44~133,¡º,46,62,22,0.737,27,114
2016-07,69,38~121,¡º,36,56,14,0.665,25,114
2016-08,91,42~151,¡º,34,53,20,0.7,27,148
2016-09,90,36~155,¡º,37,62,19,0.73,38,143
2016-10,58,30~105,¡º,38,53,14,0.613,35,79
2016-11,83,40~156,¡º,57,88,19,0.86,52,88
2016-12,110,38~169,«·∂»Œ€»æ,82,115,17,1.11,61,81
2017-01,107,41~215,«·∂»Œ€»æ,79,103,14,1.09,49,81
2017-02,107,51~149,«·∂»Œ€»æ,80,111,14,1.011,50,104
2017-03,87,49~137,¡º,62,94,15,0.8,49,116
2017-04,98,44~124,¡º,56,89,13,0.79,39,141
2017-05,118,42~202,«·∂»Œ€»æ,52,90,12,0.719,34,171
2017-06,111,38~195,«·∂»Œ€»æ,53,79,12,0.743,29,166
2017-07,70,36~154,¡º,35,58,11,0.577,22,119
2017-08,66,36~124,¡º,28,51,9,0.6,25,118
2017-09,79,38~152,¡º,36,63,11,0.757,36,122
2017-10,68,36~150,¡º,42,71,14,0.703,36,102
2017-11,90,46~168,¡º,63,106,12,0.82,53,85
2017-12,111,42~231,«·∂»Œ€»æ,83,120,18,1.084,64,60
2018-01,125,36~274,«·∂»Œ€»æ,93,122,15,0.997,52,66
2018-02,90,38~188,¡º,64,102,12,0.8,47,81
2018-03,83,37~130,¡º,59,95,11,0.79,47,105
2018-04,85,52~114,¡º,51,107,11,0.663,33,126
