‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,151,62~324,÷–∂»Œ€»æ,116,180,147,1.673,85,30
2014-01,173,44~316,÷–∂»Œ€»æ,135,195,133,2.874,66,31
2014-02,125,35~264,«·∂»Œ€»æ,94,114,87,1.907,43,46
2014-03,145,61~307,«·∂»Œ€»æ,103,167,89,1.777,63,66
2014-04,116,38~227,«·∂»Œ€»æ,83,136,74,1.39,51,100
2014-05,103,42~189,«·∂»Œ€»æ,70,122,65,1.743,38,99
2014-06,91,50~192,¡º,64,88,51,1.447,29,116
2014-07,96,28~152,¡º,64,122,43,1.548,32,117
2014-08,98,39~158,¡º,71,113,44,1.458,30,90
2014-09,97,29~190,¡º,71,109,44,2.21,38,62
2014-10,113,49~218,«·∂»Œ€»æ,83,132,46,2.652,46,44
2014-11,121,51~237,«·∂»Œ€»æ,88,161,53,2.353,54,26
2014-12,129,46~315,«·∂»Œ€»æ,93,155,99,3.01,59,34
2015-01,136,42~300,«·∂»Œ€»æ,102,148,106,2.661,61,42
2015-02,124,41~210,«·∂»Œ€»æ,90,131,87,2.661,47,52
2015-03,129,48~383,«·∂»Œ€»æ,87,161,77,2.503,49,72
2015-04,106,50~211,«·∂»Œ€»æ,76,121,56,2.117,45,98
2015-05,84,26~146,¡º,56,98,52,1.665,37,120
2015-06,96,47~152,¡º,63,101,47,1.74,33,144
2015-07,93,44~132,¡º,66,103,36,1.252,25,128
2015-08,71,36~124,¡º,46,78,30,1.616,29,111
2015-09,75,27~189,¡º,50,84,36,1.447,34,99
2015-10,123,45~260,«·∂»Œ€»æ,90,134,44,2.068,48,61
2015-11,113,39~313,«·∂»Œ€»æ,82,124,47,2.447,44,33
2015-12,178,50~396,÷–∂»Œ€»æ,139,217,69,2.99,52,26
2016-01,124,55~258,«·∂»Œ€»æ,91,144,53,2.752,42,31
2016-02,100,55~189,¡º,69,109,37,2.676,30,41
2016-03,121,56~246,«·∂»Œ€»æ,84,161,44,2.013,38,61
2016-04,113,54~176,«·∂»Œ€»æ,71,169,41,1.13,30,81
2016-05,93,54~162,¡º,63,123,38,1.216,28,100
2016-06,84,44~140,¡º,55,93,27,1.227,23,126
2016-07,86,46~163,¡º,60,89,19,1.355,18,121
2016-08,70,39~128,¡º,45,75,24,1.284,23,98
2016-09,101,45~173,«·∂»Œ€»æ,71,113,37,1.213,39,128
2016-10,93,38~215,¡º,67,107,27,1.361,40,76
2016-11,122,42~222,«·∂»Œ€»æ,90,153,38,1.813,58,49
2016-12,159,37~269,÷–∂»Œ€»æ,122,176,56,2.687,69,38
2017-01,152,46~375,÷–∂»Œ€»æ,117,162,52,2.806,56,44
2017-02,121,0~242,«·∂»Œ€»æ,89,127,49,2.375,45,62
2017-03,104,50~199,«·∂»Œ€»æ,76,119,39,1.326,41,83
2017-04,102,49~183,«·∂»Œ€»æ,73,121,21,1.033,31,97
2017-05,125,55~378,«·∂»Œ€»æ,65,144,29,1.142,34,140
2017-06,111,52~181,«·∂»Œ€»æ,58,89,25,1.267,32,168
2017-07,103,46~183,«·∂»Œ€»æ,51,70,11,1.223,25,150
2017-08,89,36~187,¡º,37,59,11,1.094,26,143
2017-09,106,46~159,«·∂»Œ€»æ,49,85,21,1.213,35,163
2017-10,90,31~166,¡º,60,76,24,1.345,45,98
2017-11,88,36~186,¡º,56,104,33,1.35,56,61
2017-12,110,49~269,«·∂»Œ€»æ,77,119,41,1.526,63,47
2018-01,111,33~302,«·∂»Œ€»æ,81,118,38,1.426,55,46
2018-02,105,50~200,«·∂»Œ€»æ,74,112,36,1.3,40,79
2018-03,103,42~207,«·∂»Œ€»æ,73,105,28,1.052,44,112
2018-04,88,39~163,¡º,51,108,18,0.913,29,114
