‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,79,32~166,¡º,0,110,22,0,22,0
2013-06,82,38~286,¡º,0,110,20,0,35,0
2013-07,71,30~147,¡º,0,92,12,0,27,0
2013-08,72,27~197,¡º,0,95,17,0,29,0
2013-09,79,38~194,¡º,0,108,24,0,36,0
2013-10,127,48~330,«·∂»Œ€»æ,0,198,40,0,56,0
2013-11,89,56~155,¡º,2,126,48,0.023,53,1
2013-12,217,84~440,÷ÿ∂»Œ€»æ,171,191,82,1.406,57,12
2014-01,190,92~328,÷–∂»Œ€»æ,140,193,82,0.352,20,18
2014-02,137,54~256,«·∂»Œ€»æ,102,129,79,1.064,32,85
2014-03,115,66~348,«·∂»Œ€»æ,78,148,55,1.116,37,104
2014-04,104,61~196,«·∂»Œ€»æ,63,127,75,0.95,31,123
2014-05,104,56~155,«·∂»Œ€»æ,61,147,40,0.719,23,131
2014-06,135,50~212,«·∂»Œ€»æ,69,116,29,0.84,16,187
2014-07,102,46~168,«·∂»Œ€»æ,35,52,26,0.673,15,155
2014-08,88,44~127,¡º,50,83,48,0.832,17,135
2014-09,82,21~185,¡º,54,77,32,1,15,96
2014-10,151,61~276,÷–∂»Œ€»æ,113,172,39,1.29,21,111
2014-11,128,61~395,«·∂»Œ€»æ,95,149,45,1.487,33,58
2014-12,98,57~186,¡º,66,125,45,1.168,50,55
2015-01,139,71~259,«·∂»Œ€»æ,106,154,51,1.865,59,44
2015-02,123,67~208,«·∂»Œ€»æ,92,147,42,1.511,39,79
2015-03,110,61~216,«·∂»Œ€»æ,78,138,30,0.984,34,87
2015-04,102,43~185,«·∂»Œ€»æ,68,129,29,0.857,29,119
2015-05,114,64~169,«·∂»Œ€»æ,76,139,33,0.887,25,148
2015-06,115,45~187,«·∂»Œ€»æ,63,134,33,0.763,25,154
2015-07,99,51~168,¡º,56,95,25,0.706,23,149
2015-08,92,47~139,¡º,51,90,15,0.7,21,143
2015-09,119,70~248,«·∂»Œ€»æ,81,137,28,0.813,30,148
2015-10,123,54~229,«·∂»Œ€»æ,87,135,44,1.013,47,114
2015-11,95,37~185,¡º,69,105,26,1.15,38,47
2015-12,176,55~448,÷–∂»Œ€»æ,136,195,48,1.506,52,54
2016-01,195,64~407,÷–∂»Œ€»æ,153,214,58,1.79,46,56
2016-02,119,47~199,«·∂»Œ€»æ,78,163,56,1.6,40,96
2016-03,135,64~273,«·∂»Œ€»æ,90,178,36,1.581,47,109
2016-04,109,63~186,«·∂»Œ€»æ,76,148,38,1.38,45,123
2016-05,95,46~153,¡º,51,98,29,1.261,37,139
2016-06,96,52~144,¡º,45,78,23,1.13,30,150
2016-07,68,44~118,¡º,36,59,18,1.165,26,111
2016-08,82,46~130,¡º,43,73,19,1.023,21,128
2016-09,108,63~153,«·∂»Œ€»æ,58,114,22,0.74,33,151
2016-10,72,36~123,¡º,51,79,17,0.765,38,67
2016-11,127,31~251,«·∂»Œ€»æ,94,154,13,1.03,43,55
2016-12,185,74~500,÷–∂»Œ€»æ,147,214,18,1.416,58,52
2017-01,163,68~278,÷–∂»Œ€»æ,122,198,18,1.587,49,57
2017-02,129,69~276,«·∂»Œ€»æ,95,159,17,1.336,45,75
2017-03,107,62~186,«·∂»Œ€»æ,73,141,19,1.206,42,90
2017-04,90,56~128,¡º,49,108,16,1.113,30,109
2017-05,117,51~490,«·∂»Œ€»æ,53,126,17,1.048,31,145
2017-06,103,42~169,«·∂»Œ€»æ,42,86,11,0.76,33,156
2017-07,67,27~146,¡º,30,50,8,0.755,20,106
2017-08,77,27~127,¡º,32,57,11,0.735,17,128
2017-09,75,26~124,¡º,37,66,14,0.813,22,121
2017-10,73,23~150,¡º,51,85,13,0.91,35,80
2017-11,119,62~220,«·∂»Œ€»æ,83,157,17,0.96,55,74
2017-12,140,53~318,«·∂»Œ€»æ,103,170,17,1.09,54,61
2018-01,151,55~333,÷–∂»Œ€»æ,115,165,13,1.194,46,67
2018-02,123,64~199,«·∂»Œ€»æ,82,152,17,1.046,37,79
2018-03,98,54~155,¡º,67,112,11,0.777,34,104
2018-04,100,59~180,¡º,44,146,9,0.675,29,105
