‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,76,76~76,¡º,56,76,26,0.9,58,101
2015-01,74,28~136,¡º,54,72,24,0.842,40,73
2015-02,60,31~98,¡º,43,56,14,0.718,26,73
2015-03,54,34~80,¡º,38,57,13,0.661,29,60
2015-04,54,36~74,¡º,36,58,15,0.587,27,76
2015-05,53,37~71,¡º,34,54,11,0.613,27,71
2015-06,43,32~59,”≈,21,44,8,0.653,18,60
2015-07,45,26~67,”≈,22,45,11,0.587,20,65
2015-08,44,26~69,”≈,21,45,11,0.542,23,64
2015-09,51,30~67,¡º,27,52,12,0.593,27,78
2015-10,54,32~77,¡º,32,56,16,0.623,31,84
2015-11,60,34~75,¡º,38,67,20,0.703,41,76
2015-12,61,40~89,¡º,37,69,16,0.742,41,52
2016-01,67,30~134,¡º,45,74,13,0.871,42,50
2016-02,65,25~142,¡º,41,76,10,0.862,24,69
2016-03,71,38~122,¡º,48,89,14,1.035,35,66
2016-04,65,44~89,¡º,38,80,12,0.94,31,66
2016-05,56,24~79,¡º,27,64,11,0.652,20,74
2016-06,47,23~70,”≈,23,49,11,0.603,19,67
2016-07,55,27~121,¡º,29,58,16,0.719,22,88
2016-08,55,25~89,¡º,24,58,22,0.677,25,82
2016-09,54,24~87,¡º,24,55,17,0.653,29,75
2016-10,57,33~95,¡º,24,59,14,0.81,37,65
2016-11,59,35~99,¡º,31,59,16,0.857,41,75
2016-12,65,34~112,¡º,41,77,21,0.971,48,61
2017-01,67,33~144,¡º,45,65,14,0.971,42,62
2017-02,62,38~117,¡º,42,58,11,0.757,33,86
2017-03,76,46~98,¡º,47,73,13,0.913,53,87
2017-04,71,41~111,¡º,38,63,11,0.85,38,110
2017-05,75,40~128,¡º,28,47,7,0.723,23,125
2017-06,42,24~74,”≈,21,32,5,0.743,20,77
2017-07,53,28~144,¡º,22,45,8,0.671,21,90
2017-08,67,28~142,¡º,27,53,8,0.729,21,115
2017-09,75,35~128,¡º,31,68,8,0.673,18,127
2017-10,72,38~113,¡º,32,75,10,0.687,26,109
2017-11,67,30~97,¡º,40,75,12,0.76,37,91
2017-12,70,30~99,¡º,48,82,13,0.768,43,90
2018-01,63,30~95,¡º,40,65,11,0.913,41,76
2018-02,65,37~195,¡º,41,68,7,0.746,29,92
2018-03,77,30~106,¡º,41,73,10,0.784,39,114
2018-04,78,58~93,¡º,43,97,11,0.763,29,118
