‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,164,164~164,÷–∂»Œ€»æ,125,191,42,1.7,80,141
2014-01,93,43~171,¡º,70,102,18,1.206,34,103
2014-02,68,14~142,¡º,50,55,10,1.457,23,60
2014-03,82,39~156,¡º,60,75,17,1.706,31,81
2014-04,83,53~143,¡º,58,74,15,1.73,24,104
2014-05,56,32~119,¡º,37,51,13,0.874,18,80
2014-06,56,30~99,¡º,32,41,11,1.133,14,92
2014-07,64,29~363,¡º,40,42,15,1.313,10,98
2014-08,61,33~128,¡º,35,42,18,1.29,12,107
2014-09,73,25~135,¡º,40,39,13,1.017,9,123
2014-10,109,53~175,«·∂»Œ€»æ,59,74,15,1.303,15,167
2014-11,87,26~150,¡º,57,63,16,1.143,17,128
2014-12,69,32~109,¡º,45,69,14,1.119,23,105
2015-01,95,43~156,¡º,66,89,14,1.261,33,125
2015-02,85,47~132,¡º,58,75,9,1.086,19,126
2015-03,87,40~152,¡º,57,66,13,1.216,23,120
2015-04,84,24~158,¡º,41,53,14,1.04,24,129
2015-05,67,37~168,¡º,32,44,12,1.216,16,116
2015-06,55,29~93,¡º,21,37,12,1.033,11,101
2015-07,55,26~135,¡º,26,44,11,0.994,13,93
2015-08,60,35~105,¡º,29,50,15,1.023,16,103
2015-09,79,34~129,¡º,32,53,13,1.127,14,132
2015-10,75,31~157,¡º,39,63,16,1.126,18,125
2015-11,64,32~109,¡º,33,57,15,1.027,20,111
2015-12,52,24~112,¡º,33,51,12,1.187,24,67
2016-01,55,23~95,¡º,35,52,11,1.319,27,64
2016-02,54,26~100,¡º,35,56,9,1.017,16,76
2016-03,79,32~152,¡º,54,76,16,1.416,33,94
2016-04,69,28~126,¡º,42,64,17,1.12,22,97
2016-05,64,31~110,¡º,32,52,16,1.035,15,111
2016-06,46,30~70,”≈,20,41,15,1.177,17,83
2016-07,65,26~153,¡º,27,51,18,1.11,15,106
2016-08,54,29~100,¡º,25,41,11,1.119,15,96
2016-09,59,32~112,¡º,28,45,11,0.957,15,104
2016-10,50,20~97,¡º,27,44,11,1.029,17,82
2016-11,58,22~111,¡º,37,56,14,1.073,22,86
2016-12,62,31~109,¡º,42,66,17,1.123,27,93
2017-01,59,25~92,¡º,39,59,13,1.01,20,90
2017-02,60,20~95,¡º,36,54,12,0.893,17,99
2017-03,70,32~103,¡º,44,72,15,1.103,29,95
2017-04,69,25~148,¡º,31,56,15,0.97,20,111
2017-05,68,33~124,¡º,30,52,14,0.887,15,113
2017-06,41,25~74,”≈,18,35,13,0.95,14,76
2017-07,38,19~70,”≈,19,32,11,0.777,11,71
2017-08,59,22~112,¡º,22,44,13,0.845,15,103
2017-09,69,26~117,¡º,27,49,14,0.86,14,120
2017-10,62,25~112,¡º,26,47,13,0.861,14,107
2017-11,54,20~94,¡º,29,50,14,0.923,19,92
2017-12,64,28~98,¡º,38,65,17,0.958,26,105
2018-01,60,20~102,¡º,36,56,15,0.961,27,90
2018-02,61,36~84,¡º,38,57,10,0.904,16,99
2018-03,86,27~125,¡º,40,63,17,0.923,22,132
2018-04,83,47~110,¡º,35,77,16,0.725,16,133
