‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,63,42~92,¡º,0,76,21,0,30,0
2013-06,71,33~169,¡º,0,92,23,0,34,0
2013-07,75,44~124,¡º,0,99,17,0,29,0
2013-08,65,34~136,¡º,0,79,29,0,31,0
2013-09,77,40~137,¡º,0,102,32,0,41,0
2013-10,121,42~367,«·∂»Œ€»æ,0,184,47,0,56,0
2013-11,95,54~155,¡º,0,138,81,0,67,0
2013-12,209,92~469,÷ÿ∂»Œ€»æ,154,228,68,1.523,94,27
2014-01,183,67~304,÷–∂»Œ€»æ,142,202,62,2.326,63,43
2014-02,131,63~282,«·∂»Œ€»æ,96,127,64,3.221,38,70
2014-03,133,71~320,«·∂»Œ€»æ,93,155,48,3.003,38,95
2014-04,138,54~284,«·∂»Œ€»æ,102,125,32,1.24,36,112
2014-05,104,49~180,«·∂»Œ€»æ,65,115,35,1.513,28,144
2014-06,112,63~216,«·∂»Œ€»æ,52,68,21,2.097,25,145
2014-07,81,41~144,¡º,43,66,14,1.657,22,131
2014-08,82,38~145,¡º,51,77,22,1.523,25,74
2014-09,81,30~195,¡º,52,88,23,1.193,32,47
2014-10,100,52~232,¡º,62,109,38,1.655,49,53
2014-11,147,66~336,«·∂»Œ€»æ,111,159,43,2.733,61,37
2014-12,108,49~268,«·∂»Œ€»æ,71,115,60,1.681,63,35
2015-01,148,58~362,«·∂»Œ€»æ,113,155,57,2.045,66,47
2015-02,141,68~315,«·∂»Œ€»æ,105,175,40,1.65,42,76
2015-03,118,66~209,«·∂»Œ€»æ,82,152,30,1.287,40,100
2015-04,100,44~159,¡º,70,107,23,1.327,33,115
2015-05,105,52~151,«·∂»Œ€»æ,69,117,23,1.168,35,140
2015-06,98,40~153,¡º,65,116,17,1.053,32,115
2015-07,77,51~122,¡º,48,95,11,1.113,35,98
2015-08,87,53~155,¡º,54,94,12,1.332,28,125
2015-09,88,39~182,¡º,60,102,24,1.537,32,98
2015-10,105,51~235,«·∂»Œ€»æ,71,135,30,1.8,41,76
2015-11,126,32~270,«·∂»Œ€»æ,94,144,33,1.95,43,53
2015-12,193,60~500,÷–∂»Œ€»æ,143,270,54,2.929,71,51
2016-01,158,71~500,÷–∂»Œ€»æ,120,216,57,2.565,63,52
2016-02,126,49~256,«·∂»Œ€»æ,87,174,52,2.39,45,72
2016-03,124,63~220,«·∂»Œ€»æ,75,192,48,1.474,50,85
2016-04,120,61~240,«·∂»Œ€»æ,65,183,28,1.11,42,120
2016-05,86,51~142,¡º,35,101,20,0.855,32,130
2016-06,102,59~173,«·∂»Œ€»æ,33,89,15,0.863,33,160
2016-07,92,38~169,¡º,33,76,8,0.858,26,144
2016-08,84,44~161,¡º,28,67,14,0.997,24,137
2016-09,115,60~168,«·∂»Œ€»æ,55,107,29,1.207,37,166
2016-10,72,39~127,¡º,45,82,21,1.171,44,75
2016-11,126,37~244,«·∂»Œ€»æ,93,149,23,1.583,50,51
2016-12,194,82~426,÷–∂»Œ€»æ,153,210,33,2.335,55,45
2017-01,193,54~364,÷–∂»Œ€»æ,152,208,34,2.742,55,46
2017-02,147,61~303,«·∂»Œ€»æ,111,158,35,2,49,79
2017-03,105,59~219,«·∂»Œ€»æ,75,116,26,1.497,44,92
2017-04,93,60~142,¡º,59,114,20,1.39,37,108
2017-05,135,59~489,«·∂»Œ€»æ,51,149,16,1.11,30,158
2017-06,113,49~175,«·∂»Œ€»æ,43,93,13,1.227,27,172
2017-07,83,44~148,¡º,34,70,6,1.187,17,133
2017-08,87,34~159,¡º,34,68,10,1.206,25,136
2017-09,87,44~137,¡º,43,89,18,1.177,35,136
2017-10,75,25~148,¡º,50,89,16,1.232,40,74
2017-11,111,58~226,«·∂»Œ€»æ,79,133,23,1.323,54,64
2017-12,147,64~314,«·∂»Œ€»æ,112,152,26,1.871,62,49
2018-01,149,53~380,«·∂»Œ€»æ,116,144,21,1.69,51,56
2018-02,116,61~255,«·∂»Œ€»æ,81,131,20,1.35,33,91
2018-03,108,51~252,«·∂»Œ€»æ,76,113,14,1.135,32,111
2018-04,99,50~163,¡º,57,138,17,0.963,28,109
