‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,67,67~67,¡º,43,83,53,0.9,40,40
2014-01,141,50~238,«·∂»Œ€»æ,107,141,46,1.503,47,49
2014-02,113,50~239,«·∂»Œ€»æ,85,121,41,1.218,47,71
2014-03,76,43~154,¡º,55,82,39,0.858,36,88
2014-04,75,49~110,¡º,49,92,23,0.637,30,115
2014-05,59,34~115,¡º,31,58,10,0.626,23,103
2014-06,65,33~150,¡º,35,67,11,0.453,26,98
2014-07,74,37~209,¡º,49,75,11,0.435,24,101
2014-08,57,36~98,¡º,29,60,14,0.377,23,89
2014-09,54,33~73,¡º,27,61,11,0.377,25,62
2014-10,93,35~249,¡º,65,112,20,0.703,35,69
2014-11,129,43~294,«·∂»Œ€»æ,98,132,30,0.987,33,51
2014-12,94,43~177,¡º,67,95,40,1.042,31,47
2015-01,105,40~230,«·∂»Œ€»æ,78,109,42,1.329,34,59
2015-02,89,48~165,¡º,62,96,36,1.096,32,75
2015-03,68,42~124,¡º,46,76,23,0.832,23,101
2015-04,71,45~130,¡º,44,83,27,0.727,19,108
2015-05,63,35~147,¡º,27,61,10,0.432,16,102
2015-06,62,39~104,¡º,28,47,8,0.4,19,111
2015-07,63,31~122,¡º,28,50,7,0.51,21,109
2015-08,45,32~78,”≈,21,41,8,0.435,23,78
2015-09,52,35~71,¡º,25,56,7,0.443,21,73
2015-10,70,29~172,¡º,45,84,14,0.687,29,69
2015-11,126,49~318,«·∂»Œ€»æ,96,135,29,1.103,27,48
2015-12,100,45~178,¡º,73,108,37,1.532,27,33
2016-01,78,44~130,¡º,55,87,36,1.058,23,47
2016-02,79,41~169,¡º,57,88,33,1.131,26,71
2016-03,68,40~152,¡º,42,82,20,0.881,24,87
2016-04,73,45~176,¡º,41,88,12,0.683,22,91
2016-05,55,30~90,¡º,24,57,10,0.432,20,92
2016-06,45,26~73,”≈,18,39,9,0.41,20,82
2016-07,45,23~75,”≈,15,41,11,0.448,26,81
2016-08,44,12~70,”≈,13,43,6,0.419,23,73
2016-09,44,18~67,”≈,15,44,11,0.397,18,56
2016-10,54,25~94,¡º,30,63,13,0.565,29,52
2016-11,90,39~175,¡º,66,99,30,1.027,41,41
2016-12,88,41~218,¡º,64,99,35,1.181,39,41
2017-01,89,40~195,¡º,65,96,32,1.045,32,54
2017-02,66,39~183,¡º,45,69,22,0.836,25,79
2017-03,57,36~95,¡º,36,60,12,0.632,25,87
2017-04,73,34~170,¡º,47,82,6,0.593,28,100
2017-05,62,35~139,¡º,21,64,4,0.368,21,99
2017-06,48,23~89,”≈,19,45,5,0.37,24,86
2017-07,50,33~74,¡º,20,47,4,0.461,23,88
2017-08,39,22~56,”≈,18,37,6,0.439,18,63
2017-09,46,26~66,”≈,18,48,4,0.477,23,62
2017-10,76,30~190,¡º,47,93,6,0.668,34,62
2017-11,74,32~185,¡º,49,77,9,0.6,26,55
2017-12,70,35~147,¡º,49,75,16,0.91,28,53
2018-01,70,35~156,¡º,49,75,16,0.965,30,56
2018-02,69,39~112,¡º,47,75,17,0.793,25,76
2018-03,71,45~139,¡º,44,73,13,0.687,33,101
2018-04,64,53~75,¡º,38,74,5,0.5,22,106
