‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2015-01,87,25~169,¡º,64,86,50,1.25,26,90
2015-02,110,35~240,«·∂»Œ€»æ,84,85,22,2.207,23,82
2015-03,60,14~99,¡º,43,53,29,1.274,18,55
2015-04,73,22~119,¡º,44,63,39,1.033,17,110
2015-05,46,31~61,”≈,29,43,34,1.003,16,76
2015-06,39,26~50,”≈,23,36,20,0.94,15,71
2015-07,51,21~125,¡º,28,42,14,0.984,17,89
2015-08,61,28~161,¡º,34,51,17,1.039,19,100
2015-09,52,25~104,¡º,29,44,26,1.07,20,88
2015-10,66,31~125,¡º,30,50,28,1.129,26,110
2015-11,55,31~99,¡º,30,44,35,1.2,27,73
2015-12,49,23~129,”≈,30,49,16,1.152,26,44
2016-01,49,30~102,”≈,29,48,20,1.439,29,49
2016-02,62,28~289,¡º,29,65,18,1.166,27,82
2016-03,62,27~108,¡º,31,53,34,1.19,32,77
2016-04,59,35~97,¡º,39,63,42,1.017,25,73
2016-05,52,28~96,¡º,30,50,25,1.074,19,86
2016-06,41,26~54,”≈,22,38,22,0.823,15,74
2016-07,44,26~104,”≈,25,39,22,0.994,15,74
2016-08,54,27~102,¡º,33,45,29,0.887,18,93
2016-09,60,27~110,¡º,38,50,23,0.933,21,98
2016-10,55,25~92,¡º,36,52,17,1.035,17,85
2016-11,59,18~127,¡º,40,64,27,1.01,28,66
2016-12,81,38~135,¡º,59,91,19,1.145,38,90
2017-01,90,30~320,¡º,67,94,22,1.426,32,73
2017-02,71,35~124,¡º,52,72,20,1.279,27,77
2017-03,59,25~122,¡º,40,66,21,1.29,31,48
2017-04,58,35~100,¡º,37,57,29,1.073,24,81
2017-05,58,33~146,¡º,29,47,24,0.961,21,96
2017-06,41,29~54,”≈,23,39,33,0.8,18,64
2017-07,47,20~114,”≈,27,42,24,0.89,20,78
2017-08,44,24~68,”≈,24,42,28,0.926,17,72
2017-09,62,25~105,¡º,34,57,38,1.043,21,103
2017-10,66,31~131,¡º,39,60,18,1.197,25,108
2017-11,69,28~137,¡º,47,69,18,1.32,30,77
2017-12,90,33~193,¡º,65,90,18,1.145,36,88
2018-01,77,29~175,¡º,53,84,23,1.332,38,78
2018-02,92,30~389,¡º,68,97,15,1.118,25,83
2018-03,71,37~115,¡º,45,72,29,1.11,24,101
2018-04,89,56~107,¡º,60,101,43,1.225,20,124
