月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,85,85~85,良,36,64,68,8.5,3,24
2015-01,66,45~123,良,40,62,42,1.748,19,57
2015-02,56,46~98,良,22,52,29,0.582,22,99
2015-03,64,48~111,良,19,54,17,0.621,17,109
2015-04,55,41~77,良,16,48,6,0.393,16,98
2015-05,97,18~500,良,16,126,3,0.47,15,104
2015-06,60,15~103,良,13,24,3,0.44,15,103
2015-07,32,5~71,优,13,27,3,0.426,14,19
2015-08,33,20~60,优,13,28,3,0.43,15,57
2015-09,30,16~47,优,12,21,6,0.461,13,56
2015-10,37,23~68,优,15,30,12,0.482,20,65
2015-11,53,27~158,良,21,63,3,0.813,11,28
2015-12,53,26~104,良,28,59,3,0.959,11,21
2016-01,44,18~77,优,21,47,4,0.894,12,29
2016-02,60,39~129,良,22,67,4,1.431,11,30
2016-03,44,21~72,优,16,44,5,1.027,12,40
2016-04,37,25~95,优,18,39,3,1.01,13,43
2016-05,40,0~140,优,14,37,3,1.182,5,44
2016-06,34,0~46,优,13,22,4,1.323,4,30
2016-07,45,0~56,优,10,21,5,1.794,4,33
2016-08,48,0~73,优,12,21,5,1.894,3,26
2016-09,47,18~83,优,8,18,6,1.81,6,28
2016-10,40,23~65,优,9,23,16,0.655,13,65
2016-11,46,38~56,优,16,39,32,0.74,24,86
2016-12,65,44~100,良,34,76,59,1.003,30,82
2017-01,60,0~155,良,30,66,51,0.755,23,89
2017-02,59,45~105,良,23,61,40,0.821,19,102
2017-03,65,0~107,良,21,58,25,0.7,16,111
2017-04,74,50~95,良,21,62,14,0.657,13,124
2017-05,63,0~93,良,14,36,5,0.497,7,109
2017-06,73,46~99,良,12,22,4,0.233,8,127
2017-07,61,33~83,良,14,27,3,0.316,10,112
2017-08,47,27~83,优,11,30,4,0.513,9,88
2017-09,42,30~67,优,11,24,4,0.72,11,82
2017-10,42,29~57,优,16,36,11,0.639,14,73
2017-11,45,0~73,优,20,45,21,0.813,19,65
2017-12,63,42~98,良,33,71,59,1.039,26,75
2018-01,70,40~179,良,30,87,48,0.823,22,86
2018-02,61,42~105,良,22,72,28,0.643,15,87
2018-03,55,45~72,良,21,48,17,0.729,14,101
2018-04,74,60~104,良,30,89,12,0.438,14,108
