月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,75,24~116,良,53,81,31,2.57,28,75
2014-01,69,35~115,良,47,73,33,2.955,27,93
2014-02,52,34~87,良,28,51,24,1.35,20,95
2014-03,72,48~108,良,45,79,38,2.223,32,119
2014-04,84,57~154,良,55,94,36,2.947,30,135
2014-05,58,40~86,良,25,47,16,1.729,17,108
2014-06,42,19~63,优,16,29,8,1.453,12,81
2014-07,39,14~68,优,20,38,16,1.11,15,52
2014-08,36,20~58,优,19,36,25,0.787,14,47
2014-09,36,14~52,优,19,35,21,0.843,14,43
2014-10,49,27~95,优,31,50,17,1.068,14,50
2014-11,40,21~51,优,21,39,24,1.37,23,40
2014-12,52,32~85,良,33,55,26,1.519,31,46
2015-01,49,17~78,优,30,51,25,1.7,22,50
2015-02,48,29~91,优,31,49,21,1.564,19,50
2015-03,55,27~120,良,36,58,23,1.955,25,56
2015-04,47,29~65,优,27,50,17,1.517,19,53
2015-05,48,20~61,优,23,49,15,1.003,18,79
2015-06,35,23~49,优,14,28,12,0.803,16,66
2015-07,44,24~65,优,24,41,18,1.126,18,79
2015-08,35,19~60,优,17,33,16,1.097,17,56
2015-09,35,19~57,优,19,34,14,1.12,15,51
2015-10,45,27~66,优,21,40,17,1.542,18,70
2015-11,42,22~58,优,19,40,18,1.433,19,52
2015-12,45,26~63,优,26,45,15,1.387,17,49
2016-01,49,27~64,优,28,49,17,1.419,21,59
2016-02,54,37~114,良,36,50,12,1.538,16,64
2016-03,58,37~93,良,37,60,18,1.919,22,87
2016-04,62,42~79,良,33,61,20,2.34,22,91
2016-05,52,31~79,良,24,45,20,1.548,17,93
2016-06,36,21~70,优,11,22,12,0.98,12,69
2016-07,34,20~63,优,12,25,13,1.177,13,61
2016-08,45,27~76,优,18,35,16,1.439,18,84
2016-09,44,28~59,优,25,41,17,1.317,18,74
2016-10,47,25~89,优,28,44,19,1.577,21,67
2016-11,41,23~56,优,19,39,19,1.38,25,62
2016-12,48,32~74,优,27,49,20,1.406,28,64
2017-01,47,33~80,优,23,44,20,1.206,23,78
2017-02,58,46~80,良,31,49,17,0.979,20,101
2017-03,72,39~100,良,35,58,20,1.239,28,123
2017-04,62,36~109,良,27,47,16,0.893,21,109
2017-05,62,35~88,良,24,44,17,1.055,22,113
2017-06,41,22~78,优,13,29,14,0.79,18,75
2017-07,40,20~80,优,14,39,14,0.861,18,63
2017-08,40,21~63,优,14,40,14,1.01,20,59
2017-09,45,28~60,优,15,46,14,1.193,20,57
2017-10,44,24~75,优,19,46,12,1.152,21,56
2017-11,59,23~80,良,28,69,16,1.463,28,64
2017-12,63,34~113,良,35,75,16,1.416,28,62
2018-01,54,27~72,良,24,61,14,1.252,25,65
2018-02,72,42~100,良,43,88,16,1.525,24,96
2018-03,77,58~101,良,41,94,16,1.768,27,127
2018-04,79,61~94,良,39,100,14,1.425,25,126
