‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,109,23~186,«·∂»Œ€»æ,82,111,27,1.22,70,80
2014-01,97,56~176,¡º,71,98,20,1.155,64,115
2014-02,51,22~92,¡º,33,41,10,0.736,38,71
2014-03,51,32~99,¡º,32,50,10,0.642,37,71
2014-04,54,31~105,¡º,31,53,9,0.75,31,85
2014-05,31,20~51,”≈,13,27,6,0.739,24,57
2014-06,44,24~141,”≈,17,36,9,0.863,23,78
2014-07,38,21~92,”≈,16,35,8,0.784,22,70
2014-08,33,20~62,”≈,11,31,7,0.771,22,61
2014-09,68,24~161,¡º,24,50,12,0.89,26,112
2014-10,95,47~168,¡º,47,79,14,1.287,29,147
2014-11,69,44~103,¡º,49,74,13,1.233,39,77
2014-12,85,32~136,¡º,62,81,17,1.339,52,77
2015-01,80,28~151,¡º,59,84,15,1.506,47,86
2015-02,81,25~161,¡º,59,83,10,1.207,35,84
2015-03,45,26~69,”≈,31,41,6,0.861,35,60
2015-04,52,28~105,¡º,27,50,7,0.667,27,81
2015-05,33,22~88,”≈,12,30,4,0.648,19,55
2015-06,27,19~36,”≈,9,26,4,0.637,11,46
2015-07,44,23~98,”≈,17,40,6,0.806,15,75
2015-08,50,23~124,”≈,23,45,8,0.771,21,82
2015-09,57,23~113,¡º,25,51,7,0.737,20,96
2015-10,82,26~154,¡º,41,73,12,0.813,29,129
2015-11,63,30~108,¡º,33,55,12,0.843,35,104
2015-12,61,33~101,¡º,34,58,14,0.977,45,75
2016-01,63,30~88,¡º,31,52,10,0.942,47,64
2016-02,54,26~81,¡º,30,51,9,0.779,32,76
2016-03,65,35~109,¡º,33,57,9,0.8,44,88
2016-04,51,29~96,¡º,25,40,8,0.733,32,82
2016-05,56,29~134,¡º,21,34,7,0.723,21,99
2016-06,34,27~42,”≈,11,20,7,0.617,18,67
2016-07,39,22~120,”≈,15,26,6,0.684,16,73
2016-08,57,30~144,¡º,21,33,8,0.739,25,100
2016-09,73,29~140,¡º,25,40,11,0.73,27,119
2016-10,61,22~104,¡º,27,42,11,0.761,29,104
2016-11,61,39~125,¡º,31,47,12,0.793,40,83
2016-12,77,38~102,¡º,49,69,14,0.906,55,99
2017-01,67,40~103,¡º,41,57,7,0.958,42,78
2017-02,57,36~87,¡º,34,46,7,0.707,36,85
2017-03,67,44~99,¡º,33,48,8,0.726,51,68
2017-04,55,27~99,¡º,26,40,7,0.693,34,76
2017-05,61,25~152,¡º,27,40,7,0.635,29,98
2017-06,26,20~39,”≈,10,17,3,0.49,12,47
2017-07,38,18~105,”≈,14,21,6,0.523,23,55
2017-08,41,18~172,”≈,15,25,5,0.516,18,70
2017-09,61,20~174,¡º,22,33,7,0.58,23,101
2017-10,90,30~187,¡º,33,51,9,0.665,26,142
2017-11,82,43~160,¡º,44,67,11,0.773,46,110
2017-12,83,41~148,¡º,55,80,13,0.748,49,121
2018-01,77,35~180,¡º,46,62,12,0.8,50,89
2018-02,64,29~107,¡º,43,60,10,0.718,33,92
2018-03,61,26~92,¡º,29,45,8,0.626,37,102
2018-04,60,38~87,¡º,29,62,6,0.513,21,99
