‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,80,80~80,¡º,55,111,45,2.2,32,82
2015-01,118,63~166,«·∂»Œ€»æ,84,143,67,2.739,34,78
2015-02,100,75~226,¡º,63,137,44,1.993,19,85
2015-03,101,63~172,«·∂»Œ€»æ,53,137,28,1.85,17,117
2015-04,87,49~138,¡º,37,96,20,1.07,18,127
2015-05,70,40~160,¡º,28,74,13,0.516,18,108
2015-06,67,40~124,¡º,23,55,9,0.91,15,114
2015-07,69,31~116,¡º,21,50,7,0.639,15,114
2015-08,76,46~119,¡º,23,57,8,0.61,14,122
2015-09,51,32~90,¡º,21,40,7,0.763,15,88
2015-10,54,21~87,¡º,24,47,20,0.877,19,84
2015-11,63,46~91,¡º,40,69,35,1.46,30,80
2015-12,61,44~97,¡º,37,67,45,1.465,34,80
2016-01,84,63~112,¡º,59,101,41,1.274,28,83
2016-02,70,51~123,¡º,43,88,35,1.155,21,79
2016-03,79,55~171,¡º,42,82,25,1.081,24,110
2016-04,77,48~99,¡º,22,57,19,0.83,17,132
2016-05,76,39~162,¡º,25,72,16,0.771,18,125
2016-06,88,62~130,¡º,24,59,5,0.867,16,144
2016-07,76,47~116,¡º,26,55,5,0.89,13,130
2016-08,69,44~116,¡º,33,52,4,0.623,15,119
2016-09,55,42~69,¡º,21,40,9,0.703,21,103
2016-10,70,39~182,¡º,38,58,17,1.29,28,98
2016-11,84,64~136,¡º,59,110,22,1.883,27,86
2016-12,84,0~124,¡º,61,104,30,1.729,33,82
2017-01,93,57~280,¡º,66,119,27,0.916,22,90
2017-02,85,69~114,¡º,58,108,23,1.061,18,121
2017-03,79,54~123,¡º,38,85,14,0.871,19,121
2017-04,64,29~118,¡º,32,74,12,0.733,16,94
2017-05,72,53~121,¡º,35,71,6,0.539,15,118
2017-06,71,54~94,¡º,31,55,7,0.9,13,124
2017-07,74,39~102,¡º,25,56,6,0.484,13,128
2017-08,51,25~76,¡º,22,36,6,0.59,11,93
2017-09,44,32~56,”≈,21,36,8,0.753,16,82
2017-10,43,31~63,”≈,22,40,12,0.826,19,67
2017-11,67,52~102,¡º,41,78,19,1.337,40,76
2017-12,84,54~384,¡º,43,109,27,1.552,43,75
2018-01,73,52~102,¡º,46,88,19,1.094,35,88
2018-02,82,51~233,¡º,49,106,19,1.064,28,97
2018-03,72,47~162,¡º,41,92,10,1.119,28,106
2018-04,134,61~500,«·∂»Œ€»æ,52,177,10,0.625,29,110
