‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,70,70~70,¡º,51,75,53,0.8,24,44
2015-01,91,52~196,¡º,66,94,48,0.71,25,44
2015-02,87,45~157,¡º,63,91,36,0.586,21,60
2015-03,77,46~159,¡º,51,88,27,0.729,23,94
2015-04,81,46~175,¡º,50,104,8,0.373,19,99
2015-05,67,43~112,¡º,41,72,5,0.339,16,105
2015-06,75,38~146,¡º,46,72,4,0.403,12,120
2015-07,76,40~110,¡º,49,71,5,0.426,14,116
2015-08,64,52~90,¡º,45,61,7,0.365,12,86
2015-09,56,36~87,¡º,37,58,12,0.377,12,66
2015-10,89,42~305,¡º,62,98,15,0.561,18,64
2015-11,132,53~355,«·∂»Œ€»æ,101,133,31,0.747,24,44
2015-12,122,49~224,«·∂»Œ€»æ,91,109,34,0.923,29,47
2016-01,85,43~250,¡º,62,81,29,0.742,24,55
2016-02,65,32~178,¡º,46,65,22,0.548,18,68
2016-03,79,41~245,¡º,53,94,16,0.706,19,76
2016-04,76,46~154,¡º,40,95,8,0.593,19,88
2016-05,78,46~163,¡º,45,89,7,0.616,18,114
2016-06,71,44~128,¡º,43,57,7,0.637,16,118
2016-07,80,46~131,¡º,51,78,8,0.729,18,121
2016-08,60,33~117,¡º,34,67,6,0.555,16,89
2016-09,60,40~114,¡º,38,61,6,0.62,15,81
2016-10,56,32~109,¡º,36,58,6,0.465,19,65
2016-11,90,34~332,¡º,67,87,17,0.873,31,58
2016-12,75,39~158,¡º,53,75,16,0.919,23,44
2017-01,77,31~179,¡º,56,79,18,0.865,22,47
2017-02,50,33~124,”≈,31,51,13,0.704,17,63
2017-03,64,39~144,¡º,44,65,13,0.648,22,93
2017-04,58,37~112,¡º,27,61,8,0.487,21,95
2017-05,82,34~500,¡º,31,104,8,0.465,23,104
2017-06,62,33~108,¡º,22,44,10,0.44,32,107
2017-07,77,37~150,¡º,20,39,8,0.471,23,131
2017-08,49,24~79,”≈,17,36,7,0.432,19,88
2017-09,46,29~82,”≈,18,39,9,0.583,19,81
2017-10,65,31~155,¡º,39,74,11,0.842,25,78
2017-11,54,31~127,¡º,32,60,12,0.8,18,58
2017-12,62,34~137,¡º,42,59,17,0.813,23,48
2018-01,55,34~144,¡º,37,51,17,0.729,25,67
2018-02,58,36~129,¡º,35,60,14,0.704,20,80
2018-03,75,45~269,¡º,44,79,13,0.484,16,109
2018-04,72,50~159,¡º,32,82,10,0.613,12,111
