‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,37,37~37,”≈,22,37,5,0.7,12,60
2015-01,119,57~203,«·∂»Œ€»æ,89,127,45,2.142,49,45
2015-02,110,38~229,«·∂»Œ€»æ,74,129,24,2.129,36,65
2015-03,80,43~133,¡º,55,100,13,2.219,29,98
2015-04,86,50~126,¡º,56,101,7,0.987,26,122
2015-05,84,44~143,¡º,43,76,8,0.706,18,132
2015-06,69,39~126,¡º,32,47,14,0.787,21,119
2015-07,58,33~111,¡º,28,51,12,0.806,16,99
2015-08,48,31~73,”≈,28,46,10,0.777,16,74
2015-09,54,36~71,¡º,30,59,16,0.897,21,67
2015-10,68,29~138,¡º,46,78,25,1.09,28,67
2015-11,96,48~317,¡º,71,98,36,1.057,31,54
2015-12,118,38~198,«·∂»Œ€»æ,87,121,92,1.729,44,39
2016-01,98,48~137,¡º,73,100,82,1.377,36,58
2016-02,92,38~272,¡º,68,88,60,1.621,30,75
2016-03,86,42~192,¡º,58,100,34,1.242,26,102
2016-04,71,46~117,¡º,37,80,18,1.053,19,113
2016-05,86,48~131,¡º,37,70,14,1.2,19,139
2016-06,72,46~156,¡º,34,57,12,0.81,23,115
2016-07,60,30~89,¡º,33,64,8,1.074,21,89
2016-08,55,30~86,¡º,24,52,13,0.926,22,85
2016-09,60,31~87,¡º,35,69,15,1.563,23,83
2016-10,68,33~117,¡º,43,85,19,1.603,30,65
2016-11,83,38~124,¡º,60,94,46,1.367,29,57
2016-12,117,51~221,«·∂»Œ€»æ,88,119,91,1.635,42,50
2017-01,112,42~278,«·∂»Œ€»æ,83,107,87,1.513,40,62
2017-02,94,48~169,¡º,69,91,67,1.311,38,87
2017-03,84,52~160,¡º,61,90,44,1.174,31,105
2017-04,71,40~128,¡º,42,79,24,1.033,26,114
2017-05,84,43~206,¡º,35,85,13,0.952,21,126
2017-06,66,32~137,¡º,27,54,9,0.907,21,115
2017-07,56,36~81,¡º,24,44,7,1.01,14,101
2017-08,42,24~75,”≈,18,36,9,0.897,14,75
2017-09,55,34~87,¡º,28,59,11,0.95,20,85
2017-10,64,26~107,¡º,41,75,18,0.932,29,71
2017-11,66,35~155,¡º,44,70,23,0.977,25,64
2017-12,80,46~138,¡º,58,82,43,1.268,33,55
2018-01,73,50~109,¡º,52,80,46,1.265,34,61
2018-02,74,53~225,¡º,52,77,45,1.196,27,81
2018-03,70,46~129,¡º,42,67,24,1.161,23,118
2018-04,71,50~106,¡º,40,67,15,1,17,117
