‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,111,111~111,«·∂»Œ€»æ,63,172,180,1,26,27
2015-01,120,67~199,«·∂»Œ€»æ,69,190,107,1.729,30,31
2015-02,102,53~226,«·∂»Œ€»æ,52,152,78,1.421,20,93
2015-03,104,74~201,«·∂»Œ€»æ,47,155,52,2.129,24,117
2015-04,105,65~377,«·∂»Œ€»æ,30,137,56,1.693,15,128
2015-05,98,40~280,¡º,36,127,30,1.1,18,106
2015-06,74,31~168,¡º,34,97,36,0.823,26,61
2015-07,54,34~83,¡º,17,46,28,0.665,25,97
2015-08,65,32~149,¡º,27,75,39,0.723,28,86
2015-09,65,38~128,¡º,26,74,44,0.9,21,74
2015-10,70,43~114,¡º,34,89,36,0.803,28,68
2015-11,89,44~160,¡º,61,108,59,1.107,37,47
2015-12,112,34~186,«·∂»Œ€»æ,82,126,57,1.452,38,36
2016-01,84,36~160,¡º,56,97,61,1.11,32,40
2016-02,106,40~328,«·∂»Œ€»æ,50,150,37,0.79,20,46
2016-03,94,37~194,¡º,46,138,40,0.806,20,57
2016-04,66,49~101,¡º,31,77,27,0.553,23,92
2016-05,73,36~169,¡º,34,90,34,0.613,18,93
2016-06,62,43~90,¡º,29,64,27,0.683,22,104
2016-07,56,36~87,¡º,22,49,23,0.955,19,98
2016-08,53,36~77,¡º,21,46,22,0.926,16,94
2016-09,59,36~89,¡º,25,61,19,1.127,29,94
2016-10,69,38~165,¡º,33,87,43,0.706,30,61
2016-11,116,0~282,«·∂»Œ€»æ,68,172,94,1.207,44,81
2016-12,93,55~151,¡º,61,120,76,1.11,45,72
2017-01,112,42~500,«·∂»Œ€»æ,59,157,82,1.061,33,84
2017-02,91,48~153,¡º,50,118,87,0.982,29,88
2017-03,70,47~112,¡º,36,82,51,0.842,25,101
2017-04,83,38~390,¡º,33,104,34,0.693,23,105
2017-05,116,52~500,«·∂»Œ€»æ,43,157,34,0.726,24,115
2017-06,77,48~102,¡º,29,89,26,0.767,27,122
2017-07,78,42~114,¡º,27,92,29,0.571,22,122
2017-08,63,40~134,¡º,22,65,27,0.79,26,103
2017-09,68,48~98,¡º,26,83,31,0.827,31,99
2017-10,65,33~95,¡º,29,78,34,0.994,30,80
2017-11,79,54~123,¡º,40,106,50,0.88,35,77
2017-12,120,42~500,«·∂»Œ€»æ,54,172,58,1.09,34,65
2018-01,90,60~145,¡º,51,121,69,1.126,29,65
2018-02,93,42~500,¡º,41,141,49,1.082,22,82
2018-03,119,58~290,«·∂»Œ€»æ,45,181,39,1.039,27,99
2018-04,178,81~500,÷–∂»Œ€»æ,70,334,25,1.125,26,98
